# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: AK06E3Y4
# Data supplier: Catalina Sky Survey
# Location name: Mt. Lemmon, Arizona
# Position (lat, lon, elev(m)): 32.4420, -110.7893, 2791
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4387
# SQM hardware identity: AK06E3Y4
# SQM firmware version: 4-6-76
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000006,00000076,00004387
# SQM readout test rx: r, 06.20m,0000280670Hz,0000000000c,0000000.000s, 007.7C
# SQM readout test cx: c,00000019.82m,0000245.082s, 022.5C,00000008.71m, 019.6C
# DL time difference (seconds): 55
# DL retrieved at (UTC): 2023-01-09T00:17:54.921
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.255
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2023-01-02T00:40:05.000;2023-01-01T17:40:05.000;-3.3;4.82;10.04;1
2023-01-02T00:50:05.000;2023-01-01T17:50:05.000;-3.6;4.82;11.42;1
2023-01-02T00:55:05.000;2023-01-01T17:55:05.000;-3.9;4.82;12.50;1
2023-01-02T01:00:05.000;2023-01-01T18:00:05.000;-3.9;4.82;14.25;1
2023-01-02T01:05:05.000;2023-01-01T18:05:05.000;-3.9;4.82;15.58;1
2023-01-02T01:10:05.000;2023-01-01T18:10:05.000;-3.9;4.82;16.22;1
2023-01-02T01:15:05.000;2023-01-01T18:15:05.000;-3.9;4.82;17.30;1
2023-01-02T01:20:05.000;2023-01-01T18:20:05.000;-4.2;4.82;17.43;1
2023-01-02T01:25:05.000;2023-01-01T18:25:05.000;-4.2;4.82;17.01;1
2023-01-02T01:30:05.000;2023-01-01T18:30:05.000;-4.2;4.82;17.61;1
2023-01-02T01:35:05.000;2023-01-01T18:35:05.000;-4.2;4.82;18.06;1
2023-01-02T01:40:05.000;2023-01-01T18:40:05.000;-4.2;4.82;18.37;1
2023-01-02T01:45:05.000;2023-01-01T18:45:05.000;-4.2;4.81;17.52;1
2023-01-02T01:50:05.000;2023-01-01T18:50:05.000;-4.2;4.81;18.11;1
2023-01-02T01:55:05.000;2023-01-01T18:55:05.000;-4.6;4.82;18.37;1
2023-01-02T02:00:05.000;2023-01-01T19:00:05.000;-4.6;4.81;17.27;1
