UTC,SQM,lum,chisquared,moonalt
2024-01-01T00:45:05Z,10.25,1316.33255,0.15156,-41.4
2024-01-01T00:50:05Z,11.36,473.54976,0.13537,-40.93
2024-01-01T00:55:05Z,12.56,156.80706,0.12138,-40.44
2024-01-01T01:00:05Z,13.78,50.97598,0.09099,-39.93
2024-01-01T01:05:05Z,15.26,13.04264,0.09053,-39.4
2024-01-01T01:10:05Z,16.14,5.79917,0.03379,-38.85
2024-01-01T01:15:05Z,17.53,1.612,0.02652,-38.27
2024-01-01T01:20:05Z,18.46,0.68449,0.05742,-37.68
2024-01-01T01:25:05Z,19.28,0.32164,0.03454,-37.07
2024-01-01T01:30:05Z,19.94,0.17513,0.0392,-36.44
2024-01-01T01:35:05Z,20.34,0.12116,0.02996,-35.8
2024-01-01T01:40:05Z,20.65,0.09107,0.12303,-35.14
2024-01-01T01:45:05Z,20.76,0.08229,0.14574,-34.46
2024-01-01T01:50:06Z,20.82,0.07787,0.14094,-33.77
2024-01-01T01:55:06Z,20.85,0.07575,0.13111,-33.06
2024-01-01T02:00:06Z,20.86,0.07505,0.17228,-32.34
2024-01-01T02:05:05Z,20.67,0.08941,0.20764,-31.61
2024-01-01T02:10:05Z,20.73,0.0846,0.22597,-30.86
2024-01-01T02:15:05Z,20.36,0.11895,0.19412,-30.1
2024-01-01T02:20:05Z,20.71,0.08617,0.12913,-29.33
2024-01-01T02:25:05Z,20.77,0.08154,0.14168,-28.55
2024-01-01T02:30:06Z,20.52,0.10265,0.11527,-27.75
2024-01-01T02:35:05Z,20.66,0.09023,0.11514,-26.94
2024-01-01T02:40:05Z,20.39,0.11571,0.08964,-26.13
2024-01-01T02:45:06Z,20.82,0.07787,0.05917,-25.3
2024-01-01T02:50:06Z,20.5,0.10456,0.2348,-24.46
2024-01-01T02:55:06Z,20.58,0.09713,0.22113,-23.62
2024-01-01T03:00:07Z,20.6,0.09536,0.15361,-22.76
2024-01-01T03:05:06Z,20.46,0.10848,0.16806,-21.9
2024-01-01T03:10:05Z,20.3,0.12571,0.17314,-21.04
