UTC,SQM,lum,chisquared,moonalt
2023-01-02T00:48:00Z,10.19,1391.12329,0.33401,48.55
2023-01-02T00:59:00Z,12.87,117.85978,0.79955,50.81
2023-01-02T01:10:00Z,15.82,7.78692,1.15307,53.05
2023-01-02T01:21:00Z,18.06,0.98939,0.92157,55.27
2023-01-02T01:32:00Z,19.92,0.17839,0.23896,57.47
2023-01-02T01:43:00Z,21.05,0.063,0.03896,59.63
2023-01-02T01:54:00Z,21.41,0.04522,0.06778,61.75
2023-01-02T02:05:00Z,21.51,0.04124,0.07275,63.82
2023-01-02T02:16:00Z,21.66,0.03592,0.06527,65.82
2023-01-02T02:27:00Z,21.79,0.03187,0.05007,67.73
2023-01-02T02:38:00Z,21.93,0.02801,0.04073,69.54
2023-01-02T02:49:00Z,21.9,0.0288,0.03735,71.19
2023-01-02T03:00:00Z,21.65,0.03625,0.01992,72.66
2023-01-02T03:11:00Z,21.72,0.03399,0.01423,73.9
2023-01-02T03:22:00Z,21.82,0.031,0.00212,74.83
2023-01-02T03:33:00Z,21.73,0.03368,0.00435,75.41
2023-01-02T03:44:00Z,21.69,0.03494,0.2574,75.59
2023-01-02T03:55:00Z,21.62,0.03727,0.23647,75.36
2023-01-02T04:06:00Z,21.6,0.03796,0.21082,74.74
2023-01-02T04:17:00Z,21.59,0.03831,1.47733,73.77
2023-01-02T04:28:00Z,21.59,0.03831,1.46748,72.51
2023-01-02T04:39:00Z,21.63,0.03693,2.00417,71.02
2023-01-02T04:50:00Z,21.6,0.03796,1.98169,69.35
2023-01-02T05:01:00Z,21.57,0.03903,2.40057,67.54
2023-01-02T05:12:00Z,22.47,0.01704,2.26742,65.63
2023-01-02T05:23:00Z,22.53,0.01612,2.26775,63.63
2023-01-02T05:34:00Z,23.1,0.00954,2.44261,61.57
2023-01-02T05:45:00Z,21.8,0.03158,2.78487,59.45
2023-01-02T05:56:00Z,21.77,0.03246,2.35043,57.3
2023-01-02T06:07:00Z,22.93,0.01115,0.51301,55.12
2023-01-02T06:18:00Z,22.49,0.01672,0.50428,52.92
2023-01-02T06:29:00Z,21.17,0.05641,1.06226,50.69
2023-01-02T06:40:00Z,20.85,0.07575,1.12021,48.45
2023-01-02T06:51:00Z,20.18,0.1404,0.68579,46.2
2023-01-02T07:02:00Z,20.14,0.14567,0.76326,43.95
2023-01-02T07:13:00Z,20.5,0.10456,2.44261,41.68
2023-01-02T07:24:00Z,19.87,0.1868,2.78487,39.42
2023-01-02T07:35:00Z,20.53,0.10171,2.35043,37.15
2023-01-02T07:46:00Z,20.68,0.08859,0.51301,34.89
2023-01-02T07:57:00Z,19.7,0.21846,0.50428,32.62
2023-01-02T08:08:00Z,19.45,0.27502,1.06226,30.36
2023-01-02T08:19:00Z,19.04,0.4012,1.12021,28.1
2023-01-02T08:30:00Z,18.97,0.42792,0.68579,25.85
2023-01-02T08:41:00Z,18.99,0.42011,0.76326,23.61
2023-01-02T08:52:00Z,18.96,0.43188,0.95469,21.38
2023-01-02T09:03:00Z,18.66,0.56933,1.08578,19.15
2023-01-02T09:14:00Z,18.71,0.54371,0.3377,16.93
2023-01-02T09:25:00Z,18.79,0.50509,0.26058,14.73
2023-01-02T09:36:00Z,18.44,0.69721,0.07458,12.54
2023-01-02T09:47:00Z,18.3,0.79317,0.11588,10.37
2023-01-02T09:58:00Z,18.73,0.53378,0.06639,8.21
2023-01-02T10:09:00Z,18.32,0.77869,0.18161,6.06
2023-01-02T10:20:00Z,18.28,0.80791,0.18896,3.94
2023-01-02T10:31:00Z,18.73,0.53378,0.19451,1.83
2023-01-02T10:42:00Z,19.07,0.39027,0.27027,-0.26
2023-01-02T10:53:00Z,18.97,0.42792,0.26819,-2.32
2023-01-02T11:04:00Z,18.93,0.44398,0.28258,-4.35
2023-01-02T11:15:00Z,18.88,0.46491,0.32309,-6.37
2023-01-02T11:26:00Z,18.77,0.51448,0.35475,-8.35
2023-01-02T11:37:00Z,18.49,0.66583,0.38304,-10.3
2023-01-02T11:48:00Z,17.98,1.06504,0.10064,-12.22
2023-01-02T11:59:00Z,17.46,1.71936,0.05743,-14.1
2023-01-02T12:10:00Z,17.17,2.24577,0.04355,-15.94
2023-01-02T12:21:00Z,16.99,2.65073,0.06201,-17.74
2023-01-02T12:32:00Z,16.86,2.9879,0.15645,-19.5
2023-01-02T12:43:00Z,16.79,3.18688,0.23058,-21.21
2023-01-02T12:54:00Z,16.79,3.18688,0.16354,-22.87
2023-01-02T13:05:00Z,16.84,3.04345,0.04483,-24.47
2023-01-02T13:16:00Z,17.01,2.60235,0.01539,-26.02
2023-01-02T13:27:00Z,17.21,2.16454,0.01296,-27.49
2023-01-02T13:38:00Z,17.16,2.26655,0.00092,-28.9
