UTC,SQM,lum,chisquared,moonalt
2022-01-01T00:40:05Z,10.81,785.89698,0.05865,-25.9
2022-01-01T00:45:05Z,11.91,285.34195,0.04258,-26.87
2022-01-01T00:50:05Z,13.27,81.53905,0.04783,-27.86
2022-01-01T00:55:05Z,14.42,28.27259,0.08181,-28.84
2022-01-01T01:00:05Z,15.48,10.65039,0.07984,-29.82
2022-01-01T01:05:05Z,16.14,5.79917,0.10374,-30.81
2022-01-01T01:10:05Z,17.1,2.39533,0.08129,-31.8
2022-01-01T01:15:05Z,17.72,1.35321,0.09904,-32.79
2022-01-01T01:20:05Z,18.33,0.77155,0.09616,-33.78
2022-01-01T01:25:05Z,18.68,0.55894,0.06256,-34.77
2022-01-01T01:30:05Z,19.24,0.33371,0.07961,-35.76
2022-01-01T01:35:05Z,19.84,0.19203,0.05841,-36.75
2022-01-01T01:40:05Z,20.31,0.12456,0.03784,-37.75
2022-01-01T01:45:05Z,20.37,0.11786,0.06778,-38.74
2022-01-01T01:50:07Z,20.7,0.08697,0.04084,-39.75
2022-01-01T01:55:05Z,20.69,0.08777,0.03589,-40.74
2022-01-01T02:00:06Z,20.58,0.09713,0.05237,-41.74
2022-01-01T02:05:07Z,20.68,0.08859,0.07678,-42.74
2022-01-01T02:10:06Z,20.59,0.09624,0.06076,-43.73
2022-01-01T02:15:06Z,20.53,0.10171,0.05565,-44.73
2022-01-01T02:20:05Z,20.44,0.1105,0.07571,-45.73
2022-01-01T02:25:05Z,20.55,0.09985,0.05819,-46.73
2022-01-01T02:30:07Z,20.73,0.0846,0.04025,-47.74
2022-01-01T02:35:05Z,20.74,0.08382,0.0401,-48.73
2022-01-01T02:40:06Z,20.65,0.09107,0.03625,-49.73
2022-01-01T02:45:06Z,20.55,0.09985,0.05308,-50.73
2022-01-01T02:50:07Z,20.67,0.08941,0.06989,-51.74
2022-01-01T02:55:05Z,20.75,0.08305,0.15245,-52.73
2022-01-01T03:00:06Z,20.91,0.07167,0.13452,-53.73
2022-01-01T03:05:05Z,20.82,0.07787,0.13961,-54.73
2022-01-01T03:10:06Z,20.88,0.07368,0.16447,-55.73
2022-01-01T03:15:07Z,21.04,0.06359,0.18335,-56.73
2022-01-01T03:20:07Z,20.95,0.06908,0.12637,-57.72
2022-01-01T03:25:06Z,20.66,0.09023,0.06748,-58.71
2022-01-01T03:30:06Z,20.85,0.07575,0.06624,-59.71
2022-01-01T03:35:08Z,21.16,0.05693,0.01323,-60.7
2022-01-01T03:40:09Z,21.18,0.05589,0.0137,-61.7
2022-01-01T03:45:09Z,21.17,0.05641,0.01341,-62.68
2022-01-01T03:50:08Z,21.07,0.06185,0.00643,-63.66
2022-01-01T03:55:07Z,21.05,0.063,0.26126,-64.64
2022-01-01T04:00:08Z,21.05,0.063,0.25577,-65.62
2022-01-01T04:05:08Z,21.11,0.05962,0.27746,-66.59
2022-01-01T04:10:08Z,21.14,0.05799,0.27865,-67.56
2022-01-01T04:15:08Z,21.05,0.063,0.12431,-68.53
2022-01-01T04:20:07Z,21.05,0.063,0.05309,-69.48
2022-01-01T04:25:08Z,21.06,0.06243,0.05323,-70.44
2022-01-01T04:30:07Z,21.03,0.06417,0.0581,-71.37
2022-01-01T04:35:06Z,20.93,0.07037,0.05546,-72.3
2022-01-01T04:40:08Z,21.14,0.05799,0.05955,-73.23
2022-01-01T04:45:07Z,20.93,0.07037,0.05951,-74.14
2022-01-01T04:50:07Z,21.01,0.06537,0.05907,-75.03
2022-01-01T04:55:07Z,21.03,0.06417,0.06409,-75.9
