UTC,SQM,lum,chisquared,moonalt,LST,sunalt
2025-03-08T01:40:05Z,16.1,6.0168,0.00098,75.73,5.33296,-3.625
2025-03-08T01:45:05Z,16.62,3.72705,0.00085,76.75,5.41652,-4.687
2025-03-08T01:50:05Z,16.84,3.04345,1e-05,77.77,5.50008,-5.75
2025-03-08T01:55:05Z,16.9,2.87982,5e-05,78.79,5.58364,-6.814
2025-03-08T02:00:05Z,16.93,2.80134,1e-05,79.8,5.6672,-7.877
2025-03-08T02:05:05Z,16.93,2.80134,1e-05,80.8,5.75076,-8.941
2025-03-08T02:10:05Z,16.93,2.80134,0.02664,81.78,5.83433,-10.005
2025-03-08T02:15:05Z,16.93,2.80134,0.13944,82.75,5.91789,-11.069
2025-03-08T02:20:05Z,16.94,2.77566,0.0616,83.68,6.00145,-12.133
2025-03-08T02:25:05Z,17.69,1.39112,0.00145,84.57,6.08501,-13.196
2025-03-08T02:30:05Z,17.51,1.64197,2e-05,85.4,6.16857,-14.259
2025-03-08T02:35:05Z,17.51,1.64197,4e-05,86.11,6.25213,-15.321
2025-03-08T02:40:05Z,17.52,1.62692,0.00012,86.63,6.3357,-16.382
2025-03-08T02:45:05Z,17.52,1.62692,8e-05,86.87,6.41926,-17.442
2025-03-08T02:50:05Z,17.54,1.59722,1e-05,86.76,6.50282,-18.502
2025-03-08T02:55:05Z,17.53,1.612,1e-05,86.34,6.58638,-19.559
2025-03-08T03:00:05Z,17.53,1.612,1e-05,85.69,6.66994,-20.616
2025-03-08T03:05:05Z,17.53,1.612,2e-05,84.91,6.7535,-21.67
2025-03-08T03:10:05Z,17.53,1.612,1e-05,84.04,6.83706,-22.723
2025-03-08T03:15:05Z,17.54,1.59722,0.00111,83.12,6.92063,-23.774
2025-03-08T03:20:05Z,17.54,1.59722,0.00165,82.16,7.00419,-24.822
2025-03-08T03:25:05Z,17.54,1.59722,0.00149,81.19,7.08775,-25.868
2025-03-08T03:30:05Z,17.5,1.65716,0.00143,80.19,7.17131,-26.912
2025-03-08T03:35:05Z,17.49,1.6725,0.00178,79.19,7.25487,-27.952
2025-03-08T03:40:05Z,17.51,1.64197,0.0018,78.17,7.33843,-28.99
2025-03-08T03:45:05Z,17.51,1.64197,0.00172,77.15,7.42199,-30.024
2025-03-08T03:50:05Z,17.52,1.62692,0.00077,76.13,7.50556,-31.054
2025-03-08T03:55:05Z,17.49,1.6725,0.00086,75.1,7.58912,-32.081
2025-03-08T04:00:05Z,17.51,1.64197,0.0008,74.07,7.67268,-33.103
2025-03-08T04:05:05Z,17.52,1.62692,0.00132,73.03,7.75624,-34.121
2025-03-08T04:10:05Z,17.53,1.612,8.10812,72.0,7.8398,-35.134
2025-03-08T04:15:05Z,17.53,1.612,8.93009,70.96,7.92336,-36.142
2025-03-08T04:20:05Z,17.5,1.65716,7.48269,69.92,8.00693,-37.144
2025-03-08T04:25:07Z,21.25,0.0524,6.63237,68.88,8.09104,-38.147
2025-03-08T04:30:08Z,21.27,0.05145,7.63558,67.83,8.17488,-39.14
2025-03-08T04:35:08Z,21.31,0.04959,9.30352,66.8,8.25845,-40.123
2025-03-08T04:40:08Z,21.3,0.05005,8.47107,65.76,8.34201,-41.099
2025-03-08T04:45:07Z,21.2,0.05487,0.01192,64.72,8.42529,-42.064
2025-03-08T04:50:07Z,21.17,0.05641,0.02159,63.68,8.50885,-43.023
2025-03-08T04:55:07Z,21.19,0.05538,9.99766,62.64,8.59241,-43.974
2025-03-08T05:00:07Z,21.23,0.05338,12.75047,61.6,8.67597,-44.915
2025-03-08T05:05:08Z,21.31,0.04959,14.39374,60.56,8.75981,-45.849
2025-03-08T05:10:05Z,17.09,2.4175,15.06208,59.54,8.84254,-46.759
2025-03-08T05:15:08Z,21.31,0.04959,15.07306,58.49,8.92694,-47.676
2025-03-08T05:20:08Z,21.28,0.05098,14.36032,57.45,9.0105,-48.572
2025-03-08T05:25:07Z,21.22,0.05387,12.81853,56.42,9.09378,-49.451
2025-03-08T05:30:07Z,21.25,0.0524,10.35387,55.39,9.17734,-50.318
2025-03-08T05:35:07Z,21.23,0.05338,0.00988,54.35,9.2609,-51.17
2025-03-08T05:40:08Z,21.3,0.05005,0.01123,53.32,9.34474,-52.008
2025-03-08T05:45:07Z,21.17,0.05641,0.01153,52.29,9.42803,-52.823
2025-03-08T05:50:07Z,21.21,0.05437,0.01362,51.26,9.51159,-53.622
2025-03-08T05:55:07Z,21.26,0.05192,0.01394,50.23,9.59515,-54.4
2025-03-08T06:00:08Z,21.28,0.05098,0.01481,49.2,9.67899,-55.16
2025-03-08T06:05:07Z,21.19,0.05538,0.01028,48.18,9.76227,-55.891
2025-03-08T06:10:07Z,21.2,0.05487,0.01081,47.15,9.84584,-56.6
2025-03-08T06:15:07Z,21.25,0.0524,8.65578,46.13,9.9294,-57.282
2025-03-08T06:20:07Z,21.2,0.05487,9.49238,45.1,10.01296,-57.937
2025-03-08T06:25:08Z,21.29,0.05051,8.10853,44.08,10.0968,-58.563
2025-03-08T06:30:05Z,17.39,1.83386,7.2152,43.07,10.17952,-59.15
2025-03-08T06:35:05Z,17.45,1.73526,23.4781,42.05,10.26309,-59.709
2025-03-08T06:40:05Z,17.51,1.64197,28.6638,41.04,10.34665,-60.233
2025-03-08T06:45:05Z,17.47,1.70359,23.33777,40.02,10.43021,-60.719
2025-03-08T06:50:07Z,21.25,0.0524,6.56631,39.01,10.51433,-61.169
2025-03-08T06:55:07Z,21.22,0.05387,7.74489,38.0,10.59789,-61.574
2025-03-08T07:00:07Z,21.22,0.05387,9.05067,36.99,10.68145,-61.936
2025-03-08T07:05:07Z,21.26,0.05192,8.23601,35.98,10.76501,-62.253
2025-03-08T07:10:07Z,21.12,0.05907,0.01655,34.98,10.84857,-62.524
2025-03-08T07:15:08Z,21.28,0.05098,0.01988,33.97,10.93241,-62.748
2025-03-08T07:20:07Z,21.25,0.0524,0.0203,32.98,11.0157,-62.921
2025-03-08T07:25:07Z,21.22,0.05387,0.02316,31.98,11.09926,-63.045
2025-03-08T07:30:08Z,21.32,0.04913,0.02376,30.98,11.1831,-63.119
2025-03-08T07:35:08Z,21.33,0.04868,0.0104,29.99,11.26666,-63.141
2025-03-08T07:40:07Z,21.25,0.0524,8.68007,29.0,11.34994,-63.112
2025-03-08T07:45:07Z,21.24,0.05289,9.41254,28.02,11.4335,-63.032
2025-03-08T07:50:07Z,21.27,0.05145,7.67236,27.03,11.51707,-62.901
2025-03-08T07:55:05Z,17.42,1.78388,6.96671,26.06,11.60007,-62.722
2025-03-08T08:00:05Z,17.48,1.68797,23.10584,25.08,11.68363,-62.493
2025-03-08T08:05:05Z,17.51,1.64197,28.46905,24.1,11.76719,-62.216
2025-03-08T08:10:05Z,17.52,1.62692,23.0022,23.13,11.85075,-61.893
2025-03-08T08:15:07Z,21.24,0.05289,6.44004,22.15,11.93487,-61.523
2025-03-08T08:20:07Z,21.27,0.05145,7.31524,21.18,12.01843,-61.112
2025-03-08T08:25:07Z,21.27,0.05145,8.91218,20.22,12.102,-60.661
2025-03-08T08:30:07Z,21.31,0.04959,8.20043,19.26,12.18556,-60.169
2025-03-08T08:35:08Z,21.32,0.04913,0.01575,18.3,12.2694,-59.639
2025-03-08T08:40:07Z,21.27,0.05145,0.01125,17.35,12.35268,-59.077
2025-03-08T08:45:07Z,21.23,0.05338,0.00809,16.4,12.43624,-58.48
2025-03-08T08:50:07Z,21.15,0.05746,0.00432,15.45,12.5198,-57.852
2025-03-08T08:55:07Z,21.18,0.05589,0.01633,14.51,12.60336,-57.193
2025-03-08T09:00:06Z,21.16,0.05693,0.01239,13.58,12.68665,-56.509
2025-03-08T09:05:06Z,21.13,0.05853,0.01548,12.64,12.77021,-55.797
2025-03-08T09:10:07Z,21.23,0.05338,0.01017,11.71,12.85405,-55.058
2025-03-08T09:15:06Z,21.16,0.05693,0.01431,10.79,12.93733,-54.3
2025-03-08T09:20:07Z,21.27,0.05145,0.01647,9.86,13.02117,-53.516
2025-03-08T09:25:07Z,21.2,0.05487,0.0218,8.95,13.10473,-52.714
2025-03-08T09:30:07Z,21.15,0.05746,8.73789,8.03,13.1883,-51.894
2025-03-08T09:35:07Z,21.27,0.05145,9.72551,7.13,13.27186,-51.056
2025-03-08T09:40:08Z,21.34,0.04824,8.0784,6.22,13.3557,-50.199
2025-03-08T09:45:05Z,17.43,1.76753,7.40558,5.33,13.43842,-49.338
2025-03-08T09:50:05Z,17.47,1.70359,8.25385,4.44,13.52198,-48.454
2025-03-08T09:55:05Z,17.5,1.65716,9.81438,3.55,13.60555,-47.556
2025-03-08T10:00:05Z,17.54,1.59722,8.99814,2.67,13.68911,-46.646
2025-03-08T10:05:05Z,17.54,1.59722,0.00363,1.8,13.77267,-45.725
2025-03-08T10:10:05Z,17.55,1.58258,0.00258,0.93,13.85623,-44.792
2025-03-08T10:16:00Z,17.55,1.58258,0.00129,-0.1,13.95511,-43.676
2025-03-08T10:21:00Z,17.54,1.59722,0.00014,-0.95,14.03867,-42.722
2025-03-08T10:26:00Z,17.54,1.59722,0.00011,-1.8,14.12223,-41.759
2025-03-08T10:31:00Z,17.54,1.59722,6e-05,-2.65,14.2058,-40.788
2025-03-08T10:36:00Z,17.54,1.59722,6e-05,-3.48,14.28936,-39.81
2025-03-08T10:41:00Z,17.54,1.59722,1e-05,-4.31,14.37292,-38.824
2025-03-08T10:46:00Z,17.54,1.59722,1e-05,-5.14,14.45648,-37.831
2025-03-08T10:51:00Z,17.54,1.59722,1e-05,-5.95,14.54004,-36.833
2025-03-08T10:56:00Z,17.54,1.59722,1e-05,-6.76,14.6236,-35.828
2025-03-08T11:01:00Z,17.54,1.59722,1e-05,-7.56,14.70716,-34.818
2025-03-08T11:06:00Z,17.54,1.59722,1e-05,-8.35,14.79073,-33.803
2025-03-08T11:11:00Z,17.54,1.59722,1e-05,-9.14,14.87429,-32.783
2025-03-08T11:16:00Z,17.54,1.59722,1e-05,-9.91,14.95785,-31.759
2025-03-08T11:21:00Z,17.54,1.59722,1e-05,-10.68,15.04141,-30.73
2025-03-08T11:26:00Z,17.54,1.59722,1e-05,-11.44,15.12497,-29.698
2025-03-08T11:31:00Z,17.54,1.59722,1e-05,-12.19,15.20853,-28.662
2025-03-08T11:36:00Z,17.54,1.59722,1e-05,-12.93,15.2921,-27.622
2025-03-08T11:41:00Z,17.54,1.59722,1e-05,-13.66,15.37566,-26.58
2025-03-08T11:46:00Z,17.54,1.59722,1e-05,-14.38,15.45922,-25.535
2025-03-08T11:51:00Z,17.54,1.59722,1e-05,-15.09,15.54278,-24.487
2025-03-08T11:56:00Z,17.54,1.59722,1e-05,-15.78,15.62634,-23.437
2025-03-08T12:01:00Z,17.54,1.59722,1e-05,-16.47,15.7099,-22.385
2025-03-08T12:06:00Z,17.54,1.59722,1e-05,-17.15,15.79346,-21.33
2025-03-08T12:11:00Z,17.54,1.59722,1e-05,-17.81,15.87703,-20.274
2025-03-08T12:16:00Z,17.54,1.59722,1e-05,-18.47,15.96059,-19.216
