UTC,SQM,lum,chisquared,moonalt,LST,sunalt,Skytemp
2025-07-11T02:51:23Z,10.74,838.23467,2e-05,-1.67,14.73831,-4.491,9.55
2025-07-11T03:01:40Z,13.43,70.36645,0.00034,0.15,14.91017,-6.385,9.38
2025-07-11T03:11:55Z,15.7,8.69692,0.00897,1.95,15.08147,-8.244,9.33
2025-07-11T03:22:10Z,17.54,1.59722,0.00626,3.71,15.25277,-10.072,9.32
2025-07-11T03:32:24Z,19.03,0.40492,0.02601,5.45,15.42379,-11.864,9.19
2025-07-11T03:42:38Z,19.75,0.20862,0.00277,7.16,15.59481,-13.621,9.01
2025-07-11T04:03:06Z,19.71,0.21645,1e-05,10.48,15.93686,-17.017,9.47
2025-07-11T04:13:20Z,19.46,0.2725,0.00126,12.09,16.10788,-18.652,9.11
2025-07-11T04:23:35Z,19.24,0.33371,0.00457,13.66,16.27918,-20.241,9.07
2025-07-11T04:33:48Z,19.06,0.39388,0.00049,15.18,16.44993,-21.775,9.32
2025-07-11T04:44:02Z,18.76,0.51924,0.00208,16.67,16.62095,-23.258,9.18
2025-07-11T05:04:30Z,18.51,0.65368,0.00071,19.5,16.96299,-26.047,8.5
2025-07-11T05:14:43Z,18.49,0.66583,1e-05,20.84,17.13374,-27.343,8.53
2025-07-11T05:24:59Z,18.38,0.73683,0.00019,22.12,17.30532,-28.575,8.3
2025-07-11T05:35:12Z,18.3,0.79317,5e-05,23.34,17.47606,-29.726,8.4
2025-07-11T05:45:31Z,18.25,0.83055,0.00061,24.51,17.64848,-30.809,8.29
2025-07-11T05:55:45Z,18.17,0.89406,0.00085,25.61,17.8195,-31.8,9.5
2025-07-11T06:05:58Z,18.09,0.96242,1e-05,26.63,17.99024,-32.702,10.4
2025-07-11T06:16:12Z,18.12,0.93619,8e-05,27.58,18.16127,-33.514,10.45
2025-07-11T06:26:27Z,18.13,0.92761,0.00855,28.46,18.33257,-34.231,10.75
2025-07-11T06:36:40Z,18.11,0.94486,0.00406,29.25,18.50331,-34.847,10.23
2025-07-11T06:46:54Z,18.1,0.9536,0.00861,29.96,18.67433,-35.36,9.52
2025-07-11T06:57:08Z,18.05,0.99854,0.04073,30.58,18.84536,-35.768,8.93
2025-07-11T07:07:22Z,18.04,1.00778,0.06523,31.12,19.01638,-36.067,8.79
2025-07-11T07:17:36Z,18.14,0.91911,0.05416,31.56,19.1874,-36.256,8.85
2025-07-11T07:27:51Z,18.31,0.7859,0.04593,31.91,19.3587,-36.334,8.23
2025-07-11T07:38:05Z,18.42,0.71018,0.03551,32.16,19.52973,-36.3,8.31
2025-07-11T07:48:19Z,18.47,0.67821,0.03978,32.31,19.70075,-36.154,8.08
2025-07-11T08:03:51Z,18.4,0.72338,0.03478,32.36,19.96035,-35.722,6.99
2025-07-11T08:14:10Z,18.57,0.61854,0.01937,32.26,20.13276,-35.296,6.78
2025-07-11T08:34:37Z,18.63,0.58528,0.0176,31.78,20.47453,-34.139,6.85
2025-07-11T08:44:50Z,18.6,0.60168,0.02506,31.4,20.64527,-33.411,7.11
2025-07-11T08:55:04Z,18.6,0.60168,0.06504,30.92,20.81629,-32.587,6.85
2025-07-11T09:05:19Z,18.6,0.60168,0.0004,30.35,20.9876,-31.669,6.47
2025-07-11T09:15:34Z,18.55,0.63004,5e-05,29.69,21.1589,-30.665,6.43
2025-07-11T09:25:48Z,18.38,0.73683,0.00012,28.94,21.32992,-29.58,6.38
2025-07-11T09:36:02Z,18.33,0.77155,0.00025,28.12,21.50094,-28.416,5.97
2025-07-11T09:46:16Z,18.4,0.72338,0.00288,27.21,21.67196,-27.179,5.63
2025-07-11T09:56:30Z,18.44,0.69721,1e-05,26.23,21.84299,-25.872,5.63
2025-07-11T10:06:44Z,18.47,0.67821,0.00113,25.17,22.01401,-24.5,5.11
2025-07-11T10:16:58Z,18.52,0.64769,2e-05,24.05,22.18503,-23.068,5.26
2025-07-11T10:27:13Z,18.61,0.59616,5e-05,22.86,22.35633,-21.575,5.02
2025-07-11T10:37:27Z,18.74,0.52889,2e-05,21.61,22.52736,-20.031,5.17
2025-07-11T10:47:41Z,18.73,0.53378,1e-05,20.3,22.69838,-18.438,4.97
2025-07-11T10:57:55Z,18.85,0.47793,0.00162,18.94,22.8694,-16.797,5.08
2025-07-11T11:08:09Z,19.02,0.40866,0.00364,17.53,23.04042,-15.114,4.72
2025-07-11T11:18:23Z,18.86,0.47355,0.00032,16.07,23.21145,-13.39,4.53
2025-07-11T11:28:37Z,18.6,0.60168,0.00722,14.56,23.38247,-11.628,3.38
2025-07-11T11:38:50Z,17.55,1.58258,0.00265,13.01,23.55321,-9.834,3.39
2025-07-11T11:49:04Z,15.69,8.77739,0.02393,11.42,23.72423,-8.005,3.31
2025-07-11T11:59:19Z,13.31,78.5897,1e-05,9.8,23.89554,-6.142,3.48
2025-07-11T12:09:34Z,10.65,910.67963,0.0043,8.13,0.06684,-4.251,3.42
2025-07-12T02:51:47Z,10.9,723.37854,0.01091,-9.52,14.81071,-4.623,9.82
2025-07-12T03:02:01Z,13.63,58.52826,0.01247,-7.56,14.98173,-6.509,9.68
2025-07-12T03:22:32Z,17.71,1.36573,0.00662,-3.67,15.32461,-10.203,9.08
2025-07-12T03:32:46Z,19.38,0.29334,0.02218,-1.75,15.49563,-11.996,8.92
2025-07-12T03:43:02Z,20.42,0.11256,0.00364,0.15,15.66721,-13.76,8.43
2025-07-12T03:53:16Z,20.46,0.10848,0.00338,2.03,15.83823,-15.481,7.89
2025-07-12T04:03:30Z,20.17,0.1417,0.00128,3.89,16.00926,-17.16,8.01
2025-07-12T04:13:44Z,19.82,0.1956,0.00012,5.72,16.18028,-18.795,8.16
