UTC,SQM,lum,chisquared,moonalt,LST,sunalt,Skytemp
2020-06-01T02:37:12Z,10.07,1553.69448,1e-05,57.61,11.89206,-3.014,13.84
2020-06-01T02:38:13Z,10.3,1257.08783,8e-05,57.68,11.90905,-3.202,13.84
2020-06-01T02:39:13Z,10.52,1026.51576,1e-05,57.74,11.92576,-3.387,13.64
2020-06-01T02:40:13Z,10.72,853.81862,3e-05,57.8,11.94247,-3.572,13.87
2020-06-01T02:41:13Z,10.94,697.21323,1e-05,57.86,11.95919,-3.757,13.68
2020-06-01T02:42:13Z,11.18,558.94055,1e-05,57.92,11.9759,-3.941,13.52
2020-06-01T02:43:14Z,11.42,448.09038,1e-05,57.98,11.99289,-4.128,13.59
2020-06-01T02:44:14Z,11.65,362.54809,1e-05,58.04,12.0096,-4.312,13.74
2020-06-01T02:45:14Z,11.88,293.33617,1e-05,58.09,12.02631,-4.496,13.5
2020-06-01T02:46:14Z,12.11,237.33709,2e-05,58.15,12.04303,-4.679,13.68
2020-06-01T02:47:14Z,12.33,193.80529,3e-05,58.2,12.05974,-4.862,13.53
2020-06-01T02:49:15Z,12.76,130.42643,3e-05,58.3,12.09344,-5.231,13.73
2020-06-01T02:50:15Z,12.98,106.50393,2e-05,58.34,12.11015,-5.413,13.52
2020-06-01T02:51:16Z,13.19,87.77395,0.0001,58.39,12.12714,-5.598,13.36
2020-06-01T02:54:16Z,13.84,48.23537,4e-05,58.51,12.17728,-6.143,13.76
2020-06-01T02:57:17Z,14.5,26.26429,2e-05,58.62,12.2277,-6.687,13.64
2020-06-01T02:58:17Z,14.7,21.84568,1e-05,58.66,12.24441,-6.868,13.56
2020-06-01T02:59:17Z,14.91,18.00386,1e-05,58.69,12.26112,-7.047,13.69
2020-06-01T03:00:17Z,15.11,14.97496,1e-05,58.72,12.27783,-7.227,13.49
2020-06-01T03:01:17Z,15.29,12.6872,0.00389,58.75,12.29455,-7.406,13.42
2020-06-01T03:02:18Z,15.47,10.74894,0.00428,58.78,12.31154,-7.588,13.52
2020-06-01T03:03:18Z,15.63,9.2761,0.00336,58.8,12.32825,-7.767,13.55
2020-06-01T03:04:18Z,15.79,8.00508,0.00378,58.82,12.34496,-7.945,13.65
2020-06-01T03:05:18Z,15.94,6.97213,0.00594,58.85,12.36167,-8.123,13.67
2020-06-01T03:06:18Z,16.08,6.12866,0.00919,58.87,12.37839,-8.301,13.64
2020-06-01T03:07:19Z,16.2,5.48739,0.00845,58.88,12.39538,-8.481,13.53
2020-06-01T03:08:19Z,16.3,5.00456,0.00969,58.9,12.41209,-8.658,13.51
2020-06-01T03:10:20Z,16.51,4.12445,0.00554,58.93,12.44579,-9.015,13.56
2020-06-01T03:11:20Z,16.6,3.79634,0.00351,58.94,12.4625,-9.191,13.73
2020-06-01T03:12:20Z,16.64,3.65903,0.00351,58.95,12.47922,-9.367,13.59
2020-06-01T03:13:20Z,16.76,3.27616,0.00435,58.96,12.49593,-9.542,13.73
2020-06-01T03:14:21Z,16.83,3.07161,0.0036,58.96,12.51292,-9.721,13.62
2020-06-01T03:15:21Z,16.89,2.90647,0.00473,58.97,12.52963,-9.896,13.59
2020-06-01T03:16:21Z,16.94,2.77566,0.00625,58.97,12.54634,-10.07,13.45
2020-06-01T03:17:22Z,16.98,2.67526,0.00317,58.97,12.56334,-10.247,13.53
2020-06-01T03:18:22Z,17.02,2.57849,0.00229,58.97,12.58005,-10.421,13.46
2020-06-01T03:19:22Z,17.05,2.50822,0.00137,58.97,12.59676,-10.595,13.37
2020-06-01T03:21:22Z,17.1,2.39533,0.00185,58.96,12.63018,-10.941,13.25
2020-06-01T03:22:23Z,17.12,2.35161,0.00129,58.95,12.64718,-11.117,13.19
2020-06-01T03:23:23Z,17.14,2.30869,0.00076,58.94,12.66389,-11.289,13.15
2020-06-01T03:28:25Z,17.23,2.12503,0.00073,58.87,12.74801,-12.151,12.92
2020-06-01T03:30:26Z,17.26,2.06712,0.00083,58.83,12.78171,-12.494,12.93
2020-06-01T03:31:26Z,17.31,1.97408,0.00109,58.8,12.79842,-12.664,12.83
2020-06-01T03:32:27Z,17.3,1.99235,0.00112,58.78,12.81541,-12.836,12.78
2020-06-01T03:33:27Z,17.31,1.97408,0.00097,58.75,12.83212,-13.005,12.8
2020-06-01T03:34:27Z,17.32,1.95599,0.00078,58.72,12.84884,-13.173,12.76
2020-06-01T03:35:27Z,17.34,1.92028,0.00035,58.69,12.86555,-13.341,12.77
2020-06-01T03:36:27Z,17.35,1.90268,0.00039,58.66,12.88226,-13.509,12.68
2020-06-01T03:37:27Z,17.36,1.88524,0.00042,58.63,12.89897,-13.676,12.59
2020-06-01T03:38:28Z,17.37,1.86795,0.00035,58.59,12.91596,-13.846,12.55
2020-06-01T03:40:28Z,17.37,1.86795,0.00023,58.52,12.94939,-14.179,12.51
2020-06-01T03:41:28Z,17.38,1.85083,0.00025,58.48,12.9661,-14.345,12.56
2020-06-01T03:42:29Z,17.4,1.81704,0.00029,58.44,12.98309,-14.513,12.57
2020-06-01T03:44:29Z,17.4,1.81704,0.00034,58.35,13.01652,-14.843,12.34
2020-06-01T03:45:29Z,17.4,1.81704,0.00034,58.3,13.03323,-15.007,12.32
2020-06-01T03:46:29Z,17.4,1.81704,0.00035,58.25,13.04994,-15.171,12.25
2020-06-01T03:47:29Z,17.4,1.81704,0.00048,58.2,13.06665,-15.334,12.19
2020-06-01T03:48:29Z,17.41,1.80039,0.00032,58.15,13.08337,-15.497,12.09
2020-06-01T03:50:30Z,17.43,1.76753,0.00017,58.04,13.11707,-15.825,11.84
2020-06-01T03:51:30Z,17.44,1.75132,9e-05,57.99,13.13378,-15.987,11.86
2020-06-01T03:52:31Z,17.45,1.73526,6e-05,57.93,13.15077,-16.151,11.72
2020-06-01T03:53:31Z,17.45,1.73526,0.00016,57.87,13.16748,-16.312,11.81
2020-06-01T03:54:31Z,17.46,1.71936,0.00019,57.81,13.1842,-16.473,11.78
2020-06-01T03:55:32Z,17.47,1.70359,0.0007,57.75,13.20119,-16.636,11.73
2020-06-01T03:58:32Z,17.51,1.64197,0.0005,57.55,13.25132,-17.114,11.5
2020-06-01T03:59:32Z,17.52,1.62692,0.00037,57.48,13.26804,-17.272,11.47
2020-06-01T04:05:33Z,17.62,1.48377,0.00028,57.04,13.36859,-18.217,10.8
2020-06-01T04:06:33Z,17.63,1.47016,0.00033,56.96,13.3853,-18.372,10.67
2020-06-01T04:07:33Z,17.66,1.4301,0.00032,56.88,13.40201,-18.527,10.77
