UTC,SQM,lum,chisquared,moonalt,LST,sunalt,Skytemp
2025-02-01T01:08:26Z,19.16,0.35922,0.00144,27.33,2.50994,-3.154,-6.79
2025-02-01T01:09:26Z,19.13,0.36929,0.00018,27.16,2.52665,-3.355,-7.18
2025-02-01T01:10:26Z,19.01,0.41244,5e-05,26.98,2.54336,-3.556,-7.18
2025-02-01T01:11:26Z,18.97,0.42792,1e-05,26.8,2.56008,-3.757,-7.07
2025-02-01T01:12:26Z,18.95,0.43588,8e-05,26.63,2.57679,-3.958,-7.03
2025-02-01T01:13:26Z,18.92,0.44809,8e-05,26.45,2.5935,-4.159,-7.12
2025-02-01T01:14:26Z,18.88,0.46491,2e-05,26.27,2.61021,-4.361,-7.11
2025-02-01T01:15:27Z,18.87,0.46921,4e-05,26.09,2.6272,-4.566,-7.11
2025-02-01T01:16:26Z,18.85,0.47793,5e-05,25.91,2.64364,-4.764,-7.15
2025-02-01T01:17:26Z,18.84,0.48235,0.00018,25.74,2.66035,-4.966,-7.16
2025-02-01T01:18:26Z,18.87,0.46921,0.00032,25.56,2.67706,-5.168,-7.12
2025-02-01T01:19:26Z,18.91,0.45224,0.00012,25.38,2.69377,-5.37,-7.13
2025-02-01T01:20:27Z,18.9,0.45642,1e-05,25.2,2.71077,-5.576,-7.3
2025-02-01T01:21:27Z,18.92,0.44809,1e-05,25.02,2.72748,-5.778,-7.16
2025-02-01T01:22:27Z,18.92,0.44809,8e-05,24.84,2.74419,-5.981,-7.35
2025-02-01T01:23:27Z,18.9,0.45642,0.00013,24.66,2.7609,-6.184,-7.41
2025-02-01T01:24:27Z,18.87,0.46921,4e-05,24.47,2.77761,-6.386,-7.57
2025-02-01T01:25:27Z,18.87,0.46921,1e-05,24.29,2.79433,-6.589,-7.53
2025-02-01T01:26:27Z,18.85,0.47793,2e-05,24.11,2.81104,-6.792,-7.7
2025-02-01T01:27:27Z,18.84,0.48235,0.00107,23.93,2.82775,-6.996,-7.66
2025-02-01T01:28:27Z,18.85,0.47793,0.00294,23.75,2.84446,-7.199,-7.59
2025-02-01T01:29:27Z,18.86,0.47355,0.00511,23.57,2.86118,-7.402,-7.76
2025-02-01T01:30:27Z,18.83,0.48682,0.0138,23.38,2.87789,-7.606,-7.88
2025-02-01T01:31:28Z,18.77,0.51448,0.02809,23.2,2.89488,-7.813,-8.04
2025-02-01T01:32:28Z,18.73,0.53378,0.03336,23.02,2.91159,-8.017,-8.01
2025-02-01T01:33:28Z,18.62,0.5907,0.02096,22.83,2.9283,-8.221,-8.43
2025-02-01T01:34:28Z,18.47,0.67821,0.01115,22.65,2.94502,-8.425,-8.5
2025-02-01T01:35:28Z,18.32,0.77869,0.00587,22.47,2.96173,-8.629,-8.52
2025-02-01T01:36:28Z,18.23,0.84599,0.00214,22.28,2.97844,-8.834,-8.4
2025-02-01T01:37:28Z,18.13,0.92761,0.00214,22.1,2.99515,-9.038,-8.73
2025-02-01T01:38:28Z,17.98,1.06504,0.00305,21.91,3.01187,-9.243,-8.74
2025-02-01T01:39:28Z,17.86,1.1895,0.00879,21.73,3.02858,-9.447,-8.9
2025-02-01T01:40:28Z,17.73,1.34081,0.01511,21.54,3.04529,-9.652,-8.84
2025-02-01T01:41:28Z,17.67,1.41699,0.01546,21.36,3.062,-9.857,-8.65
2025-02-01T01:42:28Z,17.63,1.47016,0.01783,21.17,3.07871,-10.062,-8.65
2025-02-01T01:43:28Z,17.57,1.55369,0.01577,20.99,3.09543,-10.267,-8.82
2025-02-01T01:44:28Z,17.5,1.65716,0.00771,20.8,3.11214,-10.472,-8.67
2025-02-01T01:45:28Z,17.54,1.59722,0.00592,20.62,3.12885,-10.678,-8.5
