UTC,SQM,lum,chisquared,moonalt,LST,sunalt
2025-01-01T00:30:05Z,9.28,3216.36718,0.0001,5.15,23.96791,-3.007
2025-01-01T00:31:05Z,9.49,2650.73078,0.00015,4.99,23.98462,-3.195
2025-01-01T00:32:05Z,9.7,2184.56827,8e-05,4.83,0.00133,-3.383
2025-01-01T00:33:05Z,9.92,1783.87994,6e-05,4.67,0.01805,-3.571
2025-01-01T00:34:05Z,10.15,1443.32994,0.00014,4.5,0.03476,-3.759
2025-01-01T00:35:05Z,10.39,1157.08595,0.00014,4.34,0.05147,-3.948
2025-01-01T00:36:05Z,10.62,936.1935,0.00022,4.18,0.06818,-4.137
2025-01-01T00:37:05Z,10.86,750.52579,0.00028,4.02,0.08489,-4.326
2025-01-01T00:38:05Z,11.11,596.16383,0.00028,3.86,0.10161,-4.515
2025-01-01T00:39:05Z,11.35,477.93146,0.00028,3.69,0.11832,-4.705
2025-01-01T00:40:05Z,11.6,379.63446,0.00027,3.53,0.13503,-4.894
2025-01-01T00:41:05Z,11.85,301.55437,0.00027,3.37,0.15174,-5.084
2025-01-01T00:42:05Z,12.12,235.16118,0.00023,3.2,0.16846,-5.274
2025-01-01T00:43:05Z,12.37,186.79516,0.00021,3.04,0.18517,-5.464
2025-01-01T00:44:05Z,12.62,148.37667,0.00018,2.88,0.20188,-5.655
2025-01-01T00:45:05Z,12.9,114.64777,0.00017,2.71,0.21859,-5.846
2025-01-01T00:46:05Z,13.16,90.23305,0.00022,2.55,0.2353,-6.036
2025-01-01T00:47:05Z,13.42,71.01754,0.00011,2.38,0.25202,-6.227
2025-01-01T00:48:05Z,13.69,55.38162,7e-05,2.22,0.26873,-6.419
2025-01-01T00:49:05Z,13.96,43.18825,6e-05,2.05,0.28544,-6.61
2025-01-01T00:50:05Z,14.23,33.6795,0.00013,1.89,0.30215,-6.802
2025-01-01T00:51:05Z,14.49,26.50731,0.00011,1.72,0.31887,-6.993
2025-01-01T00:52:05Z,14.75,20.86247,0.00018,1.55,0.33558,-7.185
2025-01-01T00:53:05Z,15.01,16.41972,0.00015,1.39,0.35229,-7.377
2025-01-01T00:54:05Z,15.25,13.16333,0.00014,1.22,0.369,-7.57
2025-01-01T00:55:05Z,15.49,10.55275,0.00015,1.05,0.38572,-7.762
2025-01-01T00:56:05Z,15.73,8.45991,0.00011,0.89,0.40243,-7.955
2025-01-01T00:57:05Z,15.96,6.84488,0.00011,0.72,0.41914,-8.148
2025-01-01T00:58:05Z,16.17,5.64112,0.00011,0.55,0.43585,-8.341
2025-01-01T00:59:05Z,16.39,4.60644,7e-05,0.38,0.45256,-8.534
2025-01-01T01:00:05Z,16.61,3.76154,4e-05,0.22,0.46928,-8.727
2025-01-01T01:01:05Z,16.81,3.12871,5e-05,0.05,0.48599,-8.921
2025-01-01T01:02:05Z,17.01,2.60235,4e-05,-0.12,0.5027,-9.114
2025-01-01T01:03:05Z,17.21,2.16454,2e-05,-0.29,0.51941,-9.308
2025-01-01T01:04:05Z,17.4,1.81704,3e-05,-0.46,0.53613,-9.502
2025-01-01T01:05:05Z,17.59,1.52534,3e-05,-0.63,0.55284,-9.696
2025-01-01T01:06:05Z,17.78,1.28046,0.00012,-0.8,0.56955,-9.891
2025-01-01T01:07:05Z,17.96,1.08484,0.00016,-0.97,0.58626,-10.085
2025-01-01T01:08:05Z,18.15,0.91068,0.00016,-1.14,0.60298,-10.28
2025-01-01T01:09:05Z,18.33,0.77155,0.01696,-1.31,0.61969,-10.475
2025-01-01T01:10:05Z,18.51,0.65368,0.0192,-1.48,0.6364,-10.67
2025-01-01T01:11:05Z,18.69,0.55382,0.02295,-1.65,0.65311,-10.865
2025-01-01T01:12:05Z,18.87,0.46921,0.02593,-1.82,0.66982,-11.06
2025-01-01T01:13:05Z,19.05,0.39753,0.03147,-1.99,0.68654,-11.256
2025-01-01T01:14:05Z,19.21,0.34306,0.03976,-2.17,0.70325,-11.451
2025-01-01T01:15:05Z,19.37,0.29605,0.04792,-2.34,0.71996,-11.647
2025-01-01T01:16:05Z,19.53,0.25549,0.06018,-2.51,0.73667,-11.843
2025-01-01T01:17:05Z,19.69,0.22048,0.07262,-2.68,0.75339,-12.039
2025-01-01T01:18:05Z,19.84,0.19203,0.08777,-2.85,0.7701,-12.235
2025-01-01T01:19:05Z,19.98,0.1688,0.10043,-3.03,0.78681,-12.432
2025-01-01T01:20:05Z,20.13,0.14702,0.11708,-3.2,0.80352,-12.628
2025-01-01T01:21:05Z,20.26,0.13043,0.12568,-3.37,0.82024,-12.825
2025-01-01T01:22:06Z,20.38,0.11678,0.14156,-3.55,0.83723,-13.025
2025-01-01T01:23:05Z,20.5,0.10456,0.1587,-3.72,0.85366,-13.219
2025-01-01T01:24:05Z,20.6,0.09536,0.17073,-3.89,0.87037,-13.416
2025-01-01T01:25:06Z,20.7,0.08697,0.17472,-4.07,0.88736,-13.617
2025-01-01T01:26:07Z,20.79,0.08005,0.17791,-4.25,0.90435,-13.817
2025-01-01T01:27:08Z,20.88,0.07368,0.1748,-4.43,0.92134,-14.018
2025-01-01T01:28:08Z,20.94,0.06972,0.17023,-4.6,0.93806,-14.216
2025-01-01T01:29:06Z,21.02,0.06477,0.15327,-4.77,0.95421,-14.407
2025-01-01T01:30:06Z,21.06,0.06243,0.14013,-4.94,0.97092,-14.605
2025-01-01T01:31:07Z,21.11,0.05962,0.12505,-5.12,0.98792,-14.806
2025-01-01T01:32:07Z,21.15,0.05746,0.10685,-5.3,1.00463,-15.005
2025-01-01T01:33:07Z,21.19,0.05538,0.09247,-5.47,1.02134,-15.203
2025-01-01T01:34:08Z,21.21,0.05437,0.07475,-5.65,1.03833,-15.405
2025-01-01T01:35:08Z,21.24,0.05289,0.05936,-5.83,1.05504,-15.604
2025-01-01T01:36:08Z,21.25,0.0524,0.04587,-6.01,1.07176,-15.802
2025-01-01T01:37:08Z,21.28,0.05098,0.03562,-6.18,1.08847,-16.001
2025-01-01T01:38:09Z,21.29,0.05051,0.02495,-6.36,1.10546,-16.204
2025-01-01T01:39:09Z,21.3,0.05005,0.02017,-6.54,1.12217,-16.403
2025-01-01T01:40:09Z,21.31,0.04959,0.0137,-6.72,1.13888,-16.602
2025-01-01T01:41:09Z,21.31,0.04959,0.0093,-6.89,1.1556,-16.801
