UTC,SQM,lum,chisquared,moonalt,LST,sunalt
2024-12-14T03:45:00Z,17.43,1.76753,0.04786,58.33,1.90505,-42.361
2024-12-14T04:00:02Z,17.21,2.16454,0.1049,61.43,2.15629,-45.534
2024-12-14T04:15:02Z,16.79,3.18688,0.00158,64.51,2.40698,-48.702
2024-12-14T04:30:02Z,15.7,8.69692,0.00576,67.57,2.65766,-51.869
2024-12-14T04:45:02Z,14.86,18.85236,0.0016,70.6,2.90835,-55.03
2024-12-14T05:00:02Z,14.32,31.00028,0.00158,73.58,3.15903,-58.179
2024-12-14T05:15:00Z,13.93,44.39823,0.00858,76.46,3.40916,-61.301
2024-12-14T05:30:00Z,13.6,60.16801,0.00457,79.17,3.65984,-64.399
2024-12-14T05:45:00Z,13.5,65.97291,0.00138,81.55,3.91053,-67.448
2024-12-14T06:00:00Z,13.54,63.5866,0.01038,83.23,4.16121,-70.423
2024-12-14T06:15:00Z,13.52,64.76877,0.00308,83.62,4.4119,-73.28
2024-12-14T06:30:00Z,13.44,69.72132,0.00753,82.52,4.66258,-75.943
2024-12-14T06:45:00Z,13.41,71.67466,0.00314,80.43,4.91327,-78.276
2024-12-14T07:00:00Z,13.64,57.99167,0.05714,77.86,5.16395,-80.043
2024-12-14T07:15:00Z,14.06,39.38815,0.17298,75.05,5.41464,-80.903
2024-12-14T07:30:00Z,14.47,27.00012,0.16421,72.12,5.66532,-80.605
2024-12-14T07:45:00Z,15.12,14.83767,0.05281,69.13,5.916,-79.243
2024-12-14T08:00:00Z,16.51,4.12445,0.00378,66.09,6.16669,-77.154
2024-12-14T08:15:00Z,17.08,2.43986,0.00049,63.04,6.41737,-74.632
2024-12-14T08:30:00Z,17.39,1.83386,0.17298,59.97,6.66806,-71.859
2024-12-14T08:45:00Z,17.59,1.52534,0.16421,56.89,6.91874,-68.936
2024-12-14T09:00:00Z,17.72,1.35321,0.05281,53.82,7.16943,-65.92
2024-12-14T09:15:00Z,17.81,1.24556,0.00378,50.75,7.42011,-62.844
2024-12-14T09:30:00Z,17.91,1.13597,0.00049,47.69,7.6708,-59.729
2024-12-14T09:45:00Z,17.96,1.08484,0.00065,44.64,7.92148,-56.589
2024-12-14T10:00:00Z,18.02,1.02652,0.00018,41.6,8.17217,-53.434
2024-12-14T10:15:00Z,18.09,0.96242,0.00021,38.57,8.42285,-50.27
2024-12-14T10:30:00Z,18.16,0.90233,0.00041,35.56,8.67353,-47.102
2024-12-14T10:45:00Z,18.23,0.84599,1e-05,32.57,8.92422,-43.935
2024-12-14T11:00:00Z,18.28,0.80791,1e-05,29.59,9.1749,-40.771
2024-12-14T11:15:00Z,18.33,0.77155,5e-05,26.64,9.42559,-37.615
2024-12-14T11:30:00Z,18.38,0.73683,2e-05,23.72,9.67627,-34.469
2024-12-14T11:45:00Z,18.44,0.69721,5e-05,20.82,9.92696,-31.335
2024-12-14T12:00:00Z,18.48,0.67199,1e-05,17.95,10.17764,-28.217
2024-12-14T12:15:00Z,18.55,0.63004,6e-05,15.11,10.42833,-25.116
2024-12-14T12:30:00Z,18.62,0.5907,0.00013,12.31,10.67901,-22.036
2024-12-14T12:45:00Z,18.7,0.54874,0.00013,9.55,10.92969,-18.978
2024-12-14T13:00:00Z,18.8,0.50046,6e-05,6.82,11.18038,-15.947
2024-12-14T13:15:00Z,18.84,0.48235,4e-05,4.15,11.43106,-12.945
