UTC,SQM,lum,chisquared,moonalt
2019-01-09T00:50:08Z,10.43,1115.23303,0.07851,23.15
2019-01-09T00:55:08Z,11.67,355.93084,0.02414,22.37
2019-01-09T01:00:08Z,12.96,108.48398,0.00744,21.58
2019-01-09T01:05:08Z,14.35,30.15544,0.01331,20.79
2019-01-09T01:10:08Z,15.7,8.69692,0.02033,19.98
2019-01-09T01:15:08Z,16.82,3.10003,0.01376,19.16
2019-01-09T01:20:08Z,17.79,1.26872,0.01949,18.34
2019-01-09T01:25:08Z,18.67,0.56411,0.05448,17.5
2019-01-09T01:30:08Z,19.49,0.26507,0.06884,16.66
2019-01-09T01:35:08Z,20.15,0.14433,0.04864,15.8
2019-01-09T01:40:09Z,20.63,0.09276,0.01718,14.94
2019-01-09T01:45:10Z,20.9,0.07234,0.00362,14.07
2019-01-09T01:50:09Z,21.03,0.06417,0.00055,13.2
2019-01-09T01:55:09Z,21.09,0.06072,0.00011,12.32
2019-01-09T02:00:10Z,21.11,0.05962,0.00016,11.42
2019-01-09T02:05:10Z,21.12,0.05907,0.00015,10.53
2019-01-09T02:10:10Z,21.13,0.05853,0.00011,9.63
2019-01-09T02:15:10Z,21.14,0.05799,0.00016,8.72
2019-01-09T02:20:10Z,21.14,0.05799,0.00022,7.81
2019-01-09T02:25:10Z,21.13,0.05853,0.00039,6.89
2019-01-09T02:30:10Z,21.13,0.05853,0.00035,5.96
2019-01-09T02:35:10Z,21.13,0.05853,0.00028,5.03
2019-01-09T02:40:10Z,21.13,0.05853,0.00025,4.1
2019-01-09T02:45:09Z,21.12,0.05907,0.00051,3.17
2019-01-09T02:50:09Z,21.12,0.05907,0.00062,2.22
2019-01-09T02:55:09Z,21.1,0.06017,0.00085,1.27
2019-01-09T03:00:09Z,21.11,0.05962,0.00088,0.32
2019-01-09T03:05:09Z,21.12,0.05907,0.00094,-0.63
2019-01-09T03:10:09Z,21.12,0.05907,0.00063,-1.59
2019-01-09T03:15:09Z,21.12,0.05907,0.00041,-2.55
2019-01-09T03:20:10Z,21.14,0.05799,0.00039,-3.52
2019-01-09T03:25:10Z,21.18,0.05589,0.0002,-4.49
2019-01-09T03:30:10Z,21.18,0.05589,0.00029,-5.47
2019-01-09T03:35:10Z,21.18,0.05589,0.00035,-6.44
2019-01-09T03:40:10Z,21.2,0.05487,0.00012,-7.42
2019-01-09T03:45:10Z,21.2,0.05487,0.00011,-8.4
2019-01-09T03:50:10Z,21.2,0.05487,0.00015,-9.38
2019-01-09T03:55:10Z,21.2,0.05487,0.00028,-10.37
2019-01-09T04:00:10Z,21.19,0.05538,9e-05,-11.36
2019-01-09T04:05:10Z,21.19,0.05538,0.00242,-12.35
2019-01-09T04:10:10Z,21.2,0.05487,0.00088,-13.34
2019-01-09T04:15:10Z,21.2,0.05487,0.00086,-14.34
2019-01-09T04:20:10Z,21.21,0.05437,0.00074,-15.33
2019-01-09T04:25:10Z,21.21,0.05437,0.0006,-16.33
2019-01-09T04:30:10Z,21.21,0.05437,0.0006,-17.33
2019-01-09T04:35:10Z,21.2,0.05487,0.0006,-18.33
2019-01-09T04:40:10Z,21.2,0.05487,0.00091,-19.34
