time (UT),rad (mag/sq asec),rad nW/cm2/sr,chisquared,Moon alt (deg)
2024-11-29T00:33:05Z,10,0.00218,1657.1645,-24.81
2024-11-29T00:34:05Z,10.17,0.00051,1416.9862,-25.01
2024-11-29T00:35:05Z,10.42,0.00136,1125.55215,-25.22
2024-11-29T00:36:05Z,10.65,0.00158,910.67963,-25.42
2024-11-29T00:37:05Z,10.91,0.00116,716.74657,-25.62
2024-11-29T00:38:05Z,11.15,0.0011,574.6,-25.83
2024-11-29T00:39:05Z,11.39,0.00109,460.64422,-26.03
2024-11-29T00:40:05Z,11.66,0.00241,359.22423,-26.23
2024-11-29T00:41:05Z,11.89,0.00149,290.64685,-26.44
2024-11-29T00:42:05Z,12.13,0.00054,233.0052,-26.64
2024-11-29T00:43:05Z,12.43,0.00171,176.75252,-26.84
2024-11-29T00:44:05Z,12.7,0.00299,137.83694,-27.05
2024-11-29T00:45:05Z,12.98,0.00372,106.50393,-27.25
2024-11-29T00:46:05Z,13.27,0.00648,81.53905,-27.45
2024-11-29T00:47:05Z,13.56,0.00834,62.42602,-27.66
2024-11-29T00:48:05Z,13.81,0.00885,49.58675,-27.86
2024-11-29T00:49:05Z,14.08,0.01231,38.66924,-28.06
2024-11-29T00:50:05Z,14.35,0.01226,30.15544,-28.27
2024-11-29T00:51:05Z,14.67,0.01055,22.45772,-28.47
2024-11-29T00:52:05Z,14.99,0.01631,16.72498,-28.68
2024-11-29T00:53:05Z,15.22,0.01674,13.53211,-28.88
2024-11-29T00:54:05Z,15.45,0.00875,10.94878,-29.08
2024-11-29T00:55:05Z,15.67,0.01387,8.94058,-29.29
2024-11-29T00:56:05Z,16.01,0.01102,6.53681,-29.49
2024-11-29T00:57:05Z,16.31,0.00683,4.95867,-29.69
2024-11-29T00:58:05Z,16.58,0.00526,3.86692,-29.9
2024-11-29T00:59:05Z,16.79,0.00525,3.18688,-30.1
2024-11-29T01:00:05Z,16.98,0.00451,2.67526,-30.31
2024-11-29T01:01:05Z,17.13,0.00294,2.33005,-30.51
2024-11-29T01:02:05Z,17.36,0.0026,1.88524,-30.71
2024-11-29T01:03:05Z,17.61,0.0019,1.4975,-30.92
2024-11-29T01:04:05Z,17.8,0.00185,1.25709,-31.12
2024-11-29T01:05:05Z,17.95,0.0008,1.09488,-31.33
2024-11-29T01:06:05Z,18.15,0.00117,0.91068,-31.53
2024-11-29T01:07:05Z,18.36,0.00466,0.75053,-31.73
2024-11-29T01:08:05Z,18.53,0.00366,0.64175,-31.94
2024-11-29T01:09:05Z,18.69,0.00281,0.55382,-32.14
