#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2024-11-30T00:30:00Z,9.97,SQM,Sugarloaf
,,,2024-11-30T00:40:00Z,12.22,SQM,Sugarloaf
,,,2024-11-30T00:50:00Z,14.71,SQM,Sugarloaf
,,,2024-11-30T01:00:00Z,17.0,SQM,Sugarloaf
,,,2024-11-30T01:10:00Z,19.06,SQM,Sugarloaf
,,,2024-11-30T01:20:00Z,20.67,SQM,Sugarloaf
,,,2024-11-30T01:30:00Z,21.39,SQM,Sugarloaf
,,,2024-11-30T01:40:00Z,21.55,SQM,Sugarloaf
,,,2024-11-30T01:50:00Z,21.59,SQM,Sugarloaf
,,,2024-11-30T02:00:00Z,21.62,SQM,Sugarloaf
,,,2024-11-30T02:10:00Z,21.65,SQM,Sugarloaf
,,,2024-11-30T02:20:00Z,21.64,SQM,Sugarloaf
,,,2024-11-30T02:30:00Z,21.68,SQM,Sugarloaf
,,,2024-11-30T02:40:00Z,21.66,SQM,Sugarloaf
,,,2024-11-30T02:50:00Z,21.65,SQM,Sugarloaf
,,,2024-11-30T03:00:00Z,21.64,SQM,Sugarloaf
,,,2024-11-30T03:10:00Z,21.72,SQM,Sugarloaf
,,,2024-11-30T03:20:00Z,21.86,SQM,Sugarloaf
,,,2024-11-30T03:30:00Z,21.65,SQM,Sugarloaf
,,,2024-11-30T03:40:00Z,21.64,SQM,Sugarloaf
,,,2024-11-30T03:50:00Z,21.65,SQM,Sugarloaf
,,,2024-11-30T04:00:00Z,21.66,SQM,Sugarloaf
,,,2024-11-30T04:10:00Z,21.69,SQM,Sugarloaf
,,,2024-11-30T04:20:00Z,21.71,SQM,Sugarloaf
,,,2024-11-30T04:30:00Z,21.75,SQM,Sugarloaf
,,,2024-11-30T04:40:00Z,21.8,SQM,Sugarloaf
,,,2024-11-30T04:50:00Z,21.77,SQM,Sugarloaf
,,,2024-11-30T05:00:00Z,21.75,SQM,Sugarloaf
,,,2024-11-30T05:10:00Z,21.72,SQM,Sugarloaf
,,,2024-11-30T05:20:00Z,21.72,SQM,Sugarloaf
,,,2024-11-30T05:30:00Z,21.73,SQM,Sugarloaf
,,,2024-11-30T05:40:00Z,21.74,SQM,Sugarloaf
,,,2024-11-30T05:50:00Z,21.76,SQM,Sugarloaf
,,,2024-11-30T06:00:00Z,21.77,SQM,Sugarloaf
,,,2024-11-30T06:10:00Z,21.78,SQM,Sugarloaf
,,,2024-11-30T06:20:00Z,21.77,SQM,Sugarloaf
,,,2024-11-30T06:30:00Z,21.78,SQM,Sugarloaf
,,,2024-11-30T06:40:00Z,21.79,SQM,Sugarloaf
,,,2024-11-30T06:50:00Z,21.78,SQM,Sugarloaf
,,,2024-11-30T07:00:00Z,21.76,SQM,Sugarloaf
,,,2024-11-30T07:10:00Z,21.77,SQM,Sugarloaf
,,,2024-11-30T07:20:00Z,21.73,SQM,Sugarloaf
,,,2024-11-30T07:30:00Z,21.75,SQM,Sugarloaf
,,,2024-11-30T07:40:00Z,21.71,SQM,Sugarloaf
,,,2024-11-30T07:50:00Z,21.7,SQM,Sugarloaf
,,,2024-11-30T08:00:00Z,21.74,SQM,Sugarloaf
,,,2024-11-30T08:10:00Z,21.61,SQM,Sugarloaf
,,,2024-11-30T08:20:00Z,21.57,SQM,Sugarloaf
,,,2024-11-30T08:30:00Z,21.59,SQM,Sugarloaf
,,,2024-11-30T08:40:00Z,21.58,SQM,Sugarloaf
,,,2024-11-30T08:50:00Z,21.58,SQM,Sugarloaf
,,,2024-11-30T09:00:00Z,21.62,SQM,Sugarloaf
,,,2024-11-30T09:10:00Z,21.64,SQM,Sugarloaf
,,,2024-11-30T09:20:00Z,21.63,SQM,Sugarloaf
,,,2024-11-30T09:30:00Z,21.65,SQM,Sugarloaf
,,,2024-11-30T09:40:00Z,21.66,SQM,Sugarloaf
,,,2024-11-30T09:50:00Z,21.67,SQM,Sugarloaf
,,,2024-11-30T10:00:00Z,21.69,SQM,Sugarloaf
,,,2024-11-30T10:10:00Z,21.67,SQM,Sugarloaf
,,,2024-11-30T10:20:00Z,21.65,SQM,Sugarloaf
,,,2024-11-30T10:30:00Z,21.65,SQM,Sugarloaf
,,,2024-11-30T10:40:00Z,21.68,SQM,Sugarloaf
,,,2024-11-30T10:50:00Z,21.69,SQM,Sugarloaf
,,,2024-11-30T11:00:00Z,21.71,SQM,Sugarloaf
,,,2024-11-30T11:10:00Z,21.7,SQM,Sugarloaf
,,,2024-11-30T11:20:00Z,21.71,SQM,Sugarloaf
,,,2024-11-30T11:30:00Z,21.72,SQM,Sugarloaf
,,,2024-11-30T11:40:00Z,21.74,SQM,Sugarloaf
,,,2024-11-30T11:50:00Z,21.71,SQM,Sugarloaf
,,,2024-11-30T12:00:00Z,21.72,SQM,Sugarloaf
,,,2024-11-30T12:10:00Z,21.73,SQM,Sugarloaf
,,,2024-11-30T12:20:00Z,21.74,SQM,Sugarloaf
,,,2024-11-30T12:30:00Z,21.73,SQM,Sugarloaf
,,,2024-11-30T12:40:00Z,21.74,SQM,Sugarloaf
,,,2024-11-30T12:50:00Z,21.7,SQM,Sugarloaf
,,,2024-11-30T13:00:00Z,21.29,SQM,Sugarloaf
,,,2024-11-30T13:10:00Z,19.97,SQM,Sugarloaf
,,,2024-11-30T13:20:00Z,18.14,SQM,Sugarloaf
,,,2024-11-30T13:30:00Z,16.1,SQM,Sugarloaf
,,,2024-11-30T13:40:00Z,13.7,SQM,Sugarloaf
,,,2024-12-01T00:30:00Z,9.77,SQM,Sugarloaf
,,,2024-12-01T00:40:00Z,12.04,SQM,Sugarloaf
,,,2024-12-01T00:50:00Z,14.63,SQM,Sugarloaf
,,,2024-12-01T01:00:00Z,16.99,SQM,Sugarloaf
,,,2024-12-01T01:10:00Z,18.96,SQM,Sugarloaf
,,,2024-12-01T01:20:00Z,20.5,SQM,Sugarloaf
,,,2024-12-01T01:30:00Z,21.3,SQM,Sugarloaf
,,,2024-12-01T01:40:00Z,21.54,SQM,Sugarloaf
,,,2024-12-01T01:50:00Z,21.6,SQM,Sugarloaf
,,,2024-12-01T02:00:00Z,21.63,SQM,Sugarloaf
,,,2024-12-01T02:10:00Z,21.66,SQM,Sugarloaf
,,,2024-12-01T02:20:00Z,21.69,SQM,Sugarloaf
,,,2024-12-01T02:30:00Z,21.72,SQM,Sugarloaf
,,,2024-12-01T02:40:00Z,21.74,SQM,Sugarloaf
,,,2024-12-01T02:50:00Z,21.76,SQM,Sugarloaf
,,,2024-12-01T03:00:00Z,21.78,SQM,Sugarloaf
,,,2024-12-01T03:10:00Z,21.79,SQM,Sugarloaf
,,,2024-12-01T03:20:00Z,21.8,SQM,Sugarloaf
,,,2024-12-01T03:30:00Z,21.81,SQM,Sugarloaf
,,,2024-12-01T03:40:00Z,21.81,SQM,Sugarloaf
,,,2024-12-01T03:50:00Z,21.82,SQM,Sugarloaf
,,,2024-12-01T04:00:00Z,21.82,SQM,Sugarloaf
,,,2024-12-01T04:10:00Z,21.81,SQM,Sugarloaf
,,,2024-12-01T04:20:00Z,21.82,SQM,Sugarloaf
,,,2024-12-01T04:30:00Z,21.82,SQM,Sugarloaf
,,,2024-12-01T04:40:00Z,21.83,SQM,Sugarloaf
,,,2024-12-01T04:50:00Z,21.82,SQM,Sugarloaf
,,,2024-12-01T05:00:00Z,21.82,SQM,Sugarloaf
,,,2024-12-01T05:10:00Z,21.82,SQM,Sugarloaf
,,,2024-12-01T05:20:00Z,21.8,SQM,Sugarloaf
,,,2024-12-01T05:30:00Z,21.79,SQM,Sugarloaf
,,,2024-12-01T05:40:00Z,21.77,SQM,Sugarloaf
,,,2024-12-01T05:50:00Z,21.77,SQM,Sugarloaf
,,,2024-12-01T06:00:00Z,21.77,SQM,Sugarloaf
,,,2024-12-01T06:10:00Z,21.77,SQM,Sugarloaf
,,,2024-12-01T06:20:00Z,21.75,SQM,Sugarloaf
,,,2024-12-01T06:30:00Z,21.72,SQM,Sugarloaf
,,,2024-12-01T06:40:00Z,21.7,SQM,Sugarloaf
,,,2024-12-01T06:50:00Z,21.66,SQM,Sugarloaf
,,,2024-12-01T07:00:00Z,21.61,SQM,Sugarloaf
,,,2024-12-01T07:10:00Z,21.58,SQM,Sugarloaf
,,,2024-12-01T07:20:00Z,21.55,SQM,Sugarloaf
,,,2024-12-01T07:30:00Z,21.51,SQM,Sugarloaf
,,,2024-12-01T07:40:00Z,21.5,SQM,Sugarloaf
,,,2024-12-01T07:50:00Z,21.48,SQM,Sugarloaf
,,,2024-12-01T08:00:00Z,21.47,SQM,Sugarloaf
,,,2024-12-01T08:10:00Z,21.47,SQM,Sugarloaf
,,,2024-12-01T08:20:00Z,21.47,SQM,Sugarloaf
,,,2024-12-01T08:30:00Z,21.49,SQM,Sugarloaf
,,,2024-12-01T08:40:00Z,21.5,SQM,Sugarloaf
,,,2024-12-01T08:50:00Z,21.51,SQM,Sugarloaf
,,,2024-12-01T09:00:00Z,21.52,SQM,Sugarloaf
,,,2024-12-01T09:10:00Z,21.52,SQM,Sugarloaf
,,,2024-12-01T09:20:00Z,21.53,SQM,Sugarloaf
,,,2024-12-01T09:30:00Z,21.54,SQM,Sugarloaf
,,,2024-12-01T09:40:00Z,21.55,SQM,Sugarloaf
,,,2024-12-01T09:50:00Z,21.56,SQM,Sugarloaf
,,,2024-12-01T10:00:00Z,21.56,SQM,Sugarloaf
,,,2024-12-01T10:10:00Z,21.56,SQM,Sugarloaf
,,,2024-12-01T10:20:00Z,21.57,SQM,Sugarloaf
,,,2024-12-01T10:30:00Z,21.59,SQM,Sugarloaf
,,,2024-12-01T10:40:00Z,21.6,SQM,Sugarloaf
,,,2024-12-01T10:50:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T11:00:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T11:10:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T11:20:00Z,21.63,SQM,Sugarloaf
,,,2024-12-01T11:30:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T11:40:00Z,21.61,SQM,Sugarloaf
,,,2024-12-01T11:50:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T12:00:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T12:10:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T12:20:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T12:30:00Z,21.62,SQM,Sugarloaf
,,,2024-12-01T12:40:00Z,21.61,SQM,Sugarloaf
,,,2024-12-01T12:50:00Z,21.55,SQM,Sugarloaf
,,,2024-12-01T13:00:00Z,21.21,SQM,Sugarloaf
,,,2024-12-01T13:10:00Z,20.1,SQM,Sugarloaf
,,,2024-12-01T13:20:00Z,18.32,SQM,Sugarloaf
,,,2024-12-01T13:30:00Z,16.28,SQM,Sugarloaf
,,,2024-12-01T13:40:00Z,13.86,SQM,Sugarloaf
,,,2024-12-02T00:30:00Z,9.61,SQM,Sugarloaf
