#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2024-01-02T00:48:00Z,10.19,SQM,DSN006_KPNO
,,,2024-01-02T00:59:00Z,12.87,SQM,DSN006_KPNO
,,,2024-01-02T01:10:00Z,15.82,SQM,DSN006_KPNO
,,,2024-01-02T01:21:00Z,18.06,SQM,DSN006_KPNO
,,,2024-01-02T01:32:00Z,19.92,SQM,DSN006_KPNO
,,,2024-01-02T01:43:00Z,21.05,SQM,DSN006_KPNO
,,,2024-01-02T01:54:00Z,21.41,SQM,DSN006_KPNO
,,,2024-01-02T02:05:00Z,21.51,SQM,DSN006_KPNO
,,,2024-01-02T02:16:00Z,21.66,SQM,DSN006_KPNO
,,,2024-01-02T02:27:00Z,21.79,SQM,DSN006_KPNO
,,,2024-01-02T02:38:00Z,21.93,SQM,DSN006_KPNO
,,,2024-01-02T02:49:00Z,21.9,SQM,DSN006_KPNO
,,,2024-01-02T03:00:00Z,21.65,SQM,DSN006_KPNO
,,,2024-01-02T03:11:00Z,21.72,SQM,DSN006_KPNO
,,,2024-01-02T03:22:00Z,21.82,SQM,DSN006_KPNO
,,,2024-01-02T03:33:00Z,21.73,SQM,DSN006_KPNO
,,,2024-01-02T03:44:00Z,21.69,SQM,DSN006_KPNO
,,,2024-01-02T03:55:00Z,21.62,SQM,DSN006_KPNO
,,,2024-01-02T04:06:00Z,21.6,SQM,DSN006_KPNO
,,,2024-01-02T04:17:00Z,21.59,SQM,DSN006_KPNO
,,,2024-01-02T04:28:00Z,21.59,SQM,DSN006_KPNO
,,,2024-01-02T04:39:00Z,21.63,SQM,DSN006_KPNO
,,,2024-01-02T04:50:00Z,21.6,SQM,DSN006_KPNO
,,,2024-01-02T05:01:00Z,21.57,SQM,DSN006_KPNO
,,,2024-01-02T05:12:00Z,22.47,SQM,DSN006_KPNO
,,,2024-01-02T05:23:00Z,22.53,SQM,DSN006_KPNO
,,,2024-01-02T05:34:00Z,23.1,SQM,DSN006_KPNO
,,,2024-01-02T05:45:00Z,21.8,SQM,DSN006_KPNO
,,,2024-01-02T05:56:00Z,21.77,SQM,DSN006_KPNO
,,,2024-01-02T06:07:00Z,22.93,SQM,DSN006_KPNO
,,,2024-01-02T06:18:00Z,22.49,SQM,DSN006_KPNO
,,,2024-01-02T06:29:00Z,21.17,SQM,DSN006_KPNO
,,,2024-01-02T06:40:00Z,20.85,SQM,DSN006_KPNO
,,,2024-01-02T06:51:00Z,20.18,SQM,DSN006_KPNO
,,,2024-01-02T07:02:00Z,20.14,SQM,DSN006_KPNO
,,,2024-01-02T07:13:00Z,20.5,SQM,DSN006_KPNO
,,,2024-01-02T07:24:00Z,19.87,SQM,DSN006_KPNO
,,,2024-01-02T07:35:00Z,20.53,SQM,DSN006_KPNO
,,,2024-01-02T07:46:00Z,20.68,SQM,DSN006_KPNO
,,,2024-01-02T07:57:00Z,19.7,SQM,DSN006_KPNO
,,,2024-01-02T08:08:00Z,19.45,SQM,DSN006_KPNO
,,,2024-01-02T08:19:00Z,19.04,SQM,DSN006_KPNO
,,,2024-01-02T08:30:00Z,18.97,SQM,DSN006_KPNO
,,,2024-01-02T08:41:00Z,18.99,SQM,DSN006_KPNO
,,,2024-01-02T08:52:00Z,18.96,SQM,DSN006_KPNO
,,,2024-01-02T09:03:00Z,18.66,SQM,DSN006_KPNO
,,,2024-01-02T09:14:00Z,18.71,SQM,DSN006_KPNO
,,,2024-01-02T09:25:00Z,18.79,SQM,DSN006_KPNO
,,,2024-01-02T09:36:00Z,18.44,SQM,DSN006_KPNO
,,,2024-01-02T09:47:00Z,18.3,SQM,DSN006_KPNO
,,,2024-01-02T09:58:00Z,18.73,SQM,DSN006_KPNO
,,,2024-01-02T10:09:00Z,18.32,SQM,DSN006_KPNO
,,,2024-01-02T10:20:00Z,18.28,SQM,DSN006_KPNO
,,,2024-01-02T10:31:00Z,18.73,SQM,DSN006_KPNO
,,,2024-01-02T10:42:00Z,19.07,SQM,DSN006_KPNO
,,,2024-01-02T10:53:00Z,18.97,SQM,DSN006_KPNO
,,,2024-01-02T11:04:00Z,18.93,SQM,DSN006_KPNO
,,,2024-01-02T11:15:00Z,18.88,SQM,DSN006_KPNO
,,,2024-01-02T11:26:00Z,18.77,SQM,DSN006_KPNO
