# UTC time,local time,SB,T,counts,frequency,temperature,humidity,sky temperature,dew point,wind speed,wind gust,wind direction,rain,pressure,sky condition,Reduced chi-2 test (value),Reduced chi-2 test (clear),g-test (value),g-test (clear),RSD (value),RSD (clear),RMSD (value),RMSD (clear)
2026-01-01T00:00:00.066,2025-12-31T17:00:00.066,5.92,24.1,0.0,360453.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:01:00.065,2025-12-31T17:01:00.065,6.01,24.1,0.0,333068.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:02:00.066,2025-12-31T17:02:00.066,6.2299999999999995,24.1,0.0,274422.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:03:00.066,2025-12-31T17:03:00.066,6.2299999999999995,23.8,0.0,273236.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:04:00.065,2025-12-31T17:04:00.065,6.359999999999999,23.8,0.0,241195.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:05:00.066,2025-12-31T17:05:00.066,6.529999999999999,24.1,0.0,206753.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:06:00.097,2025-12-31T17:06:00.097,6.54,24.1,0.0,204531.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:07:00.066,2025-12-31T17:07:00.066,6.609999999999999,23.8,0.0,190512.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:08:00.066,2025-12-31T17:08:00.066,6.68,23.8,0.0,178178.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:09:00.066,2025-12-31T17:09:00.066,6.8,23.8,0.0,160252.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:10:00.066,2025-12-31T17:10:00.066,6.9799999999999995,23.8,0.0,137200.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:11:00.065,2025-12-31T17:11:00.065,7.1,23.8,0.0,121758.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:12:00.065,2025-12-31T17:12:00.065,7.22,23.8,0.0,109344.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:13:00.065,2025-12-31T17:13:00.065,7.31,23.8,0.0,100741.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:14:00.066,2025-12-31T17:14:00.066,7.359999999999999,23.8,0.0,96008.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:15:00.066,2025-12-31T17:15:00.066,7.37,23.5,0.0,95228.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:16:00.066,2025-12-31T17:16:00.066,7.44,23.8,0.0,89521.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:17:00.096,2025-12-31T17:17:00.096,7.5,23.5,0.0,84931.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:18:00.065,2025-12-31T17:18:00.065,7.569999999999999,23.5,0.0,79263.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:19:00.066,2025-12-31T17:19:00.066,7.67,23.5,0.0,72552.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:20:00.066,2025-12-31T17:20:00.066,7.75,23.5,0.0,66798.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:21:00.066,2025-12-31T17:21:00.066,7.8,23.5,0.0,64037.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:22:00.066,2025-12-31T17:22:00.066,7.89,23.5,0.0,59108.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:23:00.065,2025-12-31T17:23:00.065,7.97,23.5,0.0,54427.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:24:00.065,2025-12-31T17:24:00.065,8.100000000000001,23.5,0.0,48463.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:25:00.067,2025-12-31T17:25:00.067,8.190000000000001,23.5,0.0,44726.0,,,,,,,,,,-,,False,,False,,False,,False
2026-01-01T00:26:00.066,2025-12-31T17:26:00.066,8.17,23.5,0.0,45522.0,,,,,,,,,,-,,False,,False,,False,,False
