# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN008-S
# Data supplier: DarkSky SoAZ
# Location name: Oracle SP
# Position (lat, lon, elev(m)): 32.6078, -110.733, 1390
# Local timezone: MST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7473
# SQM hardware identity: B003LSES
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007473
# SQM readout test rx (Reading): r, 10.53m,0000005855Hz,0000000000c,0000000.000s, 021.2C
# SQM readout test cx (Calibration): c,00000019.95m,0000300.000s, 015.1C,00000008.71m, 015.1C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -1
# DL retrieved at (UTC): 2025-03-27T22:13:28.186
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.363
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-03-26T23:54:59.000;2025-03-26T16:54:59.000;22.8;4.74;7.90;0
2025-03-27T00:00:05.000;2025-03-26T17:00:05.000;21.5;4.74;7.93;1
2025-03-27T00:05:05.000;2025-03-26T17:05:05.000;21.9;4.74;7.78;1
2025-03-27T00:08:32.000;2025-03-26T17:08:32.000;22.2;4.74;9.01;0
2025-03-27T00:10:05.000;2025-03-26T17:10:05.000;21.9;4.74;9.84;1
2025-03-27T00:15:05.000;2025-03-26T17:15:05.000;21.9;4.74;9.85;1
2025-03-27T00:20:05.000;2025-03-26T17:20:05.000;22.2;4.74;9.83;1
2025-03-27T00:25:05.000;2025-03-26T17:25:05.000;22.2;4.74;9.86;1
2025-03-27T00:30:05.000;2025-03-26T17:30:05.000;22.2;4.74;9.94;1
2025-03-27T00:35:05.000;2025-03-26T17:35:05.000;22.2;4.74;9.90;1
2025-03-27T00:40:05.000;2025-03-26T17:40:05.000;22.2;4.74;9.90;1
2025-03-27T00:45:05.000;2025-03-26T17:45:05.000;22.2;4.74;9.94;1
2025-03-27T00:50:05.000;2025-03-26T17:50:05.000;22.2;4.74;9.97;1
2025-03-27T00:55:05.000;2025-03-26T17:55:05.000;22.2;4.74;10.32;1
2025-03-27T01:00:05.000;2025-03-26T18:00:05.000;22.2;4.74;10.33;1
2025-03-27T01:05:05.000;2025-03-26T18:05:05.000;22.2;4.74;11.57;1
2025-03-27T01:10:05.000;2025-03-26T18:10:05.000;22.2;4.74;11.84;1
2025-03-27T01:15:05.000;2025-03-26T18:15:05.000;21.9;4.74;12.07;1
2025-03-27T01:20:05.000;2025-03-26T18:20:05.000;21.9;4.74;12.27;1
