# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN014-S
# Data supplier: DarkSky SoAZ Chapter
# Location name: Tubac
# Position (lat, lon, elev(m)): 31.61259, -111.04592, 978
# Local timezone: MST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0.0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7479
# SQM hardware identity: B003LRRS
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007479
# SQM readout test rx (Reading): r, 10.68m,0000004920Hz,0000000000c,0000000.000s, 023.5C
# SQM readout test cx (Calibration): c,00000019.90m,0000300.000s, 019.0C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -1
# DL retrieved at (UTC): 2025-03-15T21:39:50.146
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.362
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-03-08T00:01:20.000;2025-03-07T17:01:20.000;22.5;4.96;13.11;0
2025-03-08T00:25:31.000;2025-03-07T17:25:31.000;24.1;4.95;10.06;0
2025-03-08T00:30:05.000;2025-03-07T17:30:05.000;23.2;4.96;10.12;1
2025-03-08T00:35:05.000;2025-03-07T17:35:05.000;22.5;4.96;10.19;1
2025-03-08T00:40:05.000;2025-03-07T17:40:05.000;22.2;4.96;10.28;1
2025-03-08T00:45:05.000;2025-03-07T17:45:05.000;22.2;4.96;10.37;1
2025-03-08T00:50:05.000;2025-03-07T17:50:05.000;22.2;4.95;10.43;1
2025-03-08T00:55:05.000;2025-03-07T17:55:05.000;21.9;4.95;10.25;1
2025-03-08T01:00:05.000;2025-03-07T18:00:05.000;21.9;4.95;10.74;1
2025-03-08T01:05:05.000;2025-03-07T18:05:05.000;21.9;4.95;10.95;1
2025-03-08T01:10:05.000;2025-03-07T18:10:05.000;21.9;4.96;11.15;1
2025-03-08T01:15:05.000;2025-03-07T18:15:05.000;21.9;4.96;11.43;1
2025-03-08T01:20:05.000;2025-03-07T18:20:05.000;21.9;4.95;11.84;1
2025-03-08T01:22:01.000;2025-03-07T18:22:01.000;22.5;4.95;13.36;0
2025-03-08T01:25:05.000;2025-03-07T18:25:05.000;21.9;4.96;13.79;1
2025-03-08T01:30:05.000;2025-03-07T18:30:05.000;21.9;4.95;14.49;1
2025-03-08T01:35:05.000;2025-03-07T18:35:05.000;21.9;4.95;15.31;1
2025-03-08T01:40:05.000;2025-03-07T18:40:05.000;21.5;4.95;16.10;1
2025-03-08T01:45:05.000;2025-03-07T18:45:05.000;21.5;4.95;16.62;1
2025-03-08T01:50:05.000;2025-03-07T18:50:05.000;21.5;4.95;16.84;1
2025-03-08T01:55:05.000;2025-03-07T18:55:05.000;21.5;4.95;16.90;1
2025-03-08T02:00:05.000;2025-03-07T19:00:05.000;21.9;4.95;16.93;1
2025-03-08T02:05:05.000;2025-03-07T19:05:05.000;21.5;4.95;16.93;1
2025-03-08T02:10:05.000;2025-03-07T19:10:05.000;21.5;4.95;16.93;1
2025-03-08T02:15:05.000;2025-03-07T19:15:05.000;21.9;4.95;16.93;1
2025-03-08T02:20:05.000;2025-03-07T19:20:05.000;21.9;4.95;16.94;1
2025-03-08T02:25:05.000;2025-03-07T19:25:05.000;21.9;4.95;17.69;1
2025-03-08T02:30:05.000;2025-03-07T19:30:05.000;21.9;4.95;17.51;1
2025-03-08T02:35:05.000;2025-03-07T19:35:05.000;21.9;4.95;17.51;1
2025-03-08T02:40:05.000;2025-03-07T19:40:05.000;21.9;4.95;17.52;1
2025-03-08T02:45:05.000;2025-03-07T19:45:05.000;21.9;4.95;17.52;1
2025-03-08T02:50:05.000;2025-03-07T19:50:05.000;21.9;4.95;17.54;1
2025-03-08T02:55:05.000;2025-03-07T19:55:05.000;21.9;4.95;17.53;1
2025-03-08T03:00:05.000;2025-03-07T20:00:05.000;21.9;4.95;17.53;1
2025-03-08T03:05:05.000;2025-03-07T20:05:05.000;21.9;4.95;17.53;1
2025-03-08T03:10:05.000;2025-03-07T20:10:05.000;21.9;4.95;17.53;1
2025-03-08T03:15:05.000;2025-03-07T20:15:05.000;21.9;4.95;17.54;1
2025-03-08T03:20:05.000;2025-03-07T20:20:05.000;21.5;4.95;17.54;1
2025-03-08T03:25:05.000;2025-03-07T20:25:05.000;21.5;4.95;17.54;1
2025-03-08T03:30:05.000;2025-03-07T20:30:05.000;21.5;4.95;17.50;1
2025-03-08T03:35:05.000;2025-03-07T20:35:05.000;21.5;4.95;17.49;1
2025-03-08T03:40:05.000;2025-03-07T20:40:05.000;21.5;4.95;17.51;1
2025-03-08T03:45:05.000;2025-03-07T20:45:05.000;21.5;4.95;17.51;1
2025-03-08T03:50:05.000;2025-03-07T20:50:05.000;21.5;4.95;17.52;1
2025-03-08T03:55:05.000;2025-03-07T20:55:05.000;21.5;4.95;17.49;1
2025-03-08T04:00:05.000;2025-03-07T21:00:05.000;21.5;4.95;17.51;1
2025-03-08T04:05:05.000;2025-03-07T21:05:05.000;21.5;4.95;17.52;1
2025-03-08T04:10:05.000;2025-03-07T21:10:05.000;21.5;4.95;17.53;1
2025-03-08T04:15:05.000;2025-03-07T21:15:05.000;21.5;4.95;17.53;1
2025-03-08T04:20:05.000;2025-03-07T21:20:05.000;21.5;4.95;17.50;1
2025-03-08T04:25:07.000;2025-03-07T21:25:07.000;21.5;4.95;21.25;1
2025-03-08T04:30:08.000;2025-03-07T21:30:08.000;21.5;4.95;21.27;1
2025-03-08T04:35:08.000;2025-03-07T21:35:08.000;21.5;4.95;21.31;1
2025-03-08T04:40:08.000;2025-03-07T21:40:08.000;21.5;4.95;21.30;1
2025-03-08T04:45:07.000;2025-03-07T21:45:07.000;21.5;4.95;21.20;1
2025-03-08T04:50:07.000;2025-03-07T21:50:07.000;21.5;4.95;21.17;1
2025-03-08T04:55:07.000;2025-03-07T21:55:07.000;21.5;4.95;21.19;1
2025-03-08T05:00:07.000;2025-03-07T22:00:07.000;21.5;4.95;21.23;1
2025-03-08T05:05:08.000;2025-03-07T22:05:08.000;21.5;4.95;21.31;1
2025-03-08T05:10:05.000;2025-03-07T22:10:05.000;21.5;4.95;17.09;1
2025-03-08T05:15:08.000;2025-03-07T22:15:08.000;21.5;4.95;21.31;1
2025-03-08T05:20:08.000;2025-03-07T22:20:08.000;21.5;4.95;21.28;1
2025-03-08T05:25:07.000;2025-03-07T22:25:07.000;21.5;4.95;21.22;1
2025-03-08T05:30:07.000;2025-03-07T22:30:07.000;21.5;4.95;21.25;1
2025-03-08T05:35:07.000;2025-03-07T22:35:07.000;21.5;4.95;21.23;1
2025-03-08T05:40:08.000;2025-03-07T22:40:08.000;21.5;4.95;21.30;1
2025-03-08T05:45:07.000;2025-03-07T22:45:07.000;21.5;4.95;21.17;1
2025-03-08T05:50:07.000;2025-03-07T22:50:07.000;21.5;4.95;21.21;1
2025-03-08T05:55:07.000;2025-03-07T22:55:07.000;21.5;4.95;21.26;1
2025-03-08T06:00:08.000;2025-03-07T23:00:08.000;21.5;4.95;21.28;1
2025-03-08T06:05:07.000;2025-03-07T23:05:07.000;21.5;4.95;21.19;1
2025-03-08T06:10:07.000;2025-03-07T23:10:07.000;21.5;4.95;21.20;1
2025-03-08T06:15:07.000;2025-03-07T23:15:07.000;21.5;4.95;21.25;1
2025-03-08T06:20:07.000;2025-03-07T23:20:07.000;21.5;4.95;21.20;1
2025-03-08T06:25:08.000;2025-03-07T23:25:08.000;21.5;4.95;21.29;1
2025-03-08T06:30:05.000;2025-03-07T23:30:05.000;21.5;4.95;17.39;1
2025-03-08T06:35:05.000;2025-03-07T23:35:05.000;21.5;4.95;17.45;1
2025-03-08T06:40:05.000;2025-03-07T23:40:05.000;21.5;4.95;17.51;1
2025-03-08T06:45:05.000;2025-03-07T23:45:05.000;21.5;4.95;17.47;1
2025-03-08T06:50:07.000;2025-03-07T23:50:07.000;21.5;4.95;21.25;1
2025-03-08T06:55:07.000;2025-03-07T23:55:07.000;21.5;4.95;21.22;1
2025-03-08T07:00:07.000;2025-03-08T00:00:07.000;21.5;4.95;21.22;1
2025-03-08T07:05:07.000;2025-03-08T00:05:07.000;21.5;4.95;21.26;1
2025-03-08T07:10:07.000;2025-03-08T00:10:07.000;21.5;4.95;21.12;1
2025-03-08T07:15:08.000;2025-03-08T00:15:08.000;21.5;4.95;21.28;1
2025-03-08T07:20:07.000;2025-03-08T00:20:07.000;21.5;4.95;21.25;1
2025-03-08T07:25:07.000;2025-03-08T00:25:07.000;21.5;4.95;21.22;1
2025-03-08T07:30:08.000;2025-03-08T00:30:08.000;21.5;4.94;21.32;1
2025-03-08T07:35:08.000;2025-03-08T00:35:08.000;21.2;4.94;21.33;1
2025-03-08T07:40:07.000;2025-03-08T00:40:07.000;21.2;4.95;21.25;1
2025-03-08T07:45:07.000;2025-03-08T00:45:07.000;21.2;4.95;21.24;1
2025-03-08T07:50:07.000;2025-03-08T00:50:07.000;21.2;4.94;21.27;1
2025-03-08T07:55:05.000;2025-03-08T00:55:05.000;21.2;4.94;17.42;1
2025-03-08T08:00:05.000;2025-03-08T01:00:05.000;21.2;4.95;17.48;1
2025-03-08T08:05:05.000;2025-03-08T01:05:05.000;21.2;4.94;17.51;1
2025-03-08T08:10:05.000;2025-03-08T01:10:05.000;20.9;4.94;17.52;1
2025-03-08T08:15:07.000;2025-03-08T01:15:07.000;20.9;4.94;21.24;1
2025-03-08T08:20:07.000;2025-03-08T01:20:07.000;20.9;4.94;21.27;1
2025-03-08T08:25:07.000;2025-03-08T01:25:07.000;20.9;4.94;21.27;1
2025-03-08T08:30:07.000;2025-03-08T01:30:07.000;20.9;4.94;21.31;1
2025-03-08T08:35:08.000;2025-03-08T01:35:08.000;20.6;4.94;21.32;1
2025-03-08T08:40:07.000;2025-03-08T01:40:07.000;20.6;4.94;21.27;1
2025-03-08T08:45:07.000;2025-03-08T01:45:07.000;20.6;4.94;21.23;1
2025-03-08T08:50:07.000;2025-03-08T01:50:07.000;20.6;4.94;21.15;1
2025-03-08T08:55:07.000;2025-03-08T01:55:07.000;20.6;4.94;21.18;1
2025-03-08T09:00:06.000;2025-03-08T02:00:06.000;20.6;4.94;21.16;1
2025-03-08T09:05:06.000;2025-03-08T02:05:06.000;20.6;4.94;21.13;1
2025-03-08T09:10:07.000;2025-03-08T02:10:07.000;20.6;4.94;21.23;1
2025-03-08T09:15:06.000;2025-03-08T02:15:06.000;20.6;4.94;21.16;1
2025-03-08T09:20:07.000;2025-03-08T02:20:07.000;20.6;4.94;21.27;1
2025-03-08T09:25:07.000;2025-03-08T02:25:07.000;20.6;4.94;21.20;1
2025-03-08T09:30:07.000;2025-03-08T02:30:07.000;20.6;4.94;21.15;1
2025-03-08T09:35:07.000;2025-03-08T02:35:07.000;20.6;4.94;21.27;1
2025-03-08T09:40:08.000;2025-03-08T02:40:08.000;20.6;4.94;21.34;1
2025-03-08T09:45:05.000;2025-03-08T02:45:05.000;20.6;4.94;17.43;1
2025-03-08T09:50:05.000;2025-03-08T02:50:05.000;20.6;4.94;17.47;1
2025-03-08T09:55:05.000;2025-03-08T02:55:05.000;20.6;4.94;17.50;1
2025-03-08T10:00:05.000;2025-03-08T03:00:05.000;20.6;4.94;17.54;1
2025-03-08T10:05:05.000;2025-03-08T03:05:05.000;20.6;4.94;17.54;1
2025-03-08T10:10:05.000;2025-03-08T03:10:05.000;20.6;4.94;17.55;1
2025-03-08T10:16:00.000;2025-03-08T03:16:00.000;21.2;4.94;17.55;1
2025-03-08T10:21:00.000;2025-03-08T03:21:00.000;21.5;4.94;17.54;1
2025-03-08T10:26:00.000;2025-03-08T03:26:00.000;21.5;4.94;17.54;1
2025-03-08T10:31:00.000;2025-03-08T03:31:00.000;21.5;4.94;17.54;1
2025-03-08T10:36:00.000;2025-03-08T03:36:00.000;21.5;4.94;17.54;1
2025-03-08T10:41:00.000;2025-03-08T03:41:00.000;21.5;4.94;17.54;1
2025-03-08T10:46:00.000;2025-03-08T03:46:00.000;21.5;4.94;17.54;1
2025-03-08T10:51:00.000;2025-03-08T03:51:00.000;21.5;4.94;17.54;1
2025-03-08T10:56:00.000;2025-03-08T03:56:00.000;21.5;4.94;17.54;1
2025-03-08T11:01:00.000;2025-03-08T04:01:00.000;21.5;4.94;17.54;1
2025-03-08T11:06:00.000;2025-03-08T04:06:00.000;21.5;4.94;17.54;1
2025-03-08T11:11:00.000;2025-03-08T04:11:00.000;21.5;4.94;17.54;1
2025-03-08T11:16:00.000;2025-03-08T04:16:00.000;21.5;4.94;17.54;1
2025-03-08T11:21:00.000;2025-03-08T04:21:00.000;21.5;4.94;17.54;1
2025-03-08T11:26:00.000;2025-03-08T04:26:00.000;21.5;4.94;17.54;1
2025-03-08T11:31:00.000;2025-03-08T04:31:00.000;21.5;4.94;17.54;1
2025-03-08T11:36:00.000;2025-03-08T04:36:00.000;21.5;4.94;17.54;1
2025-03-08T11:41:00.000;2025-03-08T04:41:00.000;21.5;4.94;17.54;1
2025-03-08T11:46:00.000;2025-03-08T04:46:00.000;21.5;4.94;17.54;1
2025-03-08T11:51:00.000;2025-03-08T04:51:00.000;21.9;4.94;17.54;1
2025-03-08T11:56:00.000;2025-03-08T04:56:00.000;21.9;4.92;17.54;1
2025-03-08T12:01:00.000;2025-03-08T05:01:00.000;21.5;4.92;17.54;1
2025-03-08T12:06:00.000;2025-03-08T05:06:00.000;21.5;4.92;17.54;1
2025-03-08T12:11:00.000;2025-03-08T05:11:00.000;21.9;4.92;17.54;1
2025-03-08T12:16:00.000;2025-03-08T05:16:00.000;21.9;4.92;17.54;1
2025-03-08T12:21:00.000;2025-03-08T05:21:00.000;21.9;4.92;17.54;1
2025-03-08T12:26:00.000;2025-03-08T05:26:00.000;21.9;4.92;17.54;1
2025-03-08T12:31:00.000;2025-03-08T05:31:00.000;21.9;4.92;17.54;1
2025-03-08T12:36:00.000;2025-03-08T05:36:00.000;21.9;4.92;17.54;1
2025-03-08T12:41:00.000;2025-03-08T05:41:00.000;21.9;4.92;17.54;1
2025-03-08T12:46:00.000;2025-03-08T05:46:00.000;21.9;4.92;17.54;1
2025-03-08T12:51:00.000;2025-03-08T05:51:00.000;21.9;4.92;17.54;1
2025-03-08T12:56:00.000;2025-03-08T05:56:00.000;21.9;4.92;17.54;1
2025-03-08T13:06:00.000;2025-03-08T06:06:00.000;21.9;4.92;23.45;1
2025-03-08T13:10:19.000;2025-03-08T06:10:19.000;21.5;4.92;22.03;1
2025-03-08T13:15:06.000;2025-03-08T06:15:06.000;20.9;4.92;20.64;1
2025-03-08T13:20:05.000;2025-03-08T06:20:05.000;20.9;4.92;19.22;1
2025-03-08T13:25:05.000;2025-03-08T06:25:05.000;20.9;4.92;17.83;1
2025-03-08T13:30:05.000;2025-03-08T06:30:05.000;20.9;4.92;16.35;1
2025-03-08T13:35:05.000;2025-03-08T06:35:05.000;20.9;4.92;15.28;1
2025-03-08T13:40:05.000;2025-03-08T06:40:05.000;20.9;4.92;14.31;1
2025-03-08T13:45:05.000;2025-03-08T06:45:05.000;20.9;4.92;13.47;1
2025-03-08T13:50:05.000;2025-03-08T06:50:05.000;20.9;4.92;12.88;1
2025-03-08T13:55:05.000;2025-03-08T06:55:05.000;20.9;4.92;12.37;1
2025-03-08T14:00:05.000;2025-03-08T07:00:05.000;20.9;4.92;11.87;1
2025-03-08T14:05:05.000;2025-03-08T07:05:05.000;21.2;4.92;11.56;1
2025-03-08T14:10:05.000;2025-03-08T07:10:05.000;20.9;4.92;11.23;1
2025-03-08T14:15:05.000;2025-03-08T07:15:05.000;21.2;4.94;9.55;1
2025-03-08T14:20:05.000;2025-03-08T07:20:05.000;21.2;4.95;9.33;1
2025-03-08T14:25:05.000;2025-03-08T07:25:05.000;21.2;4.96;9.19;1
2025-03-08T14:30:05.000;2025-03-08T07:30:05.000;21.5;4.96;9.06;1
2025-03-08T14:35:05.000;2025-03-08T07:35:05.000;21.5;4.96;8.95;1
2025-03-08T14:40:05.000;2025-03-08T07:40:05.000;21.5;4.97;8.85;1
2025-03-08T14:45:05.000;2025-03-08T07:45:05.000;21.5;4.99;8.76;1
2025-03-08T14:50:05.000;2025-03-08T07:50:05.000;21.9;5.00;8.68;1
2025-03-08T14:55:05.000;2025-03-08T07:55:05.000;21.9;5.01;8.61;1
2025-03-08T15:00:05.000;2025-03-08T08:00:05.000;21.9;5.03;8.55;1
2025-03-08T15:05:05.000;2025-03-08T08:05:05.000;21.9;5.03;8.48;1
2025-03-08T15:10:05.000;2025-03-08T08:10:05.000;21.9;5.04;8.43;1
2025-03-08T15:15:05.000;2025-03-08T08:15:05.000;22.2;5.04;8.37;1
2025-03-08T15:20:05.000;2025-03-08T08:20:05.000;22.2;5.05;8.32;1
2025-03-08T15:25:05.000;2025-03-08T08:25:05.000;22.2;5.05;8.26;1
2025-03-08T15:30:05.000;2025-03-08T08:30:05.000;22.5;5.06;8.22;1
2025-03-08T15:35:05.000;2025-03-08T08:35:05.000;22.5;5.08;8.18;1
2025-03-08T15:40:05.000;2025-03-08T08:40:05.000;22.2;5.08;8.13;1
2025-03-08T15:45:05.000;2025-03-08T08:45:05.000;22.8;5.09;8.08;1
2025-03-08T15:50:05.000;2025-03-08T08:50:05.000;22.8;5.10;8.04;1
2025-03-08T15:55:05.000;2025-03-08T08:55:05.000;22.5;5.12;8.00;1
2025-03-08T16:00:05.000;2025-03-08T09:00:05.000;22.5;5.13;7.96;1
2025-03-08T16:05:05.000;2025-03-08T09:05:05.000;22.5;5.13;7.92;1
2025-03-08T16:10:05.000;2025-03-08T09:10:05.000;22.8;5.15;7.88;1
2025-03-08T16:15:05.000;2025-03-08T09:15:05.000;22.8;5.17;7.83;1
2025-03-08T16:20:05.000;2025-03-08T09:20:05.000;22.8;5.18;7.79;1
2025-03-08T16:25:05.000;2025-03-08T09:25:05.000;22.8;5.18;7.76;1
2025-03-08T16:30:05.000;2025-03-08T09:30:05.000;23.2;5.19;7.73;1
2025-03-08T16:35:05.000;2025-03-08T09:35:05.000;22.8;5.21;7.69;1
2025-03-08T16:40:05.000;2025-03-08T09:40:05.000;23.2;5.21;7.65;1
2025-03-08T16:45:05.000;2025-03-08T09:45:05.000;23.2;5.22;7.61;1
2025-03-08T16:50:05.000;2025-03-08T09:50:05.000;23.2;5.22;7.56;1
2025-03-08T16:55:05.000;2025-03-08T09:55:05.000;23.2;5.22;7.53;1
2025-03-08T17:00:05.000;2025-03-08T10:00:05.000;22.8;5.22;7.49;1
2025-03-08T17:05:05.000;2025-03-08T10:05:05.000;23.2;5.23;7.46;1
2025-03-08T17:10:05.000;2025-03-08T10:10:05.000;23.2;5.23;7.43;1
2025-03-08T17:15:05.000;2025-03-08T10:15:05.000;24.1;5.34;7.75;1
2025-03-08T17:20:05.000;2025-03-08T10:20:05.000;24.4;5.34;7.76;1
2025-03-08T17:25:05.000;2025-03-08T10:25:05.000;24.4;5.34;7.77;1
2025-03-08T17:30:05.000;2025-03-08T10:30:05.000;24.8;5.34;7.79;1
2025-03-08T17:35:05.000;2025-03-08T10:35:05.000;25.4;5.34;7.82;1
2025-03-08T17:40:05.000;2025-03-08T10:40:05.000;25.7;5.34;7.84;1
2025-03-08T17:45:05.000;2025-03-08T10:45:05.000;25.7;5.34;7.86;1
2025-03-08T17:50:05.000;2025-03-08T10:50:05.000;26.4;5.34;7.85;1
2025-03-08T17:55:05.000;2025-03-08T10:55:05.000;26.7;5.34;8.61;1
2025-03-08T18:00:05.000;2025-03-08T11:00:05.000;26.7;5.08;9.33;1
2025-03-08T18:05:05.000;2025-03-08T11:05:05.000;27.7;5.34;7.99;1
2025-03-08T18:10:05.000;2025-03-08T11:10:05.000;28.0;5.34;8.02;1
2025-03-08T18:15:05.000;2025-03-08T11:15:05.000;28.3;5.34;8.04;1
2025-03-08T18:20:05.000;2025-03-08T11:20:05.000;28.6;5.34;8.06;1
2025-03-08T18:25:05.000;2025-03-08T11:25:05.000;29.0;5.34;8.09;1
2025-03-08T18:30:05.000;2025-03-08T11:30:05.000;28.6;5.34;9.40;1
2025-03-08T18:35:05.000;2025-03-08T11:35:05.000;29.6;5.34;7.92;1
2025-03-08T18:40:05.000;2025-03-08T11:40:05.000;30.2;5.34;7.61;1
2025-03-08T18:45:05.000;2025-03-08T11:45:05.000;30.6;5.34;7.54;1
2025-03-08T18:50:05.000;2025-03-08T11:50:05.000;30.9;5.34;7.58;1
2025-03-08T18:55:05.000;2025-03-08T11:55:05.000;31.2;5.34;7.61;1
2025-03-08T19:00:05.000;2025-03-08T12:00:05.000;31.2;5.34;7.65;1
2025-03-08T19:05:05.000;2025-03-08T12:05:05.000;31.2;5.34;7.69;1
2025-03-08T19:10:05.000;2025-03-08T12:10:05.000;31.5;5.34;7.68;1
2025-03-08T19:15:05.000;2025-03-08T12:15:05.000;31.5;5.34;7.71;1
2025-03-08T19:20:05.000;2025-03-08T12:20:05.000;31.5;5.34;7.78;1
2025-03-08T19:25:05.000;2025-03-08T12:25:05.000;31.5;5.34;7.80;1
2025-03-08T19:30:05.000;2025-03-08T12:30:05.000;31.2;5.34;8.44;1
2025-03-08T19:35:05.000;2025-03-08T12:35:05.000;29.3;5.06;9.13;1
2025-03-08T19:40:05.000;2025-03-08T12:40:05.000;28.0;5.06;9.23;1
2025-03-08T19:45:05.000;2025-03-08T12:45:05.000;27.3;5.06;9.66;1
2025-03-08T19:50:05.000;2025-03-08T12:50:05.000;26.7;5.05;9.92;1
2025-03-08T19:55:05.000;2025-03-08T12:55:05.000;26.4;5.05;9.98;1
2025-03-08T20:00:05.000;2025-03-08T13:00:05.000;26.1;5.05;10.05;1
2025-03-08T20:05:05.000;2025-03-08T13:05:05.000;25.7;5.05;10.07;1
2025-03-08T20:10:05.000;2025-03-08T13:10:05.000;25.4;5.05;10.02;1
2025-03-08T20:15:05.000;2025-03-08T13:15:05.000;25.1;5.05;9.91;1
2025-03-08T20:20:05.000;2025-03-08T13:20:05.000;25.1;5.05;10.00;1
