# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN014-S
# Data supplier: DarkSky SoAZ
# Location name: Tubac
# Position (lat, lon, elev(m)): 31.61154, -111.047788, 978
# Local timezone: MST
# Time Synchronization: 
# Moving / Stationary position: stationary
# Moving / Fixed look direction: zenith
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 1
# Field of view (degrees): 30
# Number of fields per line: 5
# SQM serial number: 7479
# SQM hardware identity: B003LRRS
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007479
# SQM readout test rx (Reading): r, 00.00m,0000523636Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx (Calibration): c,00000019.90m,0000300.000s, 019.0C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 12
# DL retrieved at (UTC): 2026-01-18T16:57:08.412
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 1
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2026-01-18T00:45:05.000;2026-01-17T17:45:05.000;14.1;5.19;7.44;1
2026-01-18T00:50:05.000;2026-01-17T17:50:05.000;13.5;5.19;8.11;1
2026-01-18T00:55:05.000;2026-01-17T17:55:05.000;12.8;5.19;8.95;1
2026-01-18T01:00:05.000;2026-01-17T18:00:05.000;12.5;5.19;10.01;1
2026-01-18T01:05:05.000;2026-01-17T18:05:05.000;11.9;5.18;11.24;1
2026-01-18T01:10:05.000;2026-01-17T18:10:05.000;11.6;5.18;12.58;1
2026-01-18T01:15:05.000;2026-01-17T18:15:05.000;11.2;5.18;13.96;1
2026-01-18T01:20:05.000;2026-01-17T18:20:05.000;11.2;5.18;15.30;1
2026-01-18T01:25:05.000;2026-01-17T18:25:05.000;10.9;5.18;16.47;1
2026-01-18T01:30:05.000;2026-01-17T18:30:05.000;10.6;5.18;17.49;1
2026-01-18T01:35:05.000;2026-01-17T18:35:05.000;10.6;5.17;18.45;1
2026-01-18T01:40:05.000;2026-01-17T18:40:05.000;10.3;5.17;19.33;1
2026-01-18T01:45:05.000;2026-01-17T18:45:05.000;10.3;5.17;20.10;1
2026-01-18T01:50:05.000;2026-01-17T18:50:05.000;9.9;5.17;20.65;1
2026-01-18T01:55:05.000;2026-01-17T18:55:05.000;9.9;5.17;20.98;1
2026-01-18T02:00:06.000;2026-01-17T19:00:06.000;9.6;5.17;21.14;1
2026-01-18T02:05:07.000;2026-01-17T19:05:07.000;9.6;5.17;21.20;1
2026-01-18T02:10:07.000;2026-01-17T19:10:07.000;9.6;5.17;21.22;1
2026-01-18T02:15:07.000;2026-01-17T19:15:07.000;9.6;5.15;21.22;1
2026-01-18T02:20:07.000;2026-01-17T19:20:07.000;9.6;5.15;21.24;1
2026-01-18T02:25:07.000;2026-01-17T19:25:07.000;9.6;5.17;21.24;1
2026-01-18T02:30:07.000;2026-01-17T19:30:07.000;9.3;5.15;21.24;1
2026-01-18T02:35:07.000;2026-01-17T19:35:07.000;9.3;5.15;21.24;1
2026-01-18T02:40:07.000;2026-01-17T19:40:07.000;9.3;5.15;21.24;1
2026-01-18T02:45:07.000;2026-01-17T19:45:07.000;9.0;5.15;21.24;1
2026-01-18T02:50:07.000;2026-01-17T19:50:07.000;9.0;5.15;21.24;1
2026-01-18T02:55:07.000;2026-01-17T19:55:07.000;9.0;5.15;21.23;1
2026-01-18T03:00:07.000;2026-01-17T20:00:07.000;8.7;5.15;21.23;1
2026-01-18T03:05:07.000;2026-01-17T20:05:07.000;8.7;5.15;21.23;1
2026-01-18T03:10:07.000;2026-01-17T20:10:07.000;8.7;5.14;21.23;1
2026-01-18T03:15:07.000;2026-01-17T20:15:07.000;8.3;5.14;21.23;1
2026-01-18T03:20:06.000;2026-01-17T20:20:06.000;8.3;5.15;21.23;1
2026-01-18T03:25:06.000;2026-01-17T20:25:06.000;8.3;5.14;21.23;1
2026-01-18T03:30:06.000;2026-01-17T20:30:06.000;8.3;5.14;21.23;1
2026-01-18T03:35:06.000;2026-01-17T20:35:06.000;8.3;5.14;21.23;1
2026-01-18T03:40:06.000;2026-01-17T20:40:06.000;8.3;5.14;21.23;1
2026-01-18T03:45:06.000;2026-01-17T20:45:06.000;8.3;5.14;21.24;1
2026-01-18T03:50:07.000;2026-01-17T20:50:07.000;8.3;5.14;21.25;1
2026-01-18T03:55:07.000;2026-01-17T20:55:07.000;8.3;5.14;21.25;1
2026-01-18T04:00:06.000;2026-01-17T21:00:06.000;8.0;5.14;21.25;1
2026-01-18T04:05:06.000;2026-01-17T21:05:06.000;8.0;5.13;21.23;1
2026-01-18T04:10:06.000;2026-01-17T21:10:06.000;8.0;5.13;21.23;1
