# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN014-S
# Data supplier: DarkSky SoAZ
# Location name: Tubac
# Position (lat, lon, elev(m)): 31.61154, -111.047788, 978
# Local timezone: MST
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: zenith
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 1
# Field of view (degrees): 30
# Number of fields per line: 5
# SQM serial number: 7479
# SQM hardware identity: B003LRRS
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007479
# SQM readout test rx (Reading): r, 00.00m,0000524298Hz,0000000000c,0000000.000s, 052.2C
# SQM readout test cx (Calibration): c,00000019.90m,0000300.000s, 019.0C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 59
# DL retrieved at (UTC): 2026-06-29T19:27:10.784
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 1
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2026-06-27T02:30:05.000;2026-06-26T19:30:05.000;32.2;4.92;7.25;1
2026-06-27T02:35:05.000;2026-06-26T19:35:05.000;31.5;4.92;7.73;1
2026-06-27T02:40:05.000;2026-06-26T19:40:05.000;31.2;4.91;8.26;1
2026-06-27T02:45:05.000;2026-06-26T19:45:05.000;30.9;4.91;9.27;1
2026-06-27T02:50:05.000;2026-06-26T19:50:05.000;30.9;4.91;10.28;1
2026-06-27T02:55:05.000;2026-06-26T19:55:05.000;30.6;4.91;11.34;1
2026-06-27T03:00:05.000;2026-06-26T20:00:05.000;30.2;4.91;12.58;1
2026-06-27T03:05:05.000;2026-06-26T20:05:05.000;30.2;4.90;13.80;1
2026-06-27T03:10:05.000;2026-06-26T20:10:05.000;29.9;4.91;14.99;1
2026-06-27T03:15:05.000;2026-06-26T20:15:05.000;29.9;4.90;15.93;1
2026-06-27T03:20:05.000;2026-06-26T20:20:05.000;29.6;4.90;16.91;1
2026-06-27T03:25:05.000;2026-06-26T20:25:05.000;29.6;4.90;17.64;1
2026-06-27T03:30:05.000;2026-06-26T20:30:05.000;29.6;4.90;18.04;1
2026-06-27T03:35:05.000;2026-06-26T20:35:05.000;29.3;4.90;18.61;1
2026-06-27T03:40:05.000;2026-06-26T20:40:05.000;29.3;4.88;18.18;1
2026-06-27T03:45:05.000;2026-06-26T20:45:05.000;29.3;4.90;18.49;1
2026-06-27T03:50:05.000;2026-06-26T20:50:05.000;29.3;4.90;18.63;1
2026-06-27T03:55:05.000;2026-06-26T20:55:05.000;29.3;4.88;18.98;1
2026-06-27T04:00:05.000;2026-06-26T21:00:05.000;29.0;4.88;19.06;1
2026-06-27T04:05:05.000;2026-06-26T21:05:05.000;29.0;4.88;19.12;1
2026-06-27T04:10:05.000;2026-06-26T21:10:05.000;29.0;4.88;19.09;1
2026-06-27T04:15:05.000;2026-06-26T21:15:05.000;28.6;4.88;19.07;1
2026-06-27T04:20:05.000;2026-06-26T21:20:05.000;28.6;4.88;19.10;1
2026-06-27T04:25:05.000;2026-06-26T21:25:05.000;28.3;4.88;19.03;1
2026-06-27T04:30:05.000;2026-06-26T21:30:05.000;28.3;4.88;19.03;1
2026-06-27T04:35:05.000;2026-06-26T21:35:05.000;28.0;4.87;19.03;1
2026-06-27T04:40:05.000;2026-06-26T21:40:05.000;28.0;4.87;19.03;1
2026-06-27T04:45:05.000;2026-06-26T21:45:05.000;27.7;4.87;18.98;1
2026-06-27T04:50:05.000;2026-06-26T21:50:05.000;27.3;4.87;18.84;1
2026-06-27T04:55:05.000;2026-06-26T21:55:05.000;27.3;4.87;18.86;1
2026-06-27T05:00:05.000;2026-06-26T22:00:05.000;27.3;4.87;18.96;1
2026-06-27T05:05:05.000;2026-06-26T22:05:05.000;27.3;4.87;19.07;1
2026-06-27T05:10:05.000;2026-06-26T22:10:05.000;27.3;4.87;19.01;1
2026-06-27T05:15:05.000;2026-06-26T22:15:05.000;27.3;4.87;18.91;1
2026-06-27T05:20:05.000;2026-06-26T22:20:05.000;27.3;4.87;18.76;1
2026-06-27T05:25:05.000;2026-06-26T22:25:05.000;27.3;4.87;18.85;1
2026-06-27T05:30:05.000;2026-06-26T22:30:05.000;27.3;4.86;18.88;1
2026-06-27T05:35:05.000;2026-06-26T22:35:05.000;27.3;4.86;18.73;1
2026-06-27T05:40:05.000;2026-06-26T22:40:05.000;27.3;4.86;18.67;1
2026-06-27T05:45:05.000;2026-06-26T22:45:05.000;27.3;4.86;18.68;1
2026-06-27T05:50:05.000;2026-06-26T22:50:05.000;27.3;4.86;18.91;1
2026-06-27T05:55:05.000;2026-06-26T22:55:05.000;27.3;4.86;19.08;1
2026-06-27T06:00:05.000;2026-06-26T23:00:05.000;27.0;4.86;19.03;1
2026-06-27T06:05:05.000;2026-06-26T23:05:05.000;27.0;4.86;19.20;1
2026-06-27T06:10:05.000;2026-06-26T23:10:05.000;27.0;4.86;19.41;1
2026-06-27T06:15:05.000;2026-06-26T23:15:05.000;27.0;4.86;19.41;1
2026-06-27T06:20:05.000;2026-06-26T23:20:05.000;27.0;4.85;19.29;1
2026-06-27T06:25:05.000;2026-06-26T23:25:05.000;27.0;4.85;19.14;1
2026-06-27T06:30:05.000;2026-06-26T23:30:05.000;27.0;4.85;19.17;1
2026-06-27T06:35:05.000;2026-06-26T23:35:05.000;27.0;4.85;19.18;1
2026-06-27T06:40:05.000;2026-06-26T23:40:05.000;27.0;4.85;19.18;1
2026-06-27T06:45:05.000;2026-06-26T23:45:05.000;27.0;4.85;19.19;1
2026-06-27T06:50:05.000;2026-06-26T23:50:05.000;27.0;4.85;19.21;1
2026-06-27T06:55:05.000;2026-06-26T23:55:05.000;27.0;4.85;19.22;1
2026-06-27T07:00:05.000;2026-06-27T00:00:05.000;27.0;4.85;19.23;1
2026-06-27T07:05:05.000;2026-06-27T00:05:05.000;26.7;4.85;19.25;1
2026-06-27T07:10:05.000;2026-06-27T00:10:05.000;26.7;4.85;19.31;1
2026-06-27T07:15:05.000;2026-06-27T00:15:05.000;26.4;4.83;19.33;1
2026-06-27T07:20:05.000;2026-06-27T00:20:05.000;26.1;4.83;19.40;1
2026-06-27T07:25:05.000;2026-06-27T00:25:05.000;26.1;4.83;19.37;1
2026-06-27T07:30:05.000;2026-06-27T00:30:05.000;25.7;4.83;19.59;1
2026-06-27T07:35:05.000;2026-06-27T00:35:05.000;25.7;4.83;19.41;1
2026-06-27T07:40:05.000;2026-06-27T00:40:05.000;25.4;4.83;19.43;1
2026-06-27T07:45:05.000;2026-06-27T00:45:05.000;25.1;4.83;19.45;1
2026-06-27T07:50:05.000;2026-06-27T00:50:05.000;25.1;4.83;19.48;1
2026-06-27T07:55:05.000;2026-06-27T00:55:05.000;25.1;4.83;19.48;1
2026-06-27T08:00:05.000;2026-06-27T01:00:05.000;24.8;4.83;19.59;1
2026-06-27T08:05:05.000;2026-06-27T01:05:05.000;24.8;4.83;19.58;1
2026-06-27T08:10:05.000;2026-06-27T01:10:05.000;24.8;4.82;19.54;1
2026-06-27T08:15:05.000;2026-06-27T01:15:05.000;24.8;4.82;19.60;1
2026-06-27T08:20:05.000;2026-06-27T01:20:05.000;24.8;4.82;19.63;1
2026-06-27T08:25:05.000;2026-06-27T01:25:05.000;24.8;4.82;19.64;1
2026-06-27T08:30:05.000;2026-06-27T01:30:05.000;24.8;4.82;19.74;1
2026-06-27T08:35:05.000;2026-06-27T01:35:05.000;24.4;4.82;19.75;1
2026-06-27T08:40:05.000;2026-06-27T01:40:05.000;24.4;4.82;19.73;1
2026-06-27T08:45:05.000;2026-06-27T01:45:05.000;24.1;4.81;19.80;1
2026-06-27T08:50:05.000;2026-06-27T01:50:05.000;24.1;4.81;19.83;1
2026-06-27T08:55:05.000;2026-06-27T01:55:05.000;24.1;4.81;19.86;1
2026-06-27T09:00:05.000;2026-06-27T02:00:05.000;24.1;4.81;19.90;1
2026-06-27T09:05:05.000;2026-06-27T02:05:05.000;24.1;4.81;19.92;1
2026-06-27T09:10:05.000;2026-06-27T02:10:05.000;23.8;4.81;19.96;1
2026-06-27T09:15:05.000;2026-06-27T02:15:05.000;23.8;4.81;20.00;1
2026-06-27T09:20:05.000;2026-06-27T02:20:05.000;23.5;4.81;20.04;1
2026-06-27T09:25:05.000;2026-06-27T02:25:05.000;23.2;4.81;20.09;1
2026-06-27T09:30:05.000;2026-06-27T02:30:05.000;23.2;4.81;20.13;1
2026-06-27T09:35:05.000;2026-06-27T02:35:05.000;22.8;4.81;20.21;1
2026-06-27T09:40:05.000;2026-06-27T02:40:05.000;22.8;4.81;20.29;1
2026-06-27T09:45:05.000;2026-06-27T02:45:05.000;22.8;4.81;20.38;1
2026-06-27T09:50:05.000;2026-06-27T02:50:05.000;22.8;4.79;20.48;1
2026-06-27T09:55:05.000;2026-06-27T02:55:05.000;22.8;4.79;20.60;1
2026-06-27T10:00:05.000;2026-06-27T03:00:05.000;22.8;4.79;20.74;1
2026-06-27T10:05:05.000;2026-06-27T03:05:05.000;22.8;4.79;20.87;1
2026-06-27T10:10:06.000;2026-06-27T03:10:06.000;23.2;4.79;21.01;1
2026-06-27T10:15:07.000;2026-06-27T03:15:07.000;23.2;4.79;21.13;1
2026-06-27T10:20:08.000;2026-06-27T03:20:08.000;23.5;4.79;21.23;1
2026-06-27T10:25:08.000;2026-06-27T03:25:08.000;23.5;4.79;21.29;1
2026-06-27T10:30:09.000;2026-06-27T03:30:09.000;24.4;4.79;21.32;1
