# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars1411
# Data supplier: Unknown / Unknown
# Location name: Unknown / Unknown / Unknown / Unknown / Unknown 
# Position: None, None, None
# Local timezone: Etc/UTC
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: D0:EF:76:11:23:64
# TESS firmware version: Unknown
# TESS cover offset value: 0.0
# TESS zero point: 20.32
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2025-08-01T02:40:40.000;2025-08-01T02:40:40.000;22.33;10.57;5833.93;10.91;20.32;1
2025-08-01T02:50:53.000;2025-08-01T02:50:53.000;22.61;8.04;411.28;13.78;20.32;2
2025-08-01T03:01:07.000;2025-08-01T03:01:07.000;23.11;7.83;48.87;16.1;20.32;3
2025-08-01T03:11:22.000;2025-08-01T03:11:22.000;24.1;8.51;8.57;17.99;20.32;4
2025-08-01T03:21:35.000;2025-08-01T03:21:35.000;23.51;7.81;2.21;19.46;20.32;5
2025-08-01T03:31:50.000;2025-08-01T03:31:50.000;23.44;8.49;1.27;20.06;20.32;6
2025-08-01T03:42:04.000;2025-08-01T03:42:04.000;23.24;7.13;0.84;20.51;20.32;7
2025-08-01T03:52:17.000;2025-08-01T03:52:17.000;23.21;7.53;0.79;20.58;20.32;8
2025-08-01T04:02:31.000;2025-08-01T04:02:31.000;23.08;7.29;0.74;20.65;20.32;9
2025-08-01T04:12:45.000;2025-08-01T04:12:45.000;24.02;11.49;2.22;19.45;20.32;10
2025-08-01T04:23:00.000;2025-08-01T04:23:00.000;24.69;9.36;0.74;20.65;20.32;11
2025-08-01T04:33:15.000;2025-08-01T04:33:15.000;25.53;10.8;1.25;20.08;20.32;12
2025-08-01T04:43:30.000;2025-08-01T04:43:30.000;25.47;7.93;0.57;20.92;20.32;13
2025-08-01T04:53:44.000;2025-08-01T04:53:44.000;25.81;7.66;0.57;20.93;20.32;14
2025-08-01T05:03:58.000;2025-08-01T05:03:58.000;25.95;7.67;0.49;21.09;20.32;15
2025-08-01T05:14:11.000;2025-08-01T05:14:11.000;25.73;7.23;0.56;20.94;20.32;16
2025-08-01T05:24:25.000;2025-08-01T05:24:25.000;25.68;6.64;0.47;21.13;20.32;17
2025-08-01T05:34:39.000;2025-08-01T05:34:39.000;25.83;6.94;0.47;21.15;20.32;18
2025-08-01T05:44:57.000;2025-08-01T05:44:57.000;25.56;6.77;0.45;21.18;20.32;19
2025-08-01T05:55:11.000;2025-08-01T05:55:11.000;25.65;6.53;0.36;21.43;20.32;20
2025-08-01T06:05:25.000;2025-08-01T06:05:25.000;25.65;6.92;0.41;21.3;20.32;21
2025-08-01T06:15:38.000;2025-08-01T06:15:38.000;25.43;6.76;0.39;21.34;20.32;22
2025-08-01T06:25:52.000;2025-08-01T06:25:52.000;25.22;6.57;0.45;21.2;20.32;23
2025-08-01T06:36:06.000;2025-08-01T06:36:06.000;25.12;6.26;0.31;21.58;20.32;24
2025-08-01T06:46:21.000;2025-08-01T06:46:21.000;25.1;6.3;0.37;21.41;20.32;25
2025-08-01T06:56:34.000;2025-08-01T06:56:34.000;25.07;6.47;0.36;21.44;20.32;26
2025-08-01T07:06:48.000;2025-08-01T07:06:48.000;25.0;6.64;0.29;21.66;20.32;27
2025-08-01T07:17:05.000;2025-08-01T07:17:05.000;24.71;5.98;0.28;21.69;20.32;28
2025-08-01T07:27:19.000;2025-08-01T07:27:19.000;23.91;5.77;0.27;21.73;20.32;29
2025-08-01T07:37:32.000;2025-08-01T07:37:32.000;23.73;5.9;0.31;21.57;20.32;30
2025-08-01T07:47:46.000;2025-08-01T07:47:46.000;23.27;6.42;0.27;21.72;20.32;31
2025-08-01T07:57:59.000;2025-08-01T07:57:59.000;23.24;5.9;0.29;21.65;20.32;32
2025-08-01T08:08:14.000;2025-08-01T08:08:14.000;23.49;6.21;0.24;21.88;20.32;33
2025-08-01T08:18:28.000;2025-08-01T08:18:28.000;23.77;6.05;0.26;21.79;20.32;34
