# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN016-S
# Data supplier: DarkSky SoAZ
# Location name: SaguaroNP
# Position (lat, lon, elev(m)): 32.25446, -111.19748 778
# Local timezone: MST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7466
# SQM hardware identity: B003LQS5
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007466
# SQM readout test rx (Reading): r, 00.00m,0000559104Hz,0000000000c,0000000.000s, 029.3C
# SQM readout test cx (Calibration): c,00000019.94m,0000194.610s, 016.1C,00000008.71m, 017.0C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 16
# DL retrieved at (UTC): 2025-12-04T17:49:53.884
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 5
# DL trigger minutes : 1
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-11-17T00:20:00.000;2025-11-16T17:20:00.000;19.6;4.90;7.19;1
2025-11-17T00:25:00.000;2025-11-16T17:25:00.000;19.0;4.88;7.75;1
2025-11-17T00:30:00.000;2025-11-16T17:30:00.000;19.0;4.88;8.48;1
2025-11-17T00:35:00.000;2025-11-16T17:35:00.000;18.3;4.88;9.42;1
2025-11-17T00:40:00.000;2025-11-16T17:40:00.000;18.0;4.87;10.60;1
2025-11-17T00:45:00.000;2025-11-16T17:45:00.000;17.7;4.87;11.90;1
2025-11-17T00:50:00.000;2025-11-16T17:50:00.000;17.4;4.87;13.35;1
2025-11-17T00:55:00.000;2025-11-16T17:55:00.000;17.4;4.87;14.72;1
2025-11-17T01:00:00.000;2025-11-16T18:00:00.000;17.0;4.87;15.77;1
2025-11-17T01:05:00.000;2025-11-16T18:05:00.000;16.7;4.86;16.77;1
2025-11-17T01:10:00.000;2025-11-16T18:10:00.000;16.7;4.86;17.87;1
2025-11-17T01:15:00.000;2025-11-16T18:15:00.000;16.4;4.86;18.75;1
2025-11-17T01:20:00.000;2025-11-16T18:20:00.000;16.1;4.85;19.55;1
2025-11-17T01:25:00.000;2025-11-16T18:25:00.000;16.1;4.85;20.10;1
2025-11-17T01:30:00.000;2025-11-16T18:30:00.000;16.1;4.85;20.43;1
2025-11-17T01:35:00.000;2025-11-16T18:35:00.000;15.7;4.85;20.57;1
2025-11-17T01:40:00.000;2025-11-16T18:40:00.000;15.4;4.83;20.64;1
2025-11-17T01:45:00.000;2025-11-16T18:45:00.000;15.4;4.83;20.68;1
2025-11-17T01:50:00.000;2025-11-16T18:50:00.000;15.1;4.83;20.68;1
2025-11-17T01:55:00.000;2025-11-16T18:55:00.000;15.1;4.82;20.62;1
2025-11-17T02:00:00.000;2025-11-16T19:00:00.000;14.8;4.82;20.38;1
2025-11-17T02:05:00.000;2025-11-16T19:05:00.000;14.5;4.82;20.66;1
2025-11-17T02:10:00.000;2025-11-16T19:10:00.000;14.5;4.82;20.71;1
2025-11-17T02:15:00.000;2025-11-16T19:15:00.000;14.5;4.82;20.68;1
2025-11-17T02:20:00.000;2025-11-16T19:20:00.000;14.5;4.81;20.74;1
2025-11-17T02:25:00.000;2025-11-16T19:25:00.000;14.5;4.81;20.75;1
2025-11-17T02:30:00.000;2025-11-16T19:30:00.000;14.1;4.81;20.75;1
2025-11-17T02:35:00.000;2025-11-16T19:35:00.000;14.1;4.81;20.74;1
2025-11-17T02:40:00.000;2025-11-16T19:40:00.000;14.1;4.81;20.75;1
2025-11-17T02:45:00.000;2025-11-16T19:45:00.000;14.1;4.79;20.75;1
2025-11-17T02:50:00.000;2025-11-16T19:50:00.000;14.1;4.79;20.75;1
2025-11-17T02:55:00.000;2025-11-16T19:55:00.000;14.1;4.79;20.76;1
2025-11-17T03:00:00.000;2025-11-16T20:00:00.000;14.1;4.79;20.75;1
2025-11-17T03:05:00.000;2025-11-16T20:05:00.000;14.1;4.78;20.77;1
