# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 4387
# SQM hardware identity: AK06E3Y4
# SQM firmware version: 4-6-73
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000006,00000073,00004387
# SQM readout test rx: r, 00.00m,0000580253Hz,0000000000c,0000000.000s, 007.0C
# SQM readout test cx: c,00000019.82m,0000245.082s, 020.6C,00000008.71m, 019.6C
# DL time difference (seconds): 80
# DL retrieved at (UTC): 2021-01-02T22:36:23.935
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.255
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2021-01-01T05:50:08.000;2020-12-31T22:50:08.000;-6.5;4.99;17.60;0
2021-01-01T05:55:08.000;2020-12-31T22:55:08.000;-6.2;4.99;17.48;0
2021-01-01T06:00:08.000;2020-12-31T23:00:08.000;-6.2;4.99;17.42;0
2021-01-01T06:05:08.000;2020-12-31T23:05:08.000;-6.2;4.99;17.28;0
2021-01-01T06:10:08.000;2020-12-31T23:10:08.000;-6.2;4.99;17.19;0
2021-01-01T06:15:08.000;2020-12-31T23:15:08.000;-6.2;4.99;17.21;0
2021-01-01T06:20:08.000;2020-12-31T23:20:08.000;-5.9;4.97;17.31;0
2021-01-01T06:25:08.000;2020-12-31T23:25:08.000;-5.9;4.97;17.48;0
2021-01-01T06:30:08.000;2020-12-31T23:30:08.000;-5.9;4.97;17.48;0
2021-01-01T06:35:08.000;2020-12-31T23:35:08.000;-5.9;4.97;17.42;0
2021-01-01T06:40:08.000;2020-12-31T23:40:08.000;-5.5;4.97;17.36;0
2021-01-01T06:45:08.000;2020-12-31T23:45:08.000;-5.5;4.97;17.33;0
2021-01-01T06:50:08.000;2020-12-31T23:50:08.000;-5.9;4.97;17.31;0
2021-01-01T06:55:08.000;2020-12-31T23:55:08.000;-5.9;4.97;17.39;0
2021-01-01T07:00:08.000;2021-01-01T00:00:08.000;-5.9;4.97;17.48;0
2021-01-01T07:05:08.000;2021-01-01T00:05:08.000;-5.9;4.97;17.50;0
2021-01-01T07:10:08.000;2021-01-01T00:10:08.000;-5.9;4.97;17.37;0
2021-01-01T07:15:08.000;2021-01-01T00:15:08.000;-5.9;4.97;17.25;0
2021-01-01T07:20:08.000;2021-01-01T00:20:08.000;-5.9;4.96;17.20;0
2021-01-01T07:25:08.000;2021-01-01T00:25:08.000;-5.9;4.96;17.04;0
2021-01-01T07:30:08.000;2021-01-01T00:30:08.000;-5.9;4.97;16.82;0
2021-01-01T07:35:08.000;2021-01-01T00:35:08.000;-5.9;4.96;16.85;0
2021-01-01T07:40:08.000;2021-01-01T00:40:08.000;-6.2;4.96;16.78;0
2021-01-01T07:45:08.000;2021-01-01T00:45:08.000;-6.2;4.96;16.70;0
2021-01-01T07:50:08.000;2021-01-01T00:50:08.000;-6.2;4.96;16.59;0
2021-01-01T07:55:08.000;2021-01-01T00:55:08.000;-6.5;4.96;16.59;0
2021-01-01T08:00:08.000;2021-01-01T01:00:08.000;-6.5;4.96;16.60;0
2021-01-01T08:05:08.000;2021-01-01T01:05:08.000;-6.5;4.96;16.56;0
2021-01-01T08:10:08.000;2021-01-01T01:10:08.000;-6.8;4.96;16.60;0
2021-01-01T08:15:08.000;2021-01-01T01:15:08.000;-6.8;4.96;16.66;0
