# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 38
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: AK06E3Y4
# Data supplier: Catalina Sky Survey
# Location name: Mt. Lemmon, Arizona
# Position (lat, lon, elev(m)): 32.4420, -110.7893, 2791
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 4387
# SQM hardware identity: AK06E3Y4
# SQM firmware version: 4-6-76
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000006,00000076,00004387
# SQM readout test rx: r, 00.00m,0000579033Hz,0000000000c,0000000.000s, 017.4C
# SQM readout test cx: c,00000019.82m,0000245.082s, 022.5C,00000008.71m, 019.6C
# DL time difference (seconds): 31
# DL retrieved at (UTC): 2022-01-13T22:45:05.227
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.255
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2022-01-01T00:40:05.000;2021-12-31T17:40:05.000;-2.3;4.88;10.81;1
2022-01-01T00:45:05.000;2021-12-31T17:45:05.000;-2.6;4.87;11.91;1
2022-01-01T00:50:05.000;2021-12-31T17:50:05.000;-2.6;4.87;13.27;1
2022-01-01T00:55:05.000;2021-12-31T17:55:05.000;-2.6;4.87;14.42;1
2022-01-01T01:00:05.000;2021-12-31T18:00:05.000;-2.6;4.87;15.48;1
2022-01-01T01:05:05.000;2021-12-31T18:05:05.000;-3.0;4.87;16.14;1
2022-01-01T01:10:05.000;2021-12-31T18:10:05.000;-3.3;4.87;17.10;1
2022-01-01T01:15:05.000;2021-12-31T18:15:05.000;-3.3;4.86;17.72;1
2022-01-01T01:20:05.000;2021-12-31T18:20:05.000;-3.6;4.86;18.33;1
2022-01-01T01:25:05.000;2021-12-31T18:25:05.000;-3.6;4.86;18.68;1
2022-01-01T01:30:05.000;2021-12-31T18:30:05.000;-3.9;4.86;19.24;1
2022-01-01T01:35:05.000;2021-12-31T18:35:05.000;-3.9;4.86;19.84;1
2022-01-01T01:40:05.000;2021-12-31T18:40:05.000;-3.9;4.86;20.31;1
2022-01-01T01:45:05.000;2021-12-31T18:45:05.000;-3.9;4.86;20.37;1
2022-01-01T01:50:07.000;2021-12-31T18:50:07.000;-3.9;4.86;20.70;1
2022-01-01T01:55:05.000;2021-12-31T18:55:05.000;-3.9;4.86;20.69;1
2022-01-01T02:00:06.000;2021-12-31T19:00:06.000;-3.9;4.86;20.58;1
2022-01-01T02:05:07.000;2021-12-31T19:05:07.000;-3.9;4.85;20.68;1
2022-01-01T02:10:06.000;2021-12-31T19:10:06.000;-3.9;4.85;20.59;1
