# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN021-S
# Data supplier: DarkSky SoAZ
# Location name: VATT
# Position (lat, lon, elev(m)): 32.7013, -109.892, 3178
# Local timezone: MST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7456
# SQM hardware identity: 003LOYY
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007456
# SQM readout test rx (Reading): r, 08.32m,0000045258Hz,0000000000c,0000000.000s, 021.9C
# SQM readout test cx (Calibration): c,00000019.95m,0000165.638s, 013.2C,00000008.71m, 014.1C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000007.00m,00000007.00m
# DL time difference (seconds): 4
# DL retrieved at (UTC): 2025-06-10T19:01:26.904
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-06-09T19:23:39.000;2025-06-09T12:23:39.000;22.8;4.70;8.36;0
2025-06-09T19:25:05.000;2025-06-09T12:25:05.000;22.2;4.70;8.53;1
2025-06-09T19:30:05.000;2025-06-09T12:30:05.000;22.2;4.69;8.54;1
2025-06-09T19:35:05.000;2025-06-09T12:35:05.000;21.9;4.70;8.55;1
2025-06-09T19:40:05.000;2025-06-09T12:40:05.000;21.9;4.70;8.55;1
2025-06-09T19:45:05.000;2025-06-09T12:45:05.000;21.9;4.70;8.56;1
2025-06-09T19:50:05.000;2025-06-09T12:50:05.000;21.9;4.70;8.56;1
2025-06-09T19:55:05.000;2025-06-09T12:55:05.000;21.9;4.69;8.58;1
2025-06-09T20:00:05.000;2025-06-09T13:00:05.000;21.9;4.70;8.58;1
2025-06-09T20:05:05.000;2025-06-09T13:05:05.000;21.9;4.70;8.59;1
2025-06-09T20:10:05.000;2025-06-09T13:10:05.000;21.9;4.69;8.61;1
2025-06-09T20:15:05.000;2025-06-09T13:15:05.000;21.9;4.69;8.62;1
2025-06-09T20:20:05.000;2025-06-09T13:20:05.000;21.5;4.70;8.63;1
2025-06-09T20:25:05.000;2025-06-09T13:25:05.000;21.5;4.69;8.64;1
2025-06-09T20:30:05.000;2025-06-09T13:30:05.000;21.5;4.69;8.65;1
2025-06-09T20:35:05.000;2025-06-09T13:35:05.000;21.9;4.69;8.66;1
2025-06-09T20:40:05.000;2025-06-09T13:40:05.000;21.5;4.69;8.67;1
2025-06-09T20:45:05.000;2025-06-09T13:45:05.000;21.5;4.69;8.69;1
2025-06-09T20:50:05.000;2025-06-09T13:50:05.000;21.5;4.69;8.70;1
