# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN021-S
# Data supplier: DarkSky SoAZ
# Location name: VATT
# Position (lat, lon, elev(m)): 32.7013, -109.892, 3178
# Local timezone: EST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7456
# SQM hardware identity: B003LOYY
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007456
# SQM readout test rx (Reading): r, 00.00m,0000575107Hz,0000000000c,0000000.000s, 037.3C
# SQM readout test cx (Calibration): c,00000019.95m,0000165.638s, 013.2C,00000008.71m, 014.1C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000007.00m,00000007.00m
# DL time difference (seconds): 4
# DL retrieved at (UTC): 2025-06-18T22:22:56.398
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-06-13T17:33:58.000;2025-06-13T12:33:58.000;24.1;4.60;8.42;0
2025-06-13T17:35:05.000;2025-06-13T12:35:05.000;23.2;4.60;8.42;1
2025-06-14T22:11:26.000;2025-06-14T17:11:26.000;21.9;4.59;9.05;0
2025-06-14T22:15:05.000;2025-06-14T17:15:05.000;21.5;4.59;9.18;1
2025-06-14T22:20:05.000;2025-06-14T17:20:05.000;21.5;4.59;9.20;1
2025-06-14T22:25:05.000;2025-06-14T17:25:05.000;21.5;4.60;9.23;1
2025-06-14T22:30:05.000;2025-06-14T17:30:05.000;21.5;4.60;9.25;1
2025-06-14T22:35:05.000;2025-06-14T17:35:05.000;21.5;4.60;9.28;1
2025-06-14T22:40:05.000;2025-06-14T17:40:05.000;21.2;4.60;9.30;1
2025-06-14T22:45:05.000;2025-06-14T17:45:05.000;21.5;4.59;9.32;1
2025-06-14T22:50:05.000;2025-06-14T17:50:05.000;21.2;4.60;9.35;1
2025-06-14T22:55:05.000;2025-06-14T17:55:05.000;21.2;4.60;9.36;1
2025-06-14T23:00:05.000;2025-06-14T18:00:05.000;21.2;4.59;9.38;1
2025-06-14T23:05:05.000;2025-06-14T18:05:05.000;21.2;4.59;9.40;1
2025-06-14T23:10:05.000;2025-06-14T18:10:05.000;21.2;4.60;9.42;1
2025-06-14T23:15:05.000;2025-06-14T18:15:05.000;21.2;4.59;9.43;1
2025-06-14T23:20:05.000;2025-06-14T18:20:05.000;21.2;4.59;9.46;1
2025-06-14T23:25:05.000;2025-06-14T18:25:05.000;21.2;4.60;9.48;1
2025-06-14T23:30:05.000;2025-06-14T18:30:05.000;21.5;4.60;9.49;1
2025-06-14T23:35:05.000;2025-06-14T18:35:05.000;21.5;4.60;9.51;1
2025-06-14T23:40:05.000;2025-06-14T18:40:05.000;21.2;4.60;9.53;1
2025-06-14T23:45:05.000;2025-06-14T18:45:05.000;21.2;4.60;9.55;1
2025-06-14T23:50:05.000;2025-06-14T18:50:05.000;21.2;4.60;9.56;1
2025-06-14T23:55:05.000;2025-06-14T18:55:05.000;21.2;4.60;9.58;1
2025-06-15T00:00:05.000;2025-06-14T19:00:05.000;21.2;4.60;9.60;1
2025-06-15T00:05:05.000;2025-06-14T19:05:05.000;21.5;4.60;9.62;1
2025-06-15T00:10:05.000;2025-06-14T19:10:05.000;21.2;4.60;9.63;1
2025-06-15T00:15:05.000;2025-06-14T19:15:05.000;21.2;4.59;9.65;1
2025-06-15T00:20:05.000;2025-06-14T19:20:05.000;21.2;4.60;9.68;1
2025-06-15T00:25:05.000;2025-06-14T19:25:05.000;21.2;4.60;9.70;1
2025-06-15T00:30:05.000;2025-06-14T19:30:05.000;21.2;4.59;9.72;1
2025-06-15T00:35:05.000;2025-06-14T19:35:05.000;21.2;4.59;9.74;1
2025-06-15T00:40:05.000;2025-06-14T19:40:05.000;21.5;4.59;9.78;1
2025-06-15T00:45:05.000;2025-06-14T19:45:05.000;21.2;4.59;9.80;1
2025-06-15T00:50:05.000;2025-06-14T19:50:05.000;21.2;4.59;9.82;1
2025-06-15T00:55:05.000;2025-06-14T19:55:05.000;21.2;4.59;9.85;1
2025-06-15T01:00:05.000;2025-06-14T20:00:05.000;21.2;4.59;9.88;1
2025-06-15T01:05:05.000;2025-06-14T20:05:05.000;21.2;4.59;9.91;1
2025-06-15T01:10:05.000;2025-06-14T20:10:05.000;21.5;4.59;9.94;1
2025-06-15T01:15:05.000;2025-06-14T20:15:05.000;21.2;4.59;9.98;1
2025-06-15T01:20:05.000;2025-06-14T20:20:05.000;21.2;4.59;10.02;1
2025-06-15T01:25:05.000;2025-06-14T20:25:05.000;21.2;4.59;10.06;1
2025-06-15T01:30:05.000;2025-06-14T20:30:05.000;21.2;4.59;10.10;1
2025-06-15T01:35:05.000;2025-06-14T20:35:05.000;21.2;4.59;10.16;1
2025-06-15T01:40:05.000;2025-06-14T20:40:05.000;21.2;4.59;10.22;1
2025-06-15T01:45:05.000;2025-06-14T20:45:05.000;21.2;4.59;10.30;1
2025-06-15T01:50:05.000;2025-06-14T20:50:05.000;21.2;4.59;10.39;1
2025-06-15T01:55:05.000;2025-06-14T20:55:05.000;21.2;4.59;10.50;1
2025-06-15T02:00:05.000;2025-06-14T21:00:05.000;21.2;4.59;10.62;1
2025-06-15T02:05:05.000;2025-06-14T21:05:05.000;21.2;4.59;10.78;1
2025-06-15T02:10:05.000;2025-06-14T21:10:05.000;21.2;4.59;11.00;1
2025-06-15T02:15:05.000;2025-06-14T21:15:05.000;21.2;4.59;11.26;1
2025-06-15T02:20:05.000;2025-06-14T21:20:05.000;20.9;4.59;11.59;1
2025-06-15T02:25:05.000;2025-06-14T21:25:05.000;20.9;4.59;12.01;1
2025-06-15T02:30:05.000;2025-06-14T21:30:05.000;20.9;4.59;12.57;1
2025-06-15T02:35:05.000;2025-06-14T21:35:05.000;20.9;4.59;13.31;1
2025-06-15T02:40:05.000;2025-06-14T21:40:05.000;20.9;4.59;14.25;1
2025-06-15T02:45:05.000;2025-06-14T21:45:05.000;20.9;4.59;15.33;1
2025-06-15T02:50:05.000;2025-06-14T21:50:05.000;20.9;4.59;16.49;1
2025-06-15T02:55:05.000;2025-06-14T21:55:05.000;20.9;4.59;17.58;1
2025-06-15T03:00:05.000;2025-06-14T22:00:05.000;20.9;4.59;18.59;1
2025-06-15T03:05:05.000;2025-06-14T22:05:05.000;20.9;4.59;19.32;1
2025-06-15T03:10:05.000;2025-06-14T22:10:05.000;20.9;4.59;15.59;1
2025-06-15T03:15:05.000;2025-06-14T22:15:05.000;20.9;4.59;15.67;1
