# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN021-S
# Data supplier: DarkSky SoAZ
# Location name: VATT
# Position (lat, lon, elev(m)): 32.7013, -109.892, 3178
# Local timezone: EST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: MOVING
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7456
# SQM hardware identity: B003LOYY
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007456
# SQM readout test rx (Reading): r, 00.00m,0000578041Hz,0000000000c,0000000.000s, 009.3C
# SQM readout test cx (Calibration): c,00000019.95m,0000165.638s, 013.2C,00000008.71m, 014.1C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 0
# DL retrieved at (UTC): 2025-06-28T15:10:57.599
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 1
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-06-27T00:02:25.000;2025-06-26T19:02:25.000;31.2;5.34;0.00;0
2025-06-27T00:05:00.000;2025-06-26T19:05:00.000;31.2;5.34;0.00;1
2025-06-27T00:10:00.000;2025-06-26T19:10:00.000;31.2;5.34;0.00;1
2025-06-27T00:15:00.000;2025-06-26T19:15:00.000;31.9;5.34;0.00;1
2025-06-27T00:20:00.000;2025-06-26T19:20:00.000;31.9;5.34;0.00;1
2025-06-27T00:25:00.000;2025-06-26T19:25:00.000;31.5;5.34;0.00;1
2025-06-27T00:30:00.000;2025-06-26T19:30:00.000;31.2;5.34;0.00;1
2025-06-27T00:35:00.000;2025-06-26T19:35:00.000;29.9;5.34;0.00;1
2025-06-27T00:40:00.000;2025-06-26T19:40:00.000;29.0;5.34;0.00;1
2025-06-27T00:45:00.000;2025-06-26T19:45:00.000;27.7;5.34;0.00;1
2025-06-27T00:50:00.000;2025-06-26T19:50:00.000;26.4;5.34;0.00;1
2025-06-27T00:55:00.000;2025-06-26T19:55:00.000;26.1;5.34;0.00;1
2025-06-27T01:00:00.000;2025-06-26T20:00:00.000;25.7;5.34;0.00;1
2025-06-27T01:05:00.000;2025-06-26T20:05:00.000;25.1;5.34;0.00;1
2025-06-27T01:10:00.000;2025-06-26T20:10:00.000;24.4;5.34;0.00;1
2025-06-27T01:15:00.000;2025-06-26T20:15:00.000;23.5;5.34;0.00;1
2025-06-27T01:20:00.000;2025-06-26T20:20:00.000;22.8;5.34;0.00;1
2025-06-27T01:25:00.000;2025-06-26T20:25:00.000;22.8;5.34;0.00;1
2025-06-27T01:30:00.000;2025-06-26T20:30:00.000;22.8;5.32;0.00;1
2025-06-27T01:35:00.000;2025-06-26T20:35:00.000;22.8;5.28;0.00;1
2025-06-27T01:40:00.000;2025-06-26T20:40:00.000;22.8;5.27;0.00;1
2025-06-27T01:45:00.000;2025-06-26T20:45:00.000;22.8;5.23;0.00;1
2025-06-27T01:50:00.000;2025-06-26T20:50:00.000;22.2;5.21;0.00;1
2025-06-27T01:55:00.000;2025-06-26T20:55:00.000;21.9;5.10;0.00;1
2025-06-27T02:00:00.000;2025-06-26T21:00:00.000;21.5;4.99;0.00;1
2025-06-27T02:05:00.000;2025-06-26T21:05:00.000;20.9;4.99;0.00;1
2025-06-27T02:10:00.000;2025-06-26T21:10:00.000;20.3;4.94;6.11;1
2025-06-27T02:15:00.000;2025-06-26T21:15:00.000;19.6;4.90;6.37;1
2025-06-27T02:20:00.000;2025-06-26T21:20:00.000;18.6;4.87;6.68;1
2025-06-27T02:25:00.000;2025-06-26T21:25:00.000;17.0;4.85;7.07;1
2025-06-27T02:30:00.000;2025-06-26T21:30:00.000;16.4;4.85;7.56;1
2025-06-27T02:35:00.000;2025-06-26T21:35:00.000;15.1;4.85;8.18;1
2025-06-27T02:40:00.000;2025-06-26T21:40:00.000;14.1;4.83;8.94;1
