# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: DSN024-S
# Data supplier: Winer Observatory
# Location name: USA-Arizona-Elgin-DSN024
# Position (lat, lon, elev(m)): 31.6656, -110.6018, 1516
# Local timezone: US/Arizona
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 40
# Number of fields per line: 6
# SQM serial number: 7821
# SQM hardware identity: 
# SQM firmware version: 4-3-84
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000084,00007821
# SQM readout test rx: r, 07.60m,0000088163Hz,0000000000c,0000000.000s,-050.0C
# SQM readout test cx: c,00000019.96m,0000091.157s, 027.3C,00000008.71m, 037.7C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 31
# blank line 32
# blank line 33
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2025-11-03T00:34:00.071;2025-11-02T17:34:00.071;26.4;0;79706;7.72
2025-11-03T00:39:00.075;2025-11-02T17:39:00.075;28.0;0;36887;8.55
2025-11-03T00:44:00.100;2025-11-02T17:44:00.100;29.6;0;13422;9.65
2025-11-03T00:49:00.065;2025-11-02T17:49:00.065;30.6;0;4219;10.91
2025-11-03T00:54:00.095;2025-11-02T17:54:00.095;31.9;0;1272;12.21
2025-11-03T00:59:00.074;2025-11-02T17:59:00.074;32.5;0;370;13.54
2025-11-03T01:04:00.078;2025-11-02T18:04:00.078;33.5;4146;111;14.84
2025-11-03T01:09:00.098;2025-11-02T18:09:00.098;33.8;12108;38;16.01
2025-11-03T01:14:00.068;2025-11-02T18:14:00.068;34.1;29889;15;17.00
2025-11-03T01:19:00.072;2025-11-02T18:19:00.072;34.4;62715;8;17.80
2025-11-03T01:24:00.104;2025-11-02T18:24:00.104;34.8;104684;5;18.36
2025-11-03T01:29:00.069;2025-11-02T18:29:00.069;34.8;137356;4;18.66
2025-11-03T01:34:00.106;2025-11-02T18:34:00.106;34.8;153406;3;18.77
2025-11-03T01:39:00.073;2025-11-02T18:39:00.073;34.8;156359;3;18.79
2025-11-03T01:44:00.074;2025-11-02T18:44:00.074;34.8;153595;3;18.77
2025-11-03T01:49:00.097;2025-11-02T18:49:00.097;34.8;149483;3;18.74
2025-11-03T01:54:00.077;2025-11-02T18:54:00.077;34.8;144569;3;18.71
2025-11-03T01:59:00.068;2025-11-02T18:59:00.068;34.8;139104;3;18.66
2025-11-03T02:04:00.101;2025-11-02T19:04:00.101;34.4;134119;3;18.62
2025-11-03T02:09:00.072;2025-11-02T19:09:00.072;34.4;128670;3;18.58
2025-11-03T02:14:00.070;2025-11-02T19:14:00.070;34.4;124701;3;18.55
2025-11-03T02:19:00.106;2025-11-02T19:19:00.106;34.1;119904;4;18.51
2025-11-03T02:24:00.069;2025-11-02T19:24:00.069;34.1;115201;4;18.47
2025-11-03T02:29:00.073;2025-11-02T19:29:00.073;34.1;111005;4;18.42
2025-11-03T02:34:00.100;2025-11-02T19:34:00.100;33.8;106490;5;18.37
2025-11-03T02:39:00.069;2025-11-02T19:39:00.069;33.8;102329;4;18.33
2025-11-03T02:44:00.075;2025-11-02T19:44:00.075;33.8;97617;5;18.28
2025-11-03T02:49:00.107;2025-11-02T19:49:00.107;33.8;92366;5;18.22
2025-11-03T02:54:00.076;2025-11-02T19:54:00.076;33.8;88591;6;18.17
2025-11-03T02:59:00.071;2025-11-02T19:59:00.071;33.8;83836;5;18.11
2025-11-03T03:04:00.105;2025-11-02T20:04:00.105;33.8;79738;6;18.05
2025-11-03T03:09:00.072;2025-11-02T20:09:00.072;33.8;76604;6;18.01
2025-11-03T03:14:00.099;2025-11-02T20:14:00.099;33.8;73953;6;17.97
2025-11-03T03:19:00.075;2025-11-02T20:19:00.075;33.8;70931;7;17.93
2025-11-03T03:24:00.071;2025-11-02T20:24:00.071;33.8;68084;7;17.88
2025-11-03T03:29:00.103;2025-11-02T20:29:00.103;33.8;65110;8;17.84
2025-11-03T03:34:00.075;2025-11-02T20:34:00.075;33.8;60095;7;17.75
2025-11-03T03:39:00.073;2025-11-02T20:39:00.073;33.5;56476;8;17.68
2025-11-03T03:44:00.105;2025-11-02T20:44:00.105;33.5;52769;9;17.61
2025-11-03T03:49:00.068;2025-11-02T20:49:00.068;33.5;48806;9;17.52
2025-11-03T03:54:00.076;2025-11-02T20:54:00.076;33.5;43247;11;17.39
2025-11-03T03:59:00.100;2025-11-02T20:59:00.100;33.5;37479;13;17.24
2025-11-03T04:04:00.068;2025-11-02T21:04:00.068;33.5;31739;14;17.05
2025-11-03T04:09:00.071;2025-11-02T21:09:00.071;33.5;25940;18;16.84
2025-11-03T04:14:00.104;2025-11-02T21:14:00.104;33.5;22107;21;16.66
2025-11-03T04:19:00.068;2025-11-02T21:19:00.068;33.5;18658;25;16.47
2025-11-03T04:24:00.073;2025-11-02T21:24:00.073;33.8;16002;28;16.32
2025-11-03T04:29:00.098;2025-11-02T21:29:00.098;33.8;14064;33;16.17
2025-11-03T04:34:00.072;2025-11-02T21:34:00.072;33.8;12750;36;16.07
2025-11-03T04:39:00.100;2025-11-02T21:39:00.100;33.8;12170;38;16.02
2025-11-03T04:44:00.077;2025-11-02T21:44:00.077;33.8;11484;40;15.95
2025-11-03T04:49:00.072;2025-11-02T21:49:00.072;33.8;10973;41;15.90
2025-11-03T04:54:00.101;2025-11-02T21:54:00.101;33.8;10673;43;15.87
2025-11-03T04:59:00.070;2025-11-02T21:59:00.070;33.8;10192;45;15.82
2025-11-03T05:04:00.070;2025-11-02T22:04:00.070;33.8;9745;47;15.77
2025-11-03T05:09:00.100;2025-11-02T22:09:00.100;33.5;9514;49;15.74
2025-11-03T05:14:00.076;2025-11-02T22:14:00.076;33.1;9292;50;15.72
2025-11-03T05:19:00.073;2025-11-02T22:19:00.073;33.1;9055;51;15.69
2025-11-03T05:24:00.101;2025-11-02T22:24:00.101;32.8;9097;50;15.70
2025-11-03T05:29:00.076;2025-11-02T22:29:00.076;32.5;9356;49;15.73
2025-11-03T05:34:00.072;2025-11-02T22:34:00.072;32.2;9752;47;15.77
2025-11-03T05:39:00.103;2025-11-02T22:39:00.103;32.5;10117;45;15.82
2025-11-03T05:44:00.077;2025-11-02T22:44:00.077;32.5;10611;44;15.86
2025-11-03T05:49:00.072;2025-11-02T22:49:00.072;32.8;11022;41;15.91
2025-11-03T05:54:00.100;2025-11-02T22:54:00.100;32.8;11589;40;15.97
2025-11-03T05:59:00.069;2025-11-02T22:59:00.069;33.1;12039;38;16.01
2025-11-03T06:04:00.074;2025-11-02T23:04:00.074;33.1;13049;35;16.09
2025-11-03T06:09:00.103;2025-11-02T23:09:00.103;33.5;13966;33;16.17
2025-11-03T06:14:00.076;2025-11-02T23:14:00.076;33.8;14633;32;16.22
2025-11-03T06:19:00.104;2025-11-02T23:19:00.104;33.8;15697;29;16.29
2025-11-03T06:24:00.074;2025-11-02T23:24:00.074;33.8;17504;26;16.41
2025-11-03T06:29:00.070;2025-11-02T23:29:00.070;33.8;19711;23;16.53
2025-11-03T06:34:00.104;2025-11-02T23:34:00.104;33.8;25040;19;16.80
2025-11-03T06:39:00.071;2025-11-02T23:39:00.071;33.8;43865;10;17.41
2025-11-03T06:44:00.071;2025-11-02T23:44:00.071;33.8;48983;9;17.53
2025-11-03T06:49:00.099;2025-11-02T23:49:00.099;33.8;49166;10;17.54
2025-11-03T06:54:00.077;2025-11-02T23:54:00.077;33.8;46954;10;17.48
2025-11-03T06:59:00.073;2025-11-02T23:59:00.073;33.8;44998;10;17.43
2025-11-03T07:04:00.104;2025-11-03T00:04:00.104;33.5;51677;9;17.58
2025-11-03T07:09:00.068;2025-11-03T00:09:00.068;33.5;55778;8;17.66
2025-11-03T07:14:00.069;2025-11-03T00:14:00.069;33.5;64957;7;17.83
2025-11-03T07:19:00.101;2025-11-03T00:19:00.101;33.5;72938;6;17.96
2025-11-03T07:24:00.072;2025-11-03T00:24:00.072;33.5;77629;6;18.02
2025-11-03T07:29:00.076;2025-11-03T00:29:00.076;33.1;87264;5;18.15
2025-11-03T07:34:00.105;2025-11-03T00:34:00.105;33.1;94382;5;18.25
2025-11-03T07:39:00.072;2025-11-03T00:39:00.072;32.8;96172;5;18.26
2025-11-03T07:44:00.074;2025-11-03T00:44:00.074;32.8;89168;5;18.18
2025-11-03T07:49:00.099;2025-11-03T00:49:00.099;32.5;106690;5;18.38
2025-11-03T07:54:00.074;2025-11-03T00:54:00.074;32.2;116825;4;18.48
2025-11-03T07:59:00.101;2025-11-03T00:59:00.101;32.2;121951;4;18.53
2025-11-03T08:04:00.076;2025-11-03T01:04:00.076;31.9;126739;3;18.56
2025-11-03T08:09:00.073;2025-11-03T01:09:00.073;31.5;131470;4;18.61
2025-11-03T08:14:00.106;2025-11-03T01:14:00.106;31.5;136312;4;18.64
2025-11-03T08:19:00.075;2025-11-03T01:19:00.075;31.2;141176;4;18.68
2025-11-03T08:24:00.069;2025-11-03T01:24:00.069;31.2;149730;3;18.75
2025-11-03T08:29:00.105;2025-11-03T01:29:00.105;31.2;155528;3;18.78
2025-11-03T08:34:00.072;2025-11-03T01:34:00.072;31.2;161183;3;18.82
2025-11-03T08:39:00.075;2025-11-03T01:39:00.075;31.5;165789;2;18.86
2025-11-03T08:44:00.103;2025-11-03T01:44:00.103;31.5;170771;3;18.89
2025-11-03T08:49:00.076;2025-11-03T01:49:00.076;31.5;175442;2;18.92
2025-11-03T08:54:00.073;2025-11-03T01:54:00.073;31.5;180519;2;18.96
2025-11-03T08:59:00.102;2025-11-03T01:59:00.102;31.9;199952;2;19.07
