# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: DSN024-S
# Data supplier: Winer Observatory
# Location name: USA-Arizona-Elgin-DSN024
# Position (lat, lon, elev(m)): 31.6656, -110.6018, 1516
# Local timezone: US/Arizona
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 40
# Number of fields per line: 6
# SQM serial number: 7821
# SQM hardware identity: 
# SQM firmware version: 4-3-84
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000084,00007821
# SQM readout test rx: r, 07.48m,0000098841Hz,0000000000c,0000000.000s, 017.0C
# SQM readout test cx: c,00000019.96m,0000091.157s, 027.3C,00000008.71m, 037.7C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 31
# blank line 32
# blank line 33
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-02-02T00:57:00.077;2026-02-01T17:57:00.077;17.4;0;95761;7.51
2026-02-02T01:02:00.076;2026-02-01T18:02:00.076;19.3;0;51226;8.19
2026-02-02T01:07:00.103;2026-02-01T18:07:00.103;21.2;0;22206;9.10
2026-02-02T01:12:00.080;2026-02-01T18:12:00.080;22.8;0;7777;10.24
2026-02-02T01:17:00.111;2026-02-01T18:17:00.111;24.4;0;2370;11.53
2026-02-02T01:22:00.078;2026-02-01T18:22:00.078;25.4;0;703;12.85
2026-02-02T01:42:06.129;2026-02-01T18:42:06.129;25.7;51542;9;17.59
2026-02-02T01:47:06.084;2026-02-01T18:47:06.084;26.4;92222;5;18.22
2026-02-02T01:52:06.106;2026-02-01T18:52:06.106;26.7;130768;4;18.60
2026-02-02T01:57:06.079;2026-02-01T18:57:06.079;27.3;152622;3;18.77
2026-02-02T02:02:06.078;2026-02-01T19:02:06.078;27.7;159912;3;18.82
2026-02-02T02:07:06.106;2026-02-01T19:07:06.106;28.0;158529;3;18.80
2026-02-02T02:12:06.081;2026-02-01T19:12:06.081;28.3;154555;3;18.78
2026-02-02T02:17:06.077;2026-02-01T19:17:06.077;28.3;150404;3;18.75
2026-02-02T02:22:06.111;2026-02-01T19:22:06.111;28.3;145021;4;18.71
2026-02-02T02:27:06.083;2026-02-01T19:27:06.083;28.3;141029;3;18.68
2026-02-02T02:32:06.078;2026-02-01T19:32:06.078;28.3;134637;4;18.63
2026-02-02T02:37:06.114;2026-02-01T19:37:06.114;28.0;128634;4;18.58
2026-02-02T02:42:06.080;2026-02-01T19:42:06.080;28.0;113319;4;18.44
2026-02-02T02:47:06.079;2026-02-01T19:47:06.079;28.0;93989;5;18.23
2026-02-02T02:52:06.108;2026-02-01T19:52:06.108;28.0;79597;5;18.05
2026-02-02T02:57:06.082;2026-02-01T19:57:06.082;28.0;74494;7;17.98
2026-02-02T03:02:06.083;2026-02-01T20:02:06.083;28.0;76917;6;18.02
2026-02-02T03:07:06.105;2026-02-01T20:07:06.105;27.7;84436;6;18.11
2026-02-02T03:12:06.083;2026-02-01T20:12:06.083;27.7;90224;5;18.19
2026-02-02T03:17:06.082;2026-02-01T20:17:06.082;27.7;89248;5;18.18
2026-02-02T03:22:06.111;2026-02-01T20:22:06.111;27.3;109264;4;18.40
2026-02-02T03:27:06.082;2026-02-01T20:27:06.082;27.3;104834;5;18.36
2026-02-02T03:32:06.113;2026-02-01T20:32:06.113;27.3;105800;4;18.37
2026-02-02T03:37:06.084;2026-02-01T20:37:06.084;27.0;97544;5;18.28
2026-02-02T03:42:06.076;2026-02-01T20:42:06.076;26.7;96740;5;18.27
2026-02-02T03:47:06.105;2026-02-01T20:47:06.105;26.7;77830;6;18.04
2026-02-02T03:52:06.077;2026-02-01T20:52:06.077;26.7;74707;6;17.99
2026-02-02T03:57:06.078;2026-02-01T20:57:06.078;26.7;67206;7;17.88
2026-02-02T04:02:06.106;2026-02-01T21:02:06.106;26.7;57497;8;17.71
2026-02-02T04:07:06.077;2026-02-01T21:07:06.077;26.7;47798;10;17.51
2026-02-02T04:12:06.075;2026-02-01T21:12:06.075;27.0;41416;11;17.34
2026-02-02T04:17:06.107;2026-02-01T21:17:06.107;27.0;42319;11;17.37
2026-02-02T04:22:06.083;2026-02-01T21:22:06.083;27.3;46413;10;17.47
2026-02-02T04:27:06.077;2026-02-01T21:27:06.077;27.3;48784;10;17.52
2026-02-02T04:32:06.105;2026-02-01T21:32:06.105;27.3;40208;11;17.31
2026-02-02T04:37:06.075;2026-02-01T21:37:06.075;27.7;46324;10;17.46
2026-02-02T04:42:06.080;2026-02-01T21:42:06.080;27.7;40350;11;17.31
2026-02-02T04:47:06.114;2026-02-01T21:47:06.114;27.7;28738;16;16.95
2026-02-02T04:52:06.079;2026-02-01T21:52:06.079;27.7;18732;24;16.48
2026-02-02T04:57:06.076;2026-02-01T21:57:06.076;27.7;17912;26;16.43
2026-02-02T05:02:06.113;2026-02-01T22:02:06.113;27.3;17729;26;16.42
2026-02-02T05:07:06.081;2026-02-01T22:07:06.081;27.3;21372;22;16.62
2026-02-02T05:12:06.112;2026-02-01T22:12:06.112;27.0;29808;16;16.99
2026-02-02T05:17:06.076;2026-02-01T22:17:06.076;27.0;31172;14;17.04
2026-02-02T05:22:06.083;2026-02-01T22:22:06.083;27.0;28784;16;16.95
2026-02-02T05:27:06.112;2026-02-01T22:27:06.112;27.0;22193;21;16.67
2026-02-02T05:32:06.079;2026-02-01T22:32:06.079;27.0;16407;28;16.34
2026-02-02T05:37:06.084;2026-02-01T22:37:06.084;27.0;11636;39;15.97
2026-02-02T05:42:06.114;2026-02-01T22:42:06.114;27.0;8491;54;15.62
2026-02-02T05:47:06.082;2026-02-01T22:47:06.082;27.0;8102;56;15.57
2026-02-02T05:52:06.078;2026-02-01T22:52:06.078;27.0;9675;48;15.77
2026-02-02T05:57:06.106;2026-02-01T22:57:06.106;27.3;10145;46;15.82
2026-02-02T06:02:06.084;2026-02-01T23:02:06.084;27.3;9557;49;15.75
2026-02-02T06:07:06.083;2026-02-01T23:07:06.083;27.3;9278;50;15.72
2026-02-02T06:12:06.107;2026-02-01T23:12:06.107;27.3;10213;45;15.82
2026-02-02T06:17:06.075;2026-02-01T23:17:06.075;27.3;10684;43;15.87
2026-02-02T06:22:06.081;2026-02-01T23:22:06.081;27.0;10634;43;15.87
2026-02-02T06:27:06.113;2026-02-01T23:27:06.113;27.0;9460;48;15.74
2026-02-02T06:32:06.083;2026-02-01T23:32:06.083;27.0;8378;56;15.60
2026-02-02T06:37:06.113;2026-02-01T23:37:06.113;27.0;6842;68;15.39
2026-02-02T06:42:06.081;2026-02-01T23:42:06.081;27.0;5825;79;15.22
2026-02-02T06:47:06.083;2026-02-01T23:47:06.083;27.0;6476;71;15.33
2026-02-02T06:52:06.113;2026-02-01T23:52:06.113;26.7;4766;96;14.99
2026-02-02T06:57:06.075;2026-02-01T23:57:06.075;27.0;0;145;14.56
2026-02-02T07:02:06.079;2026-02-02T00:02:06.079;27.0;0;137;14.63
2026-02-02T07:07:06.107;2026-02-02T00:07:06.107;27.0;0;222;14.10
2026-02-02T07:12:06.077;2026-02-02T00:12:06.077;26.7;0;197;14.23
2026-02-02T07:17:06.076;2026-02-02T00:17:06.076;26.7;0;155;14.49
2026-02-02T07:22:06.109;2026-02-02T00:22:06.109;26.7;4010;111;14.81
2026-02-02T07:27:06.071;2026-02-02T00:27:06.071;26.7;0;166;14.42
2026-02-02T07:32:06.079;2026-02-02T00:32:06.079;26.4;0;163;14.44
2026-02-02T07:37:06.104;2026-02-02T00:37:06.104;26.4;0;181;14.32
2026-02-02T07:42:06.079;2026-02-02T00:42:06.079;26.7;0;225;14.08
2026-02-02T07:47:06.078;2026-02-02T00:47:06.078;26.7;0;232;14.05
2026-02-02T07:52:06.108;2026-02-02T00:52:06.108;26.7;0;219;14.11
2026-02-02T07:57:06.075;2026-02-02T00:57:06.075;27.0;0;206;14.18
2026-02-02T08:02:06.081;2026-02-02T01:02:06.081;27.0;0;217;14.13
2026-02-02T08:07:06.102;2026-02-02T01:07:06.102;27.3;0;218;14.12
2026-02-02T08:12:06.079;2026-02-02T01:12:06.079;27.3;0;181;14.32
2026-02-02T08:17:06.111;2026-02-02T01:17:06.111;27.7;0;186;14.29
2026-02-02T08:22:06.076;2026-02-02T01:22:06.076;27.7;0;129;14.69
2026-02-02T08:27:06.072;2026-02-02T01:27:06.072;27.7;0;130;14.68
2026-02-02T08:32:06.108;2026-02-02T01:32:06.108;27.7;5879;78;15.22
2026-02-02T08:37:06.083;2026-02-02T01:37:06.083;27.7;3792;121;14.75
2026-02-02T08:42:06.075;2026-02-02T01:42:06.075;27.7;0;215;14.13
2026-02-02T08:47:06.110;2026-02-02T01:47:06.110;27.7;5812;80;15.21
2026-02-02T08:52:06.075;2026-02-02T01:52:06.075;28.0;9990;47;15.80
2026-02-02T08:57:06.079;2026-02-02T01:57:06.079;27.7;3735;122;14.73
2026-02-02T09:02:06.103;2026-02-02T02:02:06.103;27.7;0;259;13.94
2026-02-02T09:07:06.081;2026-02-02T02:07:06.081;27.7;0;257;13.94
2026-02-02T09:12:06.078;2026-02-02T02:12:06.078;27.7;0;256;13.94
2026-02-02T09:17:06.108;2026-02-02T02:17:06.108;27.7;0;244;14.00
2026-02-02T09:22:06.079;2026-02-02T02:22:06.079;27.3;0;136;14.63
2026-02-02T09:27:06.078;2026-02-02T02:27:06.078;27.7;0;221;14.11
2026-02-02T09:32:06.110;2026-02-02T02:32:06.110;27.7;6955;65;15.41
2026-02-02T09:37:06.078;2026-02-02T02:37:06.078;27.7;3919;118;14.78
2026-02-02T09:42:06.105;2026-02-02T02:42:06.105;27.7;3964;118;14.80
2026-02-02T09:47:06.077;2026-02-02T02:47:06.077;27.7;0;171;14.38
2026-02-02T09:52:06.081;2026-02-02T02:52:06.081;27.7;0;146;14.56
2026-02-02T09:57:06.112;2026-02-02T02:57:06.112;27.7;3864;120;14.77
2026-02-02T10:02:06.077;2026-02-02T03:02:06.077;27.7;10048;47;15.81
2026-02-02T10:07:06.081;2026-02-02T03:07:06.081;27.7;15546;30;16.28
2026-02-02T10:12:06.107;2026-02-02T03:12:06.107;27.7;8648;53;15.64
2026-02-02T10:17:06.079;2026-02-02T03:17:06.079;28.0;14027;33;16.17
2026-02-02T10:22:06.081;2026-02-02T03:22:06.081;28.0;10955;42;15.90
2026-02-02T10:27:06.105;2026-02-02T03:27:06.105;28.0;11493;41;15.95
2026-02-02T10:32:06.081;2026-02-02T03:32:06.081;28.0;13442;34;16.12
2026-02-02T10:37:06.082;2026-02-02T03:37:06.082;28.3;7381;62;15.47
2026-02-02T10:42:06.107;2026-02-02T03:42:06.107;28.3;11532;40;15.96
2026-02-02T10:47:06.084;2026-02-02T03:47:06.084;28.3;19245;24;16.51
2026-02-02T10:52:06.082;2026-02-02T03:52:06.082;28.3;19007;24;16.50
2026-02-02T10:57:06.105;2026-02-02T03:57:06.105;28.3;17034;27;16.38
2026-02-02T11:02:06.083;2026-02-02T04:02:06.083;28.0;13073;35;16.09
2026-02-02T11:07:06.081;2026-02-02T04:07:06.081;28.0;21096;22;16.61
2026-02-02T11:12:06.108;2026-02-02T04:12:06.108;28.0;39274;12;17.29
2026-02-02T11:17:06.084;2026-02-02T04:17:06.084;28.0;17479;27;16.41
2026-02-02T11:22:06.111;2026-02-02T04:22:06.111;27.7;27723;17;16.91
2026-02-02T11:27:06.083;2026-02-02T04:27:06.083;27.7;24699;19;16.78
2026-02-02T11:32:06.083;2026-02-02T04:32:06.083;27.7;21804;21;16.65
2026-02-02T11:37:06.112;2026-02-02T04:37:06.112;27.7;20591;22;16.58
2026-02-02T11:42:06.081;2026-02-02T04:42:06.081;27.7;21122;22;16.62
2026-02-02T11:47:06.076;2026-02-02T04:47:06.076;27.3;23921;19;16.75
2026-02-02T11:52:06.115;2026-02-02T04:52:06.115;27.3;34536;13;17.14
2026-02-02T11:57:06.076;2026-02-02T04:57:06.076;27.3;43108;11;17.39
2026-02-02T12:02:06.075;2026-02-02T05:02:06.075;27.0;37495;12;17.24
2026-02-02T12:07:06.113;2026-02-02T05:07:06.113;27.0;26171;18;16.85
2026-02-02T12:12:06.082;2026-02-02T05:12:06.082;27.0;24495;19;16.78
2026-02-02T12:17:06.079;2026-02-02T05:17:06.079;27.0;30826;15;17.02
2026-02-02T12:22:06.110;2026-02-02T05:22:06.110;27.0;41236;11;17.34
2026-02-02T12:27:06.077;2026-02-02T05:27:06.077;27.0;72353;7;17.96
2026-02-02T12:32:06.079;2026-02-02T05:32:06.079;27.0;78011;6;18.04
2026-02-02T12:37:06.112;2026-02-02T05:37:06.112;27.0;96926;5;18.28
2026-02-02T12:42:06.081;2026-02-02T05:42:06.081;26.7;119063;4;18.50
2026-02-02T12:47:06.078;2026-02-02T05:47:06.078;26.4;103721;5;18.35
2026-02-02T12:52:06.109;2026-02-02T05:52:06.109;26.4;114183;4;18.46
2026-02-02T12:57:06.083;2026-02-02T05:57:06.083;26.1;120182;4;18.51
2026-02-02T13:02:06.111;2026-02-02T06:02:06.111;26.1;123751;4;18.54
2026-02-02T13:07:06.079;2026-02-02T06:07:06.079;26.1;125762;4;18.56
2026-02-02T13:12:06.076;2026-02-02T06:12:06.076;25.7;124779;4;18.55
2026-02-02T13:17:06.112;2026-02-02T06:17:06.112;25.7;117131;4;18.48
2026-02-02T13:22:06.077;2026-02-02T06:22:06.077;25.7;96008;5;18.26
2026-02-02T13:27:06.075;2026-02-02T06:27:06.075;25.7;64287;7;17.83
2026-02-02T13:32:06.113;2026-02-02T06:32:06.113;25.7;34601;13;17.16
2026-02-02T13:37:06.076;2026-02-02T06:37:06.076;25.7;14579;31;16.22
2026-02-02T13:42:06.077;2026-02-02T06:42:06.077;25.7;4864;94;15.03
2026-02-02T13:47:06.107;2026-02-02T06:47:06.107;26.1;0;339;13.64
2026-02-02T13:52:06.072;2026-02-02T06:52:06.072;25.7;0;1210;12.26
2026-02-02T13:57:06.073;2026-02-02T06:57:06.073;26.1;0;3973;10.97
2026-02-02T14:02:06.103;2026-02-02T07:02:06.103;26.1;0;12686;9.71
2026-02-02T14:07:06.079;2026-02-02T07:07:06.079;25.7;0;33855;8.64
2026-02-02T14:12:06.076;2026-02-02T07:12:06.076;25.7;0;73378;7.81
2026-02-02T14:17:06.108;2026-02-02T07:17:06.108;25.7;0;131044;7.18
2026-02-02T14:22:06.081;2026-02-02T07:22:06.081;25.7;0;206333;6.68
2026-02-03T01:07:18.124;2026-02-02T18:07:18.124;25.4;0;26402;8.91
2026-02-03T01:12:18.077;2026-02-02T18:12:18.077;26.4;0;8117;10.20
2026-02-03T01:17:18.074;2026-02-02T18:17:18.074;27.0;0;2737;11.37
2026-02-03T01:22:18.108;2026-02-02T18:22:18.108;27.7;0;830;12.67
2026-02-03T01:27:18.074;2026-02-02T18:27:18.074;28.0;0;260;13.93
2026-02-03T01:32:18.081;2026-02-02T18:32:18.081;28.3;4967;94;15.04
2026-02-03T01:37:18.112;2026-02-02T18:37:18.112;28.6;21754;21;16.65
2026-02-03T01:42:18.077;2026-02-02T18:42:18.077;28.6;63399;7;17.81
2026-02-03T01:47:18.076;2026-02-02T18:47:18.076;28.6;142945;4;18.70
2026-02-03T01:52:18.114;2026-02-02T18:52:18.114;28.6;315644;1;19.57
2026-02-03T01:57:18.081;2026-02-02T18:57:18.081;28.6;502185;1;20.08
2026-02-03T02:02:18.112;2026-02-02T19:02:18.112;28.6;748148;1;20.52
2026-02-03T02:07:18.082;2026-02-02T19:07:18.082;28.6;776423;0;20.57
2026-02-03T02:12:18.081;2026-02-02T19:12:18.081;28.6;632207;1;20.33
2026-02-03T02:17:18.107;2026-02-02T19:17:18.107;28.6;647025;1;20.35
2026-02-03T02:22:18.078;2026-02-02T19:22:18.078;28.6;625657;0;20.32
2026-02-03T02:27:18.076;2026-02-02T19:27:18.076;28.6;414476;1;19.87
2026-02-03T02:32:18.106;2026-02-02T19:32:18.106;28.3;218058;2;19.15
2026-02-03T02:37:18.076;2026-02-02T19:37:18.076;28.3;257220;2;19.34
2026-02-03T02:42:18.076;2026-02-02T19:42:18.076;28.3;194561;3;19.03
2026-02-03T02:47:18.109;2026-02-02T19:47:18.109;28.3;156442;3;18.79
2026-02-03T02:52:18.076;2026-02-02T19:52:18.076;28.3;183144;3;18.96
2026-02-03T02:57:18.083;2026-02-02T19:57:18.083;28.3;200541;2;19.06
2026-02-03T03:02:18.105;2026-02-02T20:02:18.105;28.3;161293;3;18.82
2026-02-03T03:07:18.084;2026-02-02T20:07:18.084;28.0;222789;2;19.18
2026-02-03T03:12:18.081;2026-02-02T20:12:18.081;28.0;213054;3;19.13
2026-02-03T03:17:18.114;2026-02-02T20:17:18.114;28.0;275482;2;19.41
2026-02-03T03:22:18.075;2026-02-02T20:22:18.075;28.0;236475;2;19.24
2026-02-03T03:27:18.106;2026-02-02T20:27:18.106;27.7;173637;3;18.91
2026-02-03T03:32:18.081;2026-02-02T20:32:18.081;27.7;181346;3;18.96
2026-02-03T03:37:18.078;2026-02-02T20:37:18.078;27.7;193939;2;19.03
2026-02-03T03:42:18.104;2026-02-02T20:42:18.104;27.3;173645;3;18.91
2026-02-03T03:47:18.076;2026-02-02T20:47:18.076;27.3;135437;4;18.64
2026-02-03T03:52:18.082;2026-02-02T20:52:18.082;27.3;105850;5;18.37
2026-02-03T03:57:18.114;2026-02-02T20:57:18.114;27.3;94385;4;18.25
2026-02-03T04:02:18.078;2026-02-02T21:02:18.078;27.3;115419;4;18.46
2026-02-03T04:07:18.076;2026-02-02T21:07:18.076;27.3;115196;4;18.46
2026-02-03T04:12:18.111;2026-02-02T21:12:18.111;27.3;99856;5;18.31
2026-02-03T04:17:18.083;2026-02-02T21:17:18.083;27.3;152492;3;18.76
2026-02-03T04:22:18.082;2026-02-02T21:22:18.082;27.3;145129;4;18.71
2026-02-03T04:27:18.108;2026-02-02T21:27:18.108;27.0;106792;4;18.38
2026-02-03T04:32:18.084;2026-02-02T21:32:18.084;27.0;105411;4;18.36
2026-02-03T04:37:18.082;2026-02-02T21:37:18.082;27.0;123814;4;18.54
2026-02-03T04:42:18.105;2026-02-02T21:42:18.105;26.7;109140;4;18.40
2026-02-03T04:47:18.083;2026-02-02T21:47:18.083;26.7;82686;6;18.10
2026-02-03T04:52:18.084;2026-02-02T21:52:18.084;26.7;68153;6;17.89
2026-02-03T04:57:18.108;2026-02-02T21:57:18.108;26.7;60443;8;17.76
2026-02-03T05:02:18.077;2026-02-02T22:02:18.077;26.7;64444;7;17.83
2026-02-03T05:07:18.111;2026-02-02T22:07:18.111;26.7;54083;9;17.64
2026-02-03T05:12:18.082;2026-02-02T22:12:18.082;26.7;95076;5;18.25
2026-02-03T05:17:18.084;2026-02-02T22:17:18.084;27.0;81642;6;18.08
2026-02-03T05:22:18.106;2026-02-02T22:22:18.106;26.7;77706;6;18.03
2026-02-03T05:27:18.078;2026-02-02T22:27:18.078;26.7;73860;6;17.98
2026-02-03T05:32:18.079;2026-02-02T22:32:18.079;26.7;82227;5;18.09
2026-02-03T05:37:18.105;2026-02-02T22:37:18.105;26.4;72980;6;17.96
2026-02-03T05:42:18.075;2026-02-02T22:42:18.075;26.4;67236;7;17.88
2026-02-03T05:47:18.078;2026-02-02T22:47:18.078;26.4;51011;9;17.58
2026-02-03T05:52:18.106;2026-02-02T22:52:18.106;26.1;54509;9;17.65
2026-02-03T05:57:18.081;2026-02-02T22:57:18.081;26.1;47209;10;17.49
2026-02-03T06:02:18.076;2026-02-02T23:02:18.076;26.1;47766;10;17.51
2026-02-03T06:07:18.109;2026-02-02T23:07:18.109;25.7;48854;10;17.53
2026-02-03T06:12:18.082;2026-02-02T23:12:18.082;25.7;50693;9;17.57
2026-02-03T06:17:18.080;2026-02-02T23:17:18.080;25.7;45516;10;17.45
2026-02-03T06:22:18.109;2026-02-02T23:22:18.109;25.7;37298;12;17.23
2026-02-03T06:27:18.083;2026-02-02T23:27:18.083;25.7;30661;15;17.02
