#UT, Tloc, SQM, Temp, RH
2025-06-08T09:12:14.000, 2025-06-08T02:12:14.000, 19.87, 22.17 , 20
2025-06-08T09:17:22.000, 2025-06-08T02:17:22.000, 19.92, 22.11 , 20
2025-06-08T09:22:30.000, 2025-06-08T02:22:30.000, 20.01, 21.78 , 20
2025-06-08T09:27:38.000, 2025-06-08T02:27:38.000, 20.12, 21.06 , 21
2025-06-08T09:32:45.000, 2025-06-08T02:32:45.000, 20.18, 20.50 , 22
2025-06-08T09:37:53.000, 2025-06-08T02:37:53.000, 20.25, 20.50 , 22
2025-06-08T09:43:01.000, 2025-06-08T02:43:01.000, 20.34, 20.56 , 22
2025-06-08T09:48:09.000, 2025-06-08T02:48:09.000, 20.44, 19.94 , 23
2025-06-08T09:53:17.000, 2025-06-08T02:53:17.000, 20.55, 19.39 , 24
2025-06-08T09:58:25.000, 2025-06-08T02:58:25.000, 20.68, 19.50 , 24
2025-06-08T10:01:51.000, 2025-06-08T03:01:51.000, 20.78, 19.44 , 24
2025-06-08T10:06:59.000, 2025-06-08T03:06:59.000, 20.93, 19.61 , 24
2025-06-08T10:13:49.000, 2025-06-08T03:13:49.000, 21.10, 19.83 , 24
2025-06-08T10:18:57.000, 2025-06-08T03:18:57.000, 21.20, 19.94 , 24
2025-06-08T10:24:05.000, 2025-06-08T03:24:05.000, 21.26, 20.22 , 23
2025-06-08T10:29:13.000, 2025-06-08T03:29:13.000, 21.29, 20.67 , 22
2025-06-08T10:34:21.000, 2025-06-08T03:34:21.000, 21.31, 20.78 , 22
2025-06-08T10:39:29.000, 2025-06-08T03:39:29.000, 21.32, 20.61 , 22
2025-06-08T10:44:37.000, 2025-06-08T03:44:37.000, 21.32, 20.61 , 22
2025-06-08T10:49:45.000, 2025-06-08T03:49:45.000, 21.29, 20.78 , 22
2025-06-08T10:54:53.000, 2025-06-08T03:54:53.000, 21.21, 21.06 , 22
2025-06-08T10:58:18.000, 2025-06-08T03:58:18.000, 21.11, 21.22 , 21
2025-06-08T11:03:26.000, 2025-06-08T04:03:26.000, 20.83, 21.28 , 21
2025-06-08T11:08:34.000, 2025-06-08T04:08:34.000, 20.41, 21.11 , 21
2025-06-08T11:13:42.000, 2025-06-08T04:13:42.000, 19.81, 20.83 , 22
2025-06-08T11:18:50.000, 2025-06-08T04:18:50.000, 19.10, 20.61 , 22
2025-06-08T11:23:58.000, 2025-06-08T04:23:58.000, 18.30, 20.56 , 22
2025-06-08T11:29:06.000, 2025-06-08T04:29:06.000, 17.46, 20.50 , 22
2025-06-08T11:34:14.000, 2025-06-08T04:34:14.000, 16.55, 20.72 , 22
2025-06-08T11:39:22.000, 2025-06-08T04:39:22.000, 15.48, 21.06 , 22
2025-06-08T11:44:30.000, 2025-06-08T04:44:30.000, 14.31, 21.00 , 22
2025-06-08T11:49:38.000, 2025-06-08T04:49:38.000, 13.03, 20.83 , 22
2025-06-08T11:54:46.000, 2025-06-08T04:54:46.000, 11.76, 20.67 , 22
2025-06-08T11:59:54.000, 2025-06-08T04:59:54.000, 10.54, 20.22 , 22
2025-06-08T12:05:02.000, 2025-06-08T05:05:02.000, 9.43 , 19.72 , 22
2025-06-08T12:10:10.000, 2025-06-08T05:10:10.000, 8.51 , 19.78 , 23
2025-06-08T12:15:18.000, 2025-06-08T05:15:18.000, 7.78 , 20.06 , 23
2025-06-08T12:20:26.000, 2025-06-08T05:20:26.000, 16.97, 20.17 , 23
2025-06-08T12:25:34.000, 2025-06-08T05:25:34.000, 23.40, 20.17 , 22
2025-06-08T12:30:42.000, 2025-06-08T05:30:42.000, 22.61, 20.22 , 22
2025-06-08T12:35:50.000, 2025-06-08T05:35:50.000, 22.18, 20.22 , 22
2025-06-08T12:40:58.000, 2025-06-08T05:40:58.000, 21.84, 20.22 , 22
2025-06-08T12:46:06.000, 2025-06-08T05:46:06.000, 21.58, 20.33 , 22
2025-06-08T12:51:15.000, 2025-06-08T05:51:15.000, 21.34, 20.50 , 21
2025-06-08T12:54:40.000, 2025-06-08T05:54:40.000, 21.14, 20.50 , 22
2025-06-08T12:59:48.000, 2025-06-08T05:59:48.000, 20.88, 20.39 , 22
2025-06-08T13:06:39.000, 2025-06-08T06:06:39.000, 20.56, 20.33 , 22
2025-06-08T13:11:47.000, 2025-06-08T06:11:47.000, 20.44, 20.50 , 22
2025-06-08T13:16:55.000, 2025-06-08T06:16:55.000, 20.37, 20.67 , 21
2025-06-08T13:22:03.000, 2025-06-08T06:22:03.000, 20.29, 20.83 , 22
2025-06-08T13:27:11.000, 2025-06-08T06:27:11.000, 20.23, 21.11 , 22
2025-06-08T13:32:19.000, 2025-06-08T06:32:19.000, 20.16, 21.50 , 21
2025-06-08T13:37:27.000, 2025-06-08T06:37:27.000, 20.12, 21.89 , 21
2025-06-08T13:42:35.000, 2025-06-08T06:42:35.000, 20.07, 22.33 , 20
2025-06-08T13:47:43.000, 2025-06-08T06:47:43.000, 20.02, 22.78 , 22
2025-06-08T13:52:52.000, 2025-06-08T06:52:52.000, 19.98, 23.28 , 22
2025-06-08T13:56:17.000, 2025-06-08T06:56:17.000, 19.95, 23.72 , 22
