# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars19
# Data supplier: None / None
# Location name: Tucson / Tucson / Pima County / Arizona / United States 
# Position: 32.223877, -110.767532, 0.0
# Local timezone: America/Phoenix
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 18:FE:34:CF:EC:06
# TESS firmware version: 1.0
# TESS cover offset value: 0.0
# TESS zero point: 20.5
# Comment: This photometer may not have been calibrated (Zero Point = 20.50)
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2018-10-15T11:04:32.000;2018-10-15T04:04:32.000;16.41;-0.78;1.49;20.06;20.5;49655
2018-10-15T11:05:33.000;2018-10-15T04:05:33.000;16.37;-0.66;1.49;20.07;20.5;49656
2018-10-15T11:06:33.000;2018-10-15T04:06:33.000;16.36;-0.4;1.53;20.04;20.5;49657
2018-10-15T11:08:33.000;2018-10-15T04:08:33.000;16.41;-0.19;2.34;19.58;20.5;49659
2018-10-15T11:09:33.000;2018-10-15T04:09:33.000;16.44;-0.12;2.57;19.47;20.5;49660
2018-10-15T11:10:33.000;2018-10-15T04:10:33.000;16.47;-0.19;2.37;19.56;20.5;49661
2018-10-15T11:11:33.000;2018-10-15T04:11:33.000;16.51;-0.32;1.89;19.81;20.5;49662
2018-10-15T11:12:33.000;2018-10-15T04:12:33.000;16.53;-0.53;1.57;20.01;20.5;49663
2018-10-15T11:13:33.000;2018-10-15T04:13:33.000;16.5;-0.75;1.53;20.06;20.5;49664
2018-10-15T11:14:33.000;2018-10-15T04:14:33.000;16.49;-0.75;1.35;20.17;20.5;49665
2018-10-15T11:15:33.000;2018-10-15T04:15:33.000;16.5;-0.84;1.36;20.17;20.5;49666
2018-10-15T11:16:33.000;2018-10-15T04:16:33.000;16.49;-0.93;1.37;20.15;20.5;49667
2018-10-15T11:17:33.000;2018-10-15T04:17:33.000;16.49;-0.91;1.41;20.13;20.5;49668
2018-10-15T11:18:33.000;2018-10-15T04:18:33.000;16.5;-0.91;1.55;20.02;20.5;49669
2018-10-15T11:19:34.000;2018-10-15T04:19:34.000;16.5;-1.0;1.72;19.91;20.5;49670
2018-10-15T11:20:34.000;2018-10-15T04:20:34.000;16.5;-1.29;1.81;19.86;20.5;49671
2018-10-15T11:21:34.000;2018-10-15T04:21:34.000;16.47;-1.64;1.68;19.94;20.5;49672
2018-10-15T11:22:34.000;2018-10-15T04:22:34.000;16.38;-2.05;1.43;20.11;20.5;49673
2018-10-15T11:23:34.000;2018-10-15T04:23:34.000;16.33;-2.23;1.22;20.29;20.5;49674
2018-10-15T11:24:34.000;2018-10-15T04:24:34.000;16.25;-2.4;1.22;20.29;20.5;49675
2018-10-15T11:25:34.000;2018-10-15T04:25:34.000;16.25;-2.54;1.36;20.17;20.5;49676
