# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN030-S
# Data supplier: DarkSky SoAZ
# Location name: Adam Dalton
# Position (lat, lon, elev(m)): 31.3333, -110.9333, 1200
# Local timezone: PST8PDT
# Time Synchronization: GPS
# Moving / Stationary position: fixed
# Moving / Fixed look direction: zenith
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 1
# Field of view (degrees): 30
# Number of fields per line: 5
# SQM serial number: 7451
# SQM hardware identity: 003LROL
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007451
# SQM readout test rx (Reading): r, 00.00m,0000572011Hz,0000000000c,0000000.000s, 028.6C
# SQM readout test cx (Calibration): c,00000019.96m,0000252.659s, 018.3C,00000008.71m, 018.3C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 1
# DL retrieved at (UTC): 2025-03-22T17:37:27.595
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 10
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.361
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-03-21T01:50:05.000;2025-03-20T18:50:05.000;19.6;5.12;10.46;1
2025-03-21T01:55:05.000;2025-03-20T18:55:05.000;19.3;5.12;11.77;1
2025-03-21T02:00:05.000;2025-03-20T19:00:05.000;18.3;5.10;13.16;1
2025-03-21T02:05:05.000;2025-03-20T19:05:05.000;18.0;5.12;14.60;1
2025-03-21T02:10:05.000;2025-03-20T19:10:05.000;17.4;5.10;15.94;1
2025-03-21T02:15:05.000;2025-03-20T19:15:05.000;17.0;5.10;17.00;1
2025-03-21T02:20:05.000;2025-03-20T19:20:05.000;16.4;5.10;17.76;1
2025-03-21T02:25:05.000;2025-03-20T19:25:05.000;16.1;5.10;18.26;1
2025-03-21T02:30:05.000;2025-03-20T19:30:05.000;15.7;5.10;18.54;1
2025-03-21T02:35:05.000;2025-03-20T19:35:05.000;15.4;5.10;18.67;1
2025-03-21T02:40:05.000;2025-03-20T19:40:05.000;15.4;5.10;18.73;1
2025-03-21T02:45:05.000;2025-03-20T19:45:05.000;15.1;5.10;18.75;1
2025-03-21T02:50:05.000;2025-03-20T19:50:05.000;15.1;5.10;18.76;1
2025-03-21T02:55:05.000;2025-03-20T19:55:05.000;14.8;5.10;18.76;1
2025-03-21T03:00:05.000;2025-03-20T20:00:05.000;14.5;5.10;18.76;1
2025-03-21T03:05:05.000;2025-03-20T20:05:05.000;14.1;5.09;18.76;1
2025-03-21T03:10:05.000;2025-03-20T20:10:05.000;14.1;5.10;18.76;1
2025-03-21T03:15:05.000;2025-03-20T20:15:05.000;13.8;5.09;18.76;1
2025-03-21T03:20:05.000;2025-03-20T20:20:05.000;13.8;5.09;18.76;1
