# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN030-S
# Data supplier: DarkSky SoAZ
# Location name: Nogales
# Position (lat, lon, elev(m)): 31.3333, -110.9333, 1200
# Local timezone: PST8PDT
# Time Synchronization: GPS
# Moving / Stationary position: fixed
# Moving / Fixed look direction: zenith
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 1
# Field of view (degrees): 30
# Number of fields per line: 5
# SQM serial number: 7451
# SQM hardware identity: 003LROL
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007451
# SQM readout test rx (Reading): r, 07.69m,0000081731Hz,0000000000c,0000000.000s, 019.3C
# SQM readout test cx (Calibration): c,00000019.96m,0000252.659s, 018.3C,00000008.71m, 018.3C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -7
# DL retrieved at (UTC): 2025-12-30T17:37:13.463
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 10
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.361
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-11-15T01:32:41.000;2025-11-14T17:32:41.000;25.4;4.70;12.01;0
2025-11-15T01:35:05.000;2025-11-14T17:35:05.000;24.8;4.78;12.01;1
2025-11-15T01:40:05.000;2025-11-14T17:40:05.000;24.4;4.79;12.02;1
2025-11-15T01:45:05.000;2025-11-14T17:45:05.000;24.1;4.81;12.00;1
2025-11-15T01:50:05.000;2025-11-14T17:50:05.000;24.1;4.81;11.99;1
2025-11-15T01:55:05.000;2025-11-14T17:55:05.000;24.8;4.78;11.99;1
2025-11-15T02:00:05.000;2025-11-14T18:00:05.000;25.1;4.10;11.99;1
2025-11-15T02:05:05.000;2025-11-14T18:05:05.000;23.5;4.82;12.00;1
2025-11-15T02:10:05.000;2025-11-14T18:10:05.000;23.5;4.82;12.01;1
2025-11-15T02:15:05.000;2025-11-14T18:15:05.000;23.5;4.82;12.01;1
2025-11-15T02:20:05.000;2025-11-14T18:20:05.000;23.5;4.82;12.00;1
2025-11-15T02:25:05.000;2025-11-14T18:25:05.000;23.2;4.82;11.98;1
2025-11-15T02:30:05.000;2025-11-14T18:30:05.000;23.2;4.82;12.00;1
2025-11-15T02:35:08.000;2025-11-14T18:35:08.000;23.2;4.81;21.40;1
2025-11-15T02:40:08.000;2025-11-14T18:40:08.000;23.2;4.82;21.41;1
2025-11-15T02:45:08.000;2025-11-14T18:45:08.000;23.2;4.82;21.43;1
2025-11-15T02:50:08.000;2025-11-14T18:50:08.000;23.2;4.82;21.39;1
2025-11-15T02:55:08.000;2025-11-14T18:55:08.000;23.2;4.82;21.39;1
2025-11-15T03:00:09.000;2025-11-14T19:00:09.000;23.5;4.81;21.46;1
2025-11-15T03:05:07.000;2025-11-14T19:05:07.000;22.8;4.82;21.30;1
2025-11-15T03:10:07.000;2025-11-14T19:10:07.000;22.8;4.82;21.32;1
2025-11-15T03:15:07.000;2025-11-14T19:15:07.000;22.8;4.82;21.32;1
2025-11-15T03:20:07.000;2025-11-14T19:20:07.000;22.8;4.78;21.33;1
2025-11-15T03:25:07.000;2025-11-14T19:25:07.000;22.8;4.82;21.33;1
2025-11-15T03:30:07.000;2025-11-14T19:30:07.000;22.8;4.82;21.33;1
2025-11-15T03:35:07.000;2025-11-14T19:35:07.000;22.8;4.82;21.33;1
2025-11-15T03:40:08.000;2025-11-14T19:40:08.000;22.8;4.82;21.53;1
2025-11-15T03:45:08.000;2025-11-14T19:45:08.000;22.8;4.82;21.40;1
2025-11-15T03:50:08.000;2025-11-14T19:50:08.000;22.8;4.82;21.40;1
2025-11-15T03:55:08.000;2025-11-14T19:55:08.000;22.8;4.82;21.38;1
2025-11-15T04:00:08.000;2025-11-14T20:00:08.000;22.8;4.83;21.43;1
2025-11-15T04:05:08.000;2025-11-14T20:05:08.000;22.8;4.82;21.43;1
2025-11-15T04:10:08.000;2025-11-14T20:10:08.000;22.5;4.82;21.42;1
2025-11-15T04:15:08.000;2025-11-14T20:15:08.000;22.5;4.82;21.42;1
2025-11-15T04:20:08.000;2025-11-14T20:20:08.000;22.5;4.82;21.43;1
2025-11-15T04:25:08.000;2025-11-14T20:25:08.000;22.5;4.82;21.42;1
2025-11-15T04:30:08.000;2025-11-14T20:30:08.000;22.5;4.82;21.42;1
2025-11-15T04:35:08.000;2025-11-14T20:35:08.000;22.5;4.82;21.42;1
2025-11-15T04:40:08.000;2025-11-14T20:40:08.000;22.5;4.82;21.39;1
