# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN030-S
# Data supplier: DarkSky SoAZ
# Location name: Adam Dalton
# Position (lat, lon, elev(m)): 31.3333, -110.9333, 1200
# Local timezone: PST8PDT
# Time Synchronization: GPS
# Moving / Stationary position: fixed
# Moving / Fixed look direction: zenith
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 1
# Field of view (degrees): 30
# Number of fields per line: 5
# SQM serial number: 7451
# SQM hardware identity: 003LROL
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007451
# SQM readout test rx (Reading): r, 12.00m,0000001528Hz,0000000000c,0000000.000s, 026.4C
# SQM readout test cx (Calibration): c,00000019.96m,0000252.659s, 018.3C,00000008.71m, 018.3C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 0
# DL retrieved at (UTC): 2025-11-15T01:12:50.987
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 10
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-03-08T21:25:05.000;2025-03-08T13:25:05.000;23.5;4.95;10.00;1
2025-03-08T21:30:05.000;2025-03-08T13:30:05.000;23.5;4.95;10.03;1
2025-03-08T21:35:05.000;2025-03-08T13:35:05.000;23.5;4.94;10.03;1
2025-03-08T21:40:05.000;2025-03-08T13:40:05.000;23.5;4.94;10.05;1
2025-03-08T21:45:05.000;2025-03-08T13:45:05.000;23.5;4.94;10.06;1
2025-03-08T21:50:05.000;2025-03-08T13:50:05.000;23.2;4.94;10.10;1
2025-03-08T21:55:05.000;2025-03-08T13:55:05.000;23.2;4.94;10.12;1
2025-03-08T22:00:05.000;2025-03-08T14:00:05.000;23.2;4.94;10.13;1
2025-03-08T22:05:05.000;2025-03-08T14:05:05.000;23.2;4.94;10.16;1
2025-03-08T22:10:05.000;2025-03-08T14:10:05.000;23.2;4.94;10.18;1
2025-03-08T22:15:05.000;2025-03-08T14:15:05.000;22.8;4.94;10.21;1
2025-03-08T22:20:05.000;2025-03-08T14:20:05.000;22.8;4.94;10.23;1
2025-03-08T22:25:05.000;2025-03-08T14:25:05.000;22.8;4.94;10.26;1
2025-03-08T22:30:05.000;2025-03-08T14:30:05.000;22.8;4.94;10.28;1
2025-03-08T22:35:05.000;2025-03-08T14:35:05.000;22.8;4.94;10.31;1
2025-03-08T22:40:05.000;2025-03-08T14:40:05.000;22.8;4.94;10.32;1
2025-03-08T22:45:05.000;2025-03-08T14:45:05.000;22.8;4.94;10.35;1
2025-03-08T22:50:05.000;2025-03-08T14:50:05.000;22.5;4.94;10.37;1
2025-03-08T22:55:05.000;2025-03-08T14:55:05.000;22.5;4.94;10.40;1
2025-03-08T23:00:05.000;2025-03-08T15:00:05.000;22.5;4.94;10.42;1
2025-03-08T23:05:05.000;2025-03-08T15:05:05.000;22.5;4.94;10.45;1
2025-03-08T23:10:05.000;2025-03-08T15:10:05.000;22.5;4.94;10.47;1
2025-03-08T23:15:05.000;2025-03-08T15:15:05.000;22.5;4.94;10.49;1
2025-03-08T23:20:05.000;2025-03-08T15:20:05.000;22.5;4.94;10.52;1
2025-03-08T23:25:05.000;2025-03-08T15:25:05.000;22.5;4.94;10.54;1
2025-03-08T23:30:05.000;2025-03-08T15:30:05.000;22.2;4.94;10.57;1
2025-03-08T23:35:05.000;2025-03-08T15:35:05.000;22.2;4.94;10.60;1
2025-03-08T23:40:05.000;2025-03-08T15:40:05.000;22.2;4.94;10.62;1
2025-03-08T23:45:05.000;2025-03-08T15:45:05.000;22.2;4.94;10.65;1
2025-03-08T23:50:05.000;2025-03-08T15:50:05.000;22.2;4.94;10.67;1
2025-03-08T23:55:05.000;2025-03-08T15:55:05.000;21.9;4.94;10.70;1
2025-03-09T00:00:05.000;2025-03-08T16:00:05.000;21.9;4.94;10.74;1
2025-03-09T00:05:05.000;2025-03-08T16:05:05.000;21.9;4.94;10.76;1
2025-03-09T00:10:05.000;2025-03-08T16:10:05.000;21.9;4.94;10.80;1
2025-03-09T00:15:05.000;2025-03-08T16:15:05.000;21.9;4.94;10.83;1
2025-03-09T00:20:05.000;2025-03-08T16:20:05.000;21.9;4.94;10.87;1
2025-03-09T00:25:05.000;2025-03-08T16:25:05.000;21.5;4.94;10.92;1
2025-03-09T00:30:05.000;2025-03-08T16:30:05.000;21.5;4.94;10.97;1
2025-03-09T00:35:05.000;2025-03-08T16:35:05.000;21.5;4.94;11.03;1
2025-03-09T00:40:05.000;2025-03-08T16:40:05.000;21.5;4.94;11.10;1
2025-03-09T00:45:05.000;2025-03-08T16:45:05.000;21.5;4.94;11.18;1
2025-03-09T00:50:05.000;2025-03-08T16:50:05.000;21.9;4.94;11.27;1
2025-03-09T00:55:05.000;2025-03-08T16:55:05.000;21.9;4.92;11.39;1
2025-03-09T01:00:05.000;2025-03-08T17:00:05.000;21.9;4.92;11.54;1
2025-03-09T01:05:05.000;2025-03-08T17:05:05.000;22.2;4.94;11.72;1
2025-03-09T01:10:05.000;2025-03-08T17:10:05.000;22.2;4.94;11.96;1
2025-03-09T01:15:05.000;2025-03-08T17:15:05.000;22.2;4.94;12.27;1
2025-03-09T01:20:05.000;2025-03-08T17:20:05.000;22.2;4.94;12.68;1
2025-03-09T01:25:05.000;2025-03-08T17:25:05.000;22.2;4.92;13.24;1
2025-03-09T01:30:05.000;2025-03-08T17:30:05.000;22.2;4.94;13.96;1
2025-03-09T01:35:05.000;2025-03-08T17:35:05.000;22.2;4.92;14.88;1
2025-03-09T01:40:05.000;2025-03-08T17:40:05.000;22.2;4.92;16.08;1
2025-03-09T01:45:05.000;2025-03-08T17:45:05.000;21.9;4.94;17.48;1
2025-03-09T01:50:05.000;2025-03-08T17:50:05.000;21.9;4.94;18.89;1
2025-03-09T01:55:05.000;2025-03-08T17:55:05.000;21.9;4.94;20.25;1
2025-03-09T02:00:05.000;2025-03-08T18:00:05.000;21.9;4.92;17.41;1
2025-03-09T02:05:05.000;2025-03-08T18:05:05.000;21.9;4.94;17.41;1
2025-03-09T02:10:05.000;2025-03-08T18:10:05.000;21.9;4.92;17.46;1
2025-03-09T02:15:05.000;2025-03-08T18:15:05.000;21.9;4.94;17.44;1
2025-03-09T02:20:05.000;2025-03-08T18:20:05.000;21.9;4.92;17.49;1
2025-03-09T02:25:05.000;2025-03-08T18:25:05.000;21.9;4.92;16.85;1
2025-03-09T02:30:05.000;2025-03-08T18:30:05.000;21.9;4.92;16.87;1
2025-03-09T02:35:05.000;2025-03-08T18:35:05.000;21.9;4.92;16.87;1
2025-03-09T02:40:05.000;2025-03-08T18:40:05.000;21.9;4.92;16.87;1
2025-03-09T02:45:05.000;2025-03-08T18:45:05.000;21.9;4.92;16.87;1
2025-03-09T02:50:05.000;2025-03-08T18:50:05.000;21.9;4.92;16.87;1
2025-03-09T02:55:05.000;2025-03-08T18:55:05.000;21.9;4.92;16.87;1
2025-03-09T03:00:05.000;2025-03-08T19:00:05.000;21.9;4.92;16.87;1
2025-03-09T03:05:05.000;2025-03-08T19:05:05.000;21.9;4.92;17.46;1
2025-03-09T03:10:05.000;2025-03-08T19:10:05.000;21.9;4.92;17.46;1
2025-03-09T03:15:05.000;2025-03-08T19:15:05.000;21.9;4.92;17.46;1
2025-03-09T03:20:05.000;2025-03-08T19:20:05.000;21.9;4.92;17.46;1
2025-03-09T03:25:05.000;2025-03-08T19:25:05.000;21.9;4.94;17.47;1
2025-03-09T03:30:05.000;2025-03-08T19:30:05.000;21.5;4.92;17.48;1
2025-03-09T03:35:19.000;2025-03-08T19:35:19.000;22.2;4.92;22.20;1
2025-03-09T03:40:19.000;2025-03-08T19:40:19.000;22.2;4.92;22.16;1
2025-03-09T03:45:19.000;2025-03-08T19:45:19.000;22.5;4.92;22.19;1
2025-03-09T03:50:18.000;2025-03-08T19:50:18.000;22.2;4.92;22.12;1
2025-03-09T03:55:19.000;2025-03-08T19:55:19.000;22.2;4.92;22.18;1
2025-03-09T04:00:18.000;2025-03-08T20:00:18.000;22.2;4.92;22.11;1
2025-03-09T04:05:20.000;2025-03-08T20:05:20.000;22.2;4.92;22.22;1
2025-03-09T04:10:20.000;2025-03-08T20:10:20.000;22.2;4.92;22.18;1
2025-03-09T04:15:17.000;2025-03-08T20:15:17.000;22.2;4.92;21.91;1
2025-03-09T04:20:19.000;2025-03-08T20:20:19.000;22.2;4.92;22.17;1
2025-03-09T04:25:17.000;2025-03-08T20:25:17.000;22.2;4.92;22.12;1
2025-03-09T04:30:18.000;2025-03-08T20:30:18.000;22.5;4.92;22.18;1
2025-03-09T04:35:18.000;2025-03-08T20:35:18.000;22.2;4.92;22.16;1
2025-03-09T04:40:18.000;2025-03-08T20:40:18.000;22.2;4.92;22.15;1
2025-03-09T04:45:18.000;2025-03-08T20:45:18.000;22.2;4.92;22.15;1
2025-03-09T04:50:19.000;2025-03-08T20:50:19.000;22.2;4.92;22.12;1
2025-03-09T04:55:17.000;2025-03-08T20:55:17.000;22.2;4.92;22.07;1
2025-03-09T05:00:15.000;2025-03-08T21:00:15.000;22.2;4.92;17.31;1
2025-03-09T05:05:18.000;2025-03-08T21:05:18.000;22.2;4.92;22.10;1
2025-03-09T05:10:05.000;2025-03-08T21:10:05.000;21.9;4.92;17.35;1
2025-03-09T05:15:18.000;2025-03-08T21:15:18.000;22.2;4.92;22.19;1
2025-03-09T05:20:21.000;2025-03-08T21:20:21.000;22.2;4.92;22.27;1
2025-03-09T05:25:18.000;2025-03-08T21:25:18.000;22.2;4.92;22.15;1
2025-03-09T05:30:05.000;2025-03-08T21:30:05.000;21.9;4.92;17.38;1
2025-03-09T05:35:05.000;2025-03-08T21:35:05.000;21.9;4.92;17.43;1
2025-03-09T05:40:05.000;2025-03-08T21:40:05.000;21.9;4.92;17.45;1
2025-03-09T05:45:05.000;2025-03-08T21:45:05.000;21.5;4.92;17.46;1
2025-03-09T05:50:05.000;2025-03-08T21:50:05.000;21.9;4.92;17.47;1
2025-03-09T05:55:05.000;2025-03-08T21:55:05.000;21.9;4.92;17.47;1
2025-03-09T06:00:05.000;2025-03-08T22:00:05.000;21.9;4.92;17.48;1
2025-03-09T06:05:05.000;2025-03-08T22:05:05.000;21.5;4.92;17.48;1
2025-03-09T06:10:05.000;2025-03-08T22:10:05.000;21.5;4.92;17.48;1
2025-03-09T06:15:05.000;2025-03-08T22:15:05.000;21.9;4.92;17.48;1
2025-03-09T06:20:05.000;2025-03-08T22:20:05.000;21.9;4.92;17.48;1
2025-03-09T06:25:05.000;2025-03-08T22:25:05.000;21.9;4.92;17.49;1
2025-03-09T06:30:05.000;2025-03-08T22:30:05.000;21.9;4.92;17.48;1
2025-03-09T06:35:17.000;2025-03-08T22:35:17.000;22.2;4.91;22.01;1
2025-03-09T06:40:21.000;2025-03-08T22:40:21.000;22.5;4.92;22.31;1
2025-03-09T06:45:18.000;2025-03-08T22:45:18.000;22.5;4.92;22.11;1
2025-03-09T06:50:19.000;2025-03-08T22:50:19.000;22.2;4.91;22.18;1
2025-03-09T06:55:20.000;2025-03-08T22:55:20.000;22.2;4.92;22.20;1
2025-03-09T07:00:20.000;2025-03-08T23:00:20.000;22.5;4.92;22.22;1
2025-03-09T07:05:22.000;2025-03-08T23:05:22.000;22.5;4.91;22.29;1
2025-03-09T07:10:17.000;2025-03-08T23:10:17.000;22.2;4.92;22.17;1
2025-03-09T07:15:05.000;2025-03-08T23:15:05.000;21.5;4.92;17.33;1
