UT;Tloc;Etempc;volt;SQM;irec
2022-01-02T00:35:05.000;2022-01-01T17:35:05.000;-3.6;5.03;10.26;1
2022-01-02T00:40:05.000;2022-01-01T17:40:05.000;-3.6;5.03;11.47;1
2022-01-02T00:45:05.000;2022-01-01T17:45:05.000;-3.9;5.03;12.77;1
2022-01-02T00:50:05.000;2022-01-01T17:50:05.000;-3.9;5.03;14.09;1
2022-01-02T00:55:05.000;2022-01-01T17:55:05.000;-4.2;5.01;15.35;1
2022-01-02T01:00:05.000;2022-01-01T18:00:05.000;-4.2;5.01;16.44;1
2022-01-02T01:05:05.000;2022-01-01T18:05:05.000;-4.2;5.03;17.43;1
2022-01-02T01:10:05.000;2022-01-01T18:10:05.000;-4.6;5.01;18.36;1
2022-01-02T01:15:05.000;2022-01-01T18:15:05.000;-4.6;5.01;19.26;1
2022-01-02T01:20:05.000;2022-01-01T18:20:05.000;-4.9;5.01;20.09;1
2022-01-02T01:25:06.000;2022-01-01T18:25:06.000;-4.9;5.01;20.8;1
2022-01-02T01:30:07.000;2022-01-01T18:30:07.000;-4.9;5.01;21.3;1
2022-01-02T01:35:11.000;2022-01-01T18:35:11.000;-4.9;5.01;21.58;1
2022-01-02T01:40:12.000;2022-01-01T18:40:12.000;-4.9;5.01;21.7;1
2022-01-02T01:45:13.000;2022-01-01T18:45:13.000;-4.9;5.01;21.75;1
2022-01-02T01:50:14.000;2022-01-01T18:50:14.000;-5.2;5.01;21.78;1
2022-01-02T01:55:14.000;2022-01-01T18:55:14.000;-5.2;5.01;21.78;1
2022-01-02T02:00:14.000;2022-01-01T19:00:14.000;-5.2;5.01;21.78;1
2022-01-02T02:05:13.000;2022-01-01T19:05:13.000;-5.2;5.01;21.77;1
2022-01-02T02:10:13.000;2022-01-01T19:10:13.000;-5.2;5.01;21.76;1
2022-01-02T02:15:13.000;2022-01-01T19:15:13.000;-5.2;5.01;21.76;1
2022-01-02T02:20:13.000;2022-01-01T19:20:13.000;-5.5;5.01;21.77;1
2022-01-02T02:25:13.000;2022-01-01T19:25:13.000;-5.5;5.0;21.76;1
2022-01-02T02:30:13.000;2022-01-01T19:30:13.000;-5.9;5.0;21.76;1
2022-01-02T02:35:13.000;2022-01-01T19:35:13.000;-6.2;5.0;21.77;1
2022-01-02T02:40:13.000;2022-01-01T19:40:13.000;-6.2;5.0;21.76;1
2022-01-02T02:45:13.000;2022-01-01T19:45:13.000;-6.5;5.0;21.77;1
2022-01-02T02:50:13.000;2022-01-01T19:50:13.000;-6.5;5.0;21.78;1
2022-01-02T02:55:13.000;2022-01-01T19:55:13.000;-6.8;5.0;21.78;1
2022-01-02T03:00:13.000;2022-01-01T20:00:13.000;-6.5;5.0;21.77;1
2022-01-02T03:05:13.000;2022-01-01T20:05:13.000;-6.5;5.0;21.76;1
2022-01-02T03:10:13.000;2022-01-01T20:10:13.000;-6.8;5.0;21.76;1
2022-01-02T03:15:12.000;2022-01-01T20:15:12.000;-6.8;5.0;21.75;1
2022-01-02T03:20:12.000;2022-01-01T20:20:12.000;-6.8;5.0;21.75;1
2022-01-02T03:25:12.000;2022-01-01T20:25:12.000;-7.1;4.99;21.75;1
2022-01-02T03:30:12.000;2022-01-01T20:30:12.000;-7.1;5.0;21.76;1
2022-01-02T03:35:12.000;2022-01-01T20:35:12.000;-7.1;4.99;21.75;1
2022-01-02T03:40:12.000;2022-01-01T20:40:12.000;-7.1;5.0;21.74;1
2022-01-02T03:45:12.000;2022-01-01T20:45:12.000;-7.1;5.0;21.73;1
2022-01-02T03:50:12.000;2022-01-01T20:50:12.000;-7.5;5.0;21.73;1
2022-01-02T03:55:12.000;2022-01-01T20:55:12.000;-7.5;5.0;21.73;1
2022-01-02T04:00:12.000;2022-01-01T21:00:12.000;-7.5;5.0;21.73;1
2022-01-02T04:05:12.000;2022-01-01T21:05:12.000;-7.5;4.99;21.71;1
2022-01-02T04:10:12.000;2022-01-01T21:10:12.000;-7.5;4.99;21.7;1
2022-01-02T04:15:11.000;2022-01-01T21:15:11.000;-7.5;4.99;21.7;1
2022-01-02T04:20:11.000;2022-01-01T21:20:11.000;-7.5;4.99;21.69;1
2022-01-02T04:25:11.000;2022-01-01T21:25:11.000;-7.5;4.99;21.68;1
2022-01-02T04:30:11.000;2022-01-01T21:30:11.000;-7.5;4.99;21.67;1
2022-01-02T04:35:11.000;2022-01-01T21:35:11.000;-7.5;4.99;21.67;1
2022-01-02T04:40:11.000;2022-01-01T21:40:11.000;-7.5;4.99;21.65;1
2022-01-02T04:45:10.000;2022-01-01T21:45:10.000;-7.8;4.99;21.64;1
2022-01-02T04:50:10.000;2022-01-01T21:50:10.000;-7.8;4.99;21.64;1
2022-01-02T04:55:10.000;2022-01-01T21:55:10.000;-7.8;4.99;21.63;1
2022-01-02T05:00:10.000;2022-01-01T22:00:10.000;-7.8;4.99;21.63;1
2022-01-02T05:05:10.000;2022-01-01T22:05:10.000;-7.8;4.99;21.62;1
2022-01-02T05:10:10.000;2022-01-01T22:10:10.000;-7.8;4.99;21.61;1
2022-01-02T05:15:10.000;2022-01-01T22:15:10.000;-8.1;4.99;21.61;1
2022-01-02T05:20:10.000;2022-01-01T22:20:10.000;-8.1;4.99;21.61;1
2022-01-02T05:25:10.000;2022-01-01T22:25:10.000;-8.1;4.99;21.61;1
2022-01-02T05:30:10.000;2022-01-01T22:30:10.000;-8.1;4.99;21.61;1
2022-01-02T05:35:09.000;2022-01-01T22:35:09.000;-8.1;4.99;21.6;1
2022-01-02T05:40:09.000;2022-01-01T22:40:09.000;-8.4;4.99;21.59;1
2022-01-02T05:45:09.000;2022-01-01T22:45:09.000;-8.8;4.99;21.6;1
2022-01-02T05:50:09.000;2022-01-01T22:50:09.000;-8.8;4.97;21.58;1
2022-01-02T05:55:09.000;2022-01-01T22:55:09.000;-8.8;4.97;21.58;1
2022-01-02T06:00:09.000;2022-01-01T23:00:09.000;-9.1;4.97;21.58;1
2022-01-02T06:05:09.000;2022-01-01T23:05:09.000;-9.1;4.99;21.57;1
2022-01-02T06:10:09.000;2022-01-01T23:10:09.000;-9.1;4.99;21.55;1
2022-01-02T06:15:08.000;2022-01-01T23:15:08.000;-9.1;4.99;21.54;1
2022-01-02T06:20:08.000;2022-01-01T23:20:08.000;-9.1;4.99;21.54;1
2022-01-02T06:25:08.000;2022-01-01T23:25:08.000;-9.4;4.99;21.54;1
2022-01-02T06:30:08.000;2022-01-01T23:30:08.000;-9.4;4.99;21.53;1
2022-01-02T06:35:08.000;2022-01-01T23:35:08.000;-9.7;4.99;21.52;1
2022-01-02T06:40:08.000;2022-01-01T23:40:08.000;-10.0;4.97;21.52;1
2022-01-02T06:45:08.000;2022-01-01T23:45:08.000;-10.0;4.99;21.53;1
2022-01-02T06:50:08.000;2022-01-01T23:50:08.000;-10.4;4.97;21.54;1
2022-01-02T06:55:08.000;2022-01-01T23:55:08.000;-10.7;4.97;21.58;1
2022-01-02T07:00:08.000;2022-01-02T00:00:08.000;-10.7;4.97;21.61;1
2022-01-02T07:05:09.000;2022-01-02T00:05:09.000;-10.7;4.97;21.62;1
2022-01-02T07:10:09.000;2022-01-02T00:10:09.000;-11.0;4.97;21.62;1
2022-01-02T07:15:09.000;2022-01-02T00:15:09.000;-10.7;4.97;21.62;1
2022-01-02T07:20:09.000;2022-01-02T00:20:09.000;-10.7;4.97;21.62;1
2022-01-02T07:25:09.000;2022-01-02T00:25:09.000;-11.0;4.97;21.62;1
2022-01-02T07:30:09.000;2022-01-02T00:30:09.000;-11.0;4.96;21.64;1
2022-01-02T07:35:09.000;2022-01-02T00:35:09.000;-11.3;4.96;21.65;1
2022-01-02T07:40:09.000;2022-01-02T00:40:09.000;-11.3;4.96;21.65;1
2022-01-02T07:45:09.000;2022-01-02T00:45:09.000;-11.3;4.96;21.67;1
2022-01-02T07:50:09.000;2022-01-02T00:50:09.000;-11.3;4.96;21.69;1
2022-01-02T07:55:09.000;2022-01-02T00:55:09.000;-11.3;4.96;21.69;1
2022-01-02T08:00:09.000;2022-01-02T01:00:09.000;-11.3;4.96;21.69;1
2022-01-02T08:05:09.000;2022-01-02T01:05:09.000;-11.3;4.96;21.69;1
2022-01-02T08:10:09.000;2022-01-02T01:10:09.000;-11.3;4.96;21.69;1
2022-01-02T08:15:09.000;2022-01-02T01:15:09.000;-11.7;4.96;21.71;1
2022-01-02T08:20:09.000;2022-01-02T01:20:09.000;-11.7;4.96;21.71;1
2022-01-02T08:25:09.000;2022-01-02T01:25:09.000;-11.3;4.96;21.7;1
2022-01-02T08:30:09.000;2022-01-02T01:30:09.000;-11.3;4.96;21.69;1
2022-01-02T08:35:09.000;2022-01-02T01:35:09.000;-11.7;4.96;21.7;1
2022-01-02T08:40:09.000;2022-01-02T01:40:09.000;-11.7;4.96;21.7;1
2022-01-02T08:45:09.000;2022-01-02T01:45:09.000;-11.7;4.96;21.7;1
2022-01-02T08:50:09.000;2022-01-02T01:50:09.000;-11.7;4.96;21.7;1
2022-01-02T08:55:09.000;2022-01-02T01:55:09.000;-11.3;4.96;21.7;1
2022-01-02T09:00:09.000;2022-01-02T02:00:09.000;-11.3;4.96;21.7;1
2022-01-02T09:05:09.000;2022-01-02T02:05:09.000;-11.3;4.96;21.71;1
2022-01-02T09:10:09.000;2022-01-02T02:10:09.000;-11.3;4.96;21.7;1
2022-01-02T09:15:09.000;2022-01-02T02:15:09.000;-11.3;4.96;21.69;1
2022-01-02T09:20:09.000;2022-01-02T02:20:09.000;-11.3;4.96;21.69;1
2022-01-02T09:25:09.000;2022-01-02T02:25:09.000;-11.3;4.96;21.67;1
2022-01-02T09:30:09.000;2022-01-02T02:30:09.000;-11.3;4.96;21.67;1
2022-01-02T09:35:09.000;2022-01-02T02:35:09.000;-11.3;4.96;21.68;1
2022-01-02T09:40:09.000;2022-01-02T02:40:09.000;-11.7;4.96;21.69;1
2022-01-02T09:45:09.000;2022-01-02T02:45:09.000;-11.3;4.96;21.69;1
2022-01-02T09:50:09.000;2022-01-02T02:50:09.000;-11.3;4.96;21.68;1
2022-01-02T09:55:09.000;2022-01-02T02:55:09.000;-11.3;4.95;21.67;1
