# Community Standard Skyglow Data Format 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE/LU
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): +32.3030, -110.9860, +639
# Local timezone: 
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0, 0
# Field of view (degrees): 20
# Number of fields per line: 6
# SQM serial number: 7141
# SQM firmware version: 4-3-82
# SQM cover offset value: 0
# SQM readout test ix: i,00000004,00000003,00000082,00007141
# SQM readout test rx: r, 17.43m,0000000010Hz,0000046362c,0000000.101s, 026.4C
# SQM readout test cx: c,00000019.92m,0000300.000s, 022.2C,00000008.71m, 031.2C
# Comment: Data acquired by SQM Reader Pro v3.2.2.0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2025-01-01T07:14:31.000;2025-01-01T00:14:31.000;22.5;;;19.18
2025-01-01T07:29:31.000;2025-01-01T00:29:31.000;22.5;;;19.21
2025-01-01T07:44:31.000;2025-01-01T00:44:31.000;22.5;;;19.17
2025-01-01T07:59:31.000;2025-01-01T00:59:31.000;22.5;;;19.21
2025-01-01T08:14:31.000;2025-01-01T01:14:31.000;22.5;;;19.2
2025-01-01T08:29:31.000;2025-01-01T01:29:31.000;22.5;;;19.17
2025-01-01T08:44:31.000;2025-01-01T01:44:31.000;22.8;;;19.17
2025-01-01T08:59:31.000;2025-01-01T01:59:31.000;22.5;;;19.14
2025-01-01T09:14:31.000;2025-01-01T02:14:31.000;22.5;;;18.89
2025-01-01T09:29:31.000;2025-01-01T02:29:31.000;22.5;;;18.93
2025-01-01T09:44:31.000;2025-01-01T02:44:31.000;22.5;;;19.01
2025-01-01T09:59:31.000;2025-01-01T02:59:31.000;22.5;;;19.15
2025-01-01T10:14:31.000;2025-01-01T03:14:31.000;22.2;;;19.24
2025-01-01T10:29:31.000;2025-01-01T03:29:31.000;21.9;;;19.18
2025-01-01T10:44:31.000;2025-01-01T03:44:31.000;21.9;;;18.99
2025-01-01T10:59:31.000;2025-01-01T03:59:31.000;21.5;;;19.2
2025-01-01T11:14:31.000;2025-01-01T04:14:31.000;21.2;;;19.21
2025-01-01T11:29:31.000;2025-01-01T04:29:31.000;21.2;;;19.23
2025-01-01T11:44:31.000;2025-01-01T04:44:31.000;20.9;;;19.18
2025-01-01T11:59:31.000;2025-01-01T04:59:31.000;20.6;;;19.16
2025-01-01T12:14:31.000;2025-01-01T05:14:31.000;20.3;;;19.21
2025-01-01T12:29:31.000;2025-01-01T05:29:31.000;19.9;;;19.27
2025-01-01T12:44:31.000;2025-01-01T05:44:31.000;19.6;;;19.16
2025-01-01T12:59:31.000;2025-01-01T05:59:31.000;19.6;;;19.31
2025-01-01T13:14:31.000;2025-01-01T06:14:31.000;19.3;;;19.29
2025-01-01T13:29:31.000;2025-01-01T06:29:31.000;19.3;;;18.89
2025-01-01T13:44:31.000;2025-01-01T06:44:31.000;19;;;16.87
2025-01-01T13:59:31.000;2025-01-01T06:59:31.000;19;;;13.33
2025-01-01T14:14:31.000;2025-01-01T07:14:31.000;18.6;;;9.7
2025-01-01T14:29:31.000;2025-01-01T07:29:31.000;18.6;;;7.43
2025-01-01T14:44:31.000;2025-01-01T07:44:31.000;19;;;6.63
2025-01-01T14:59:31.000;2025-01-01T07:59:31.000;19;;;6.04
2025-01-01T15:14:31.000;2025-01-01T08:14:31.000;19.3;;;0
2025-01-01T15:29:31.000;2025-01-01T08:29:31.000;19.9;;;0
2025-01-01T15:44:31.000;2025-01-01T08:44:31.000;20.6;;;0
2025-01-01T15:59:31.000;2025-01-01T08:59:31.000;21.5;;;0
2025-01-01T16:14:31.000;2025-01-01T09:14:31.000;24.1;;;0
2025-01-01T16:29:31.000;2025-01-01T09:29:31.000;27.7;;;0
2025-01-01T16:44:31.000;2025-01-01T09:44:31.000;30.6;;;0
2025-01-01T16:59:31.000;2025-01-01T09:59:31.000;33.1;;;0
2025-01-01T17:14:31.000;2025-01-01T10:14:31.000;34.4;;;0
2025-01-01T17:29:31.000;2025-01-01T10:29:31.000;32.8;;;0
2025-01-01T17:44:31.000;2025-01-01T10:44:31.000;31.9;;;0
2025-01-01T17:59:31.000;2025-01-01T10:59:31.000;31.5;;;0
2025-01-01T18:14:31.000;2025-01-01T11:14:31.000;31.5;;;0
2025-01-01T18:29:31.000;2025-01-01T11:29:31.000;31.9;;;0
2025-01-01T18:44:31.000;2025-01-01T11:44:31.000;32.2;;;0
2025-01-01T18:59:31.000;2025-01-01T11:59:31.000;32.8;;;0
2025-01-01T19:14:31.000;2025-01-01T12:14:31.000;33.5;;;0
2025-01-01T19:29:31.000;2025-01-01T12:29:31.000;34.1;;;0
2025-01-01T19:44:31.000;2025-01-01T12:44:31.000;34.4;;;0
2025-01-01T19:59:31.000;2025-01-01T12:59:31.000;35.1;;;0
2025-01-01T20:14:31.000;2025-01-01T13:14:31.000;35.7;;;0
2025-01-01T20:29:31.000;2025-01-01T13:29:31.000;37.7;;;0
2025-01-01T20:44:31.000;2025-01-01T13:44:31.000;40.2;;;0
2025-01-01T20:59:31.000;2025-01-01T13:59:31.000;41.9;;;0
2025-01-01T21:14:31.000;2025-01-01T14:14:31.000;42.8;;;0
2025-01-01T21:29:31.000;2025-01-01T14:29:31.000;43.1;;;0
2025-01-01T21:44:31.000;2025-01-01T14:44:31.000;43.1;;;0
2025-01-01T21:59:31.000;2025-01-01T14:59:31.000;42.8;;;0
2025-01-01T22:14:31.000;2025-01-01T15:14:31.000;42.5;;;0
2025-01-01T22:29:31.000;2025-01-01T15:29:31.000;42.2;;;0
2025-01-01T22:44:31.000;2025-01-01T15:44:31.000;41.9;;;0
2025-01-01T22:59:31.000;2025-01-01T15:59:31.000;41.2;;;0
2025-01-01T23:14:31.000;2025-01-01T16:14:31.000;40.6;;;0
2025-01-01T23:29:31.000;2025-01-01T16:29:31.000;39.9;;;0
2025-01-01T23:44:31.000;2025-01-01T16:44:31.000;39;;;0
2025-01-01T23:59:31.000;2025-01-01T16:59:31.000;38.6;;;0
2025-01-02T00:14:31.000;2025-01-01T17:14:31.000;37.7;;;6.5
2025-01-02T00:29:31.000;2025-01-01T17:29:31.000;36.4;;;7.85
2025-01-02T00:44:31.000;2025-01-01T17:44:31.000;35.1;;;10.49
2025-01-02T00:59:31.000;2025-01-01T17:59:31.000;33.5;;;14.2
2025-01-02T01:14:31.000;2025-01-01T18:14:31.000;32.2;;;17.43
2025-01-02T01:29:31.000;2025-01-01T18:29:31.000;31.5;;;18.82
2025-01-02T01:44:31.000;2025-01-01T18:44:31.000;30.9;;;19.03
2025-01-02T01:59:31.000;2025-01-01T18:59:31.000;30.2;;;19.07
2025-01-02T02:14:31.000;2025-01-01T19:14:31.000;30.2;;;19.06
2025-01-02T02:29:31.000;2025-01-01T19:29:31.000;29.9;;;19.06
2025-01-02T02:44:31.000;2025-01-01T19:44:31.000;29.6;;;19.07
2025-01-02T02:59:32.000;2025-01-01T19:59:32.000;29;;;19.1
2025-01-02T03:14:31.000;2025-01-01T20:14:31.000;28;;;19.09
2025-01-02T03:29:31.000;2025-01-01T20:29:31.000;27.3;;;19.09
2025-01-02T03:44:31.000;2025-01-01T20:44:31.000;26.7;;;19.13
2025-01-02T03:59:31.000;2025-01-01T20:59:31.000;26.4;;;19.13
2025-01-02T04:14:31.000;2025-01-01T21:14:31.000;25.7;;;19.13
2025-01-02T04:29:31.000;2025-01-01T21:29:31.000;25.4;;;19.13
2025-01-02T04:44:31.000;2025-01-01T21:44:31.000;25.1;;;19.14
2025-01-02T04:59:31.000;2025-01-01T21:59:31.000;24.8;;;19.16
2025-01-02T05:14:29.000;2025-01-01T22:14:29.000;24.1;;;19.17
2025-01-02T05:29:29.000;2025-01-01T22:29:29.000;24.1;;;19.17
2025-01-02T05:44:29.000;2025-01-01T22:44:29.000;23.8;;;19.18
2025-01-02T05:59:29.000;2025-01-01T22:59:29.000;23.5;;;19.2
2025-01-02T06:14:29.000;2025-01-01T23:14:29.000;23.2;;;19.23
2025-01-02T06:29:29.000;2025-01-01T23:29:29.000;23.2;;;19.24
2025-01-02T06:44:29.000;2025-01-01T23:44:29.000;23.2;;;19.24
2025-01-02T06:59:29.000;2025-01-01T23:59:29.000;23.2;;;19.26
2025-01-02T07:14:29.000;2025-01-02T00:14:29.000;23.2;;;19.28
2025-01-02T07:29:29.000;2025-01-02T00:29:29.000;22.8;;;19.28
2025-01-02T07:44:29.000;2025-01-02T00:44:29.000;22.8;;;19.29
2025-01-02T07:59:29.000;2025-01-02T00:59:29.000;22.8;;;19.3
2025-01-02T08:14:29.000;2025-01-02T01:14:29.000;22.8;;;19.31
2025-01-02T08:29:29.000;2025-01-02T01:29:29.000;22.8;;;19.32
2025-01-02T08:44:29.000;2025-01-02T01:44:29.000;22.5;;;19.33
2025-01-02T08:59:29.000;2025-01-02T01:59:29.000;22.5;;;19.33
2025-01-02T09:14:29.000;2025-01-02T02:14:29.000;22.5;;;19.33
2025-01-02T09:29:29.000;2025-01-02T02:29:29.000;22.5;;;19.34
2025-01-02T09:44:29.000;2025-01-02T02:44:29.000;22.5;;;19.34
2025-01-02T09:59:29.000;2025-01-02T02:59:29.000;22.2;;;19.34
2025-01-02T10:14:29.000;2025-01-02T03:14:29.000;22.2;;;19.35
2025-01-02T10:29:29.000;2025-01-02T03:29:29.000;22.5;;;19.35
2025-01-02T10:44:29.000;2025-01-02T03:44:29.000;22.5;;;19.35
2025-01-02T10:59:29.000;2025-01-02T03:59:29.000;22.2;;;19.35
2025-01-02T11:14:29.000;2025-01-02T04:14:29.000;21.9;;;19.35
2025-01-02T11:29:29.000;2025-01-02T04:29:29.000;21.5;;;19.34
2025-01-02T11:44:29.000;2025-01-02T04:44:29.000;20.9;;;19.35
2025-01-02T11:59:29.000;2025-01-02T04:59:29.000;20.6;;;19.34
2025-01-02T12:14:29.000;2025-01-02T05:14:29.000;20.6;;;19.33
2025-01-02T12:29:29.000;2025-01-02T05:29:29.000;20.6;;;19.33
2025-01-02T12:44:29.000;2025-01-02T05:44:29.000;20.6;;;19.32
2025-01-02T12:59:29.000;2025-01-02T05:59:29.000;20.6;;;19.33
2025-01-02T13:14:29.000;2025-01-02T06:14:29.000;20.6;;;19.29
2025-01-02T13:29:29.000;2025-01-02T06:29:29.000;20.3;;;18.85
2025-01-02T13:44:29.000;2025-01-02T06:44:29.000;20.3;;;16.84
2025-01-02T13:59:29.000;2025-01-02T06:59:29.000;19.9;;;13.28
2025-01-02T14:14:29.000;2025-01-02T07:14:29.000;19.9;;;9.67
2025-01-02T14:29:29.000;2025-01-02T07:29:29.000;19.6;;;7.42
2025-01-02T14:44:29.000;2025-01-02T07:44:29.000;19.6;;;6.41
2025-01-02T14:59:29.000;2025-01-02T07:59:29.000;19.3;;;5.93
2025-01-02T15:14:29.000;2025-01-02T08:14:29.000;19.6;;;0
2025-01-02T15:29:29.000;2025-01-02T08:29:29.000;20.6;;;0
2025-01-02T15:44:29.000;2025-01-02T08:44:29.000;21.2;;;0
2025-01-02T15:59:29.000;2025-01-02T08:59:29.000;22.2;;;0
2025-01-02T16:14:29.000;2025-01-02T09:14:29.000;24.4;;;0
2025-01-02T16:29:29.000;2025-01-02T09:29:29.000;28;;;0
2025-01-02T16:44:29.000;2025-01-02T09:44:29.000;31.5;;;0
2025-01-02T16:59:29.000;2025-01-02T09:59:29.000;34.4;;;0
2025-01-02T17:14:29.000;2025-01-02T10:14:29.000;35.7;;;0
2025-01-02T17:29:29.000;2025-01-02T10:29:29.000;34.1;;;0
2025-01-02T17:44:29.000;2025-01-02T10:44:29.000;32.8;;;0
2025-01-02T17:59:29.000;2025-01-02T10:59:29.000;31.9;;;0
2025-01-02T18:14:29.000;2025-01-02T11:14:29.000;31.5;;;0
2025-01-02T18:29:29.000;2025-01-02T11:29:29.000;31.9;;;0
2025-01-02T18:44:29.000;2025-01-02T11:44:29.000;32.2;;;0
2025-01-02T18:59:29.000;2025-01-02T11:59:29.000;32.8;;;0
2025-01-02T19:14:30.000;2025-01-02T12:14:30.000;33.5;;;0
2025-01-02T19:29:30.000;2025-01-02T12:29:30.000;34.1;;;0
2025-01-02T19:44:30.000;2025-01-02T12:44:30.000;35.1;;;0
2025-01-02T19:59:30.000;2025-01-02T12:59:30.000;35.7;;;0
2025-01-02T20:14:30.000;2025-01-02T13:14:30.000;36.4;;;0
2025-01-02T20:29:30.000;2025-01-02T13:29:30.000;38.3;;;0
2025-01-02T20:44:30.000;2025-01-02T13:44:30.000;41.2;;;0
2025-01-02T20:59:30.000;2025-01-02T13:59:30.000;42.8;;;0
2025-01-02T21:14:29.000;2025-01-02T14:14:29.000;44.1;;;0
2025-01-02T21:29:30.000;2025-01-02T14:29:30.000;44.1;;;0
2025-01-02T21:44:30.000;2025-01-02T14:44:30.000;44.4;;;0
2025-01-02T21:59:30.000;2025-01-02T14:59:30.000;44.1;;;0
2025-01-02T22:14:30.000;2025-01-02T15:14:30.000;44.1;;;0
2025-01-02T22:29:30.000;2025-01-02T15:29:30.000;43.8;;;0
2025-01-02T22:44:30.000;2025-01-02T15:44:30.000;43.1;;;0
2025-01-02T22:59:30.000;2025-01-02T15:59:30.000;42.5;;;0
2025-01-02T23:14:30.000;2025-01-02T16:14:30.000;42.2;;;0
2025-01-02T23:29:30.000;2025-01-02T16:29:30.000;41.5;;;0
2025-01-02T23:44:30.000;2025-01-02T16:44:30.000;40.6;;;0
2025-01-02T23:59:30.000;2025-01-02T16:59:30.000;39.9;;;0
2025-01-03T00:14:30.000;2025-01-02T17:14:30.000;39.3;;;6.45
2025-01-03T00:29:30.000;2025-01-02T17:29:30.000;38.3;;;7.65
2025-01-03T00:44:30.000;2025-01-02T17:44:30.000;36.7;;;10.13
2025-01-03T00:59:30.000;2025-01-02T17:59:30.000;35.4;;;13.92
2025-01-03T01:14:30.000;2025-01-02T18:14:30.000;34.4;;;17.23
2025-01-03T01:29:30.000;2025-01-02T18:29:30.000;33.8;;;18.78
2025-01-03T01:44:30.000;2025-01-02T18:44:30.000;32.8;;;19.02
2025-01-03T01:59:30.000;2025-01-02T18:59:30.000;32.5;;;19.04
2025-01-03T02:14:30.000;2025-01-02T19:14:30.000;31.9;;;19.04
2025-01-03T02:29:30.000;2025-01-02T19:29:30.000;31.2;;;19.04
2025-01-03T02:44:30.000;2025-01-02T19:44:30.000;30.2;;;19.05
2025-01-03T02:59:30.000;2025-01-02T19:59:30.000;30.2;;;19.05
2025-01-03T03:14:30.000;2025-01-02T20:14:30.000;29.6;;;19.07
2025-01-03T03:29:30.000;2025-01-02T20:29:30.000;29;;;19.08
2025-01-03T03:44:30.000;2025-01-02T20:44:30.000;28.3;;;19.09
2025-01-03T03:59:30.000;2025-01-02T20:59:30.000;27.7;;;19.1
2025-01-03T04:14:30.000;2025-01-02T21:14:30.000;27.3;;;19.12
2025-01-03T04:29:30.000;2025-01-02T21:29:30.000;27.3;;;19.13
2025-01-03T04:44:30.000;2025-01-02T21:44:30.000;27.3;;;19.13
2025-01-03T04:59:30.000;2025-01-02T21:59:30.000;27;;;19.14
