# Community Standard Skyglow Data Format 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE/LU
# Instrument ID: DSN036
# Data supplier: 
# Location name: Cresta Loma
# Position (lat, lon, elev(m)): +32.3031, -11.9859, +740
# Local timezone: America/Phoenix
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0, 0
# Field of view (degrees): 20
# Number of fields per line: 6
# SQM serial number: 7141
# SQM firmware version: 
# SQM cover offset value: 0
# SQM readout test ix: 
# SQM readout test rx: 
# SQM readout test cx: 
# Comment: Data acquired by NightWatcher2
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-07-19T03:25:25.000;2026-07-18T20:25:25.000;46.4;;;17.37
2026-07-19T03:45:42.000;2026-07-18T20:45:42.000;46.4;;;16.75
2026-07-19T03:50:42.000;2026-07-18T20:50:42.000;46.0;;;16.48
2026-07-19T03:55:43.000;2026-07-18T20:55:43.000;46.0;;;16.6
2026-07-19T04:00:43.000;2026-07-18T21:00:43.000;46.0;;;16.67
2026-07-19T04:05:43.000;2026-07-18T21:05:43.000;46.0;;;16.94
2026-07-19T04:10:43.000;2026-07-18T21:10:43.000;46.0;;;17.51
2026-07-19T04:15:43.000;2026-07-18T21:15:43.000;46.0;;;17.24
2026-07-19T04:20:43.000;2026-07-18T21:20:43.000;46.0;;;17.56
2026-07-19T04:25:43.000;2026-07-18T21:25:43.000;45.7;;;17.21
2026-07-19T04:30:43.000;2026-07-18T21:30:43.000;45.7;;;17.11
2026-07-19T04:35:43.000;2026-07-18T21:35:43.000;45.7;;;17.14
2026-07-19T04:40:43.000;2026-07-18T21:40:43.000;45.7;;;17.08
2026-07-19T04:45:43.000;2026-07-18T21:45:43.000;45.7;;;16.91
