# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: DSN039-S
# Data supplier: Santa Rita Experimental Range
# Location name: USA-Arizona-SRER-DSN039
# Position (lat, lon, elev(m)): 31.9107, -110.8355, 997
# Local timezone: US/Arizona
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0,0
# Field of view (degrees): 40
# Number of fields per line: 6
# SQM serial number: 7833
# SQM hardware identity: 
# SQM firmware version: 4-3-84
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000084,00007833
# SQM readout test rx: r, 00.00m,0000543140Hz,0000000000c,0000000.000s, 044.1C
# SQM readout test cx: c,00000019.97m,0000052.877s, 028.0C,00000008.71m, 040.2C
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# blank line 31
# blank line 32
# blank line 33
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2026-05-18T02:08:00.077;2026-05-17T19:08:00.077;40.9;0;194689;6.75
2026-05-18T02:13:00.076;2026-05-17T19:13:00.076;40.2;0;123495;7.25
2026-05-18T02:18:00.106;2026-05-17T19:18:00.106;39.9;0;69325;7.88
2026-05-18T02:23:00.077;2026-05-17T19:23:00.077;39.3;0;33721;8.66
2026-05-18T02:28:00.072;2026-05-17T19:28:00.072;39.0;0;13505;9.65
2026-05-18T02:33:00.102;2026-05-17T19:33:00.102;38.6;0;4590;10.82
2026-05-18T02:38:00.072;2026-05-17T19:38:00.072;38.3;0;1584;11.97
2026-05-18T02:43:00.074;2026-05-17T19:43:00.074;38.0;0;509;13.21
2026-05-18T02:48:00.110;2026-05-17T19:48:00.110;37.7;0;158;14.48
2026-05-18T02:53:00.083;2026-05-17T19:53:00.083;37.3;8448;54;15.63
2026-05-18T02:58:00.113;2026-05-17T19:58:00.113;37.3;21072;22;16.62
2026-05-18T03:03:00.082;2026-05-17T20:03:00.082;37.0;47894;9;17.52
2026-05-18T03:08:00.079;2026-05-17T20:08:00.079;37.0;105109;4;18.37
2026-05-18T03:13:00.106;2026-05-17T20:13:00.106;36.7;213561;2;19.15
2026-05-18T03:18:00.080;2026-05-17T20:18:00.080;36.4;390537;1;19.82
2026-05-18T03:23:00.076;2026-05-17T20:23:00.076;36.4;622440;1;20.35
2026-05-18T03:28:00.110;2026-05-17T20:28:00.110;36.4;836877;1;20.69
2026-05-18T03:33:00.075;2026-05-17T20:33:00.075;36.0;1004136;0;20.90
2026-05-18T03:38:00.080;2026-05-17T20:38:00.080;36.0;1084996;0;20.99
2026-05-18T03:43:00.111;2026-05-17T20:43:00.111;36.0;1131309;1;21.04
2026-05-18T03:48:00.077;2026-05-17T20:48:00.077;36.0;1157467;0;21.07
2026-05-18T03:53:00.085;2026-05-17T20:53:00.085;35.7;1174059;0;21.09
2026-05-18T03:58:00.108;2026-05-17T20:58:00.108;35.7;1191208;0;21.10
2026-05-18T04:03:00.082;2026-05-17T21:03:00.082;35.7;1200761;0;21.11
2026-05-18T04:08:00.079;2026-05-17T21:08:00.079;35.4;1208307;0;21.12
2026-05-18T04:13:00.113;2026-05-17T21:13:00.113;35.4;1205988;1;21.12
2026-05-18T04:18:00.078;2026-05-17T21:18:00.078;35.4;1214157;0;21.13
2026-05-18T04:23:00.081;2026-05-17T21:23:00.081;35.1;1225155;0;21.14
2026-05-18T04:28:00.108;2026-05-17T21:28:00.108;35.1;1246843;0;21.16
2026-05-18T04:33:00.079;2026-05-17T21:33:00.079;35.1;1256569;0;21.17
2026-05-18T04:38:00.112;2026-05-17T21:38:00.112;35.1;1285292;0;21.19
2026-05-18T04:43:00.077;2026-05-17T21:43:00.077;35.1;1264315;1;21.18
2026-05-18T04:48:00.079;2026-05-17T21:48:00.079;34.8;1263846;0;21.17
2026-05-18T04:53:00.113;2026-05-17T21:53:00.113;34.8;1296939;1;21.20
2026-05-18T04:58:00.075;2026-05-17T21:58:00.075;34.8;1263759;0;21.17
2026-05-18T05:03:00.084;2026-05-17T22:03:00.084;34.8;1266735;0;21.17
2026-05-18T05:08:00.111;2026-05-17T22:08:00.111;34.8;1266632;0;21.17
2026-05-18T05:13:00.084;2026-05-17T22:13:00.084;34.4;1266113;1;21.17
2026-05-18T05:18:00.081;2026-05-17T22:18:00.081;34.4;1284261;1;21.19
2026-05-18T05:23:00.105;2026-05-17T22:23:00.105;34.4;1289201;0;21.20
2026-05-18T05:28:00.081;2026-05-17T22:28:00.081;34.4;1285510;0;21.19
2026-05-18T05:33:00.075;2026-05-17T22:33:00.075;34.4;1297972;0;21.21
2026-05-18T05:38:00.112;2026-05-17T22:38:00.112;34.4;1309291;0;21.21
2026-05-18T05:43:00.077;2026-05-17T22:43:00.077;34.4;1299478;1;21.21
2026-05-18T05:48:00.078;2026-05-17T22:48:00.078;34.4;1293296;0;21.20
2026-05-18T05:53:00.109;2026-05-17T22:53:00.109;34.4;1287557;0;21.19
2026-05-18T05:58:00.082;2026-05-17T22:58:00.082;34.4;1285887;0;21.19
2026-05-18T06:03:00.110;2026-05-17T23:03:00.110;34.1;1288551;0;21.20
2026-05-18T06:08:00.076;2026-05-17T23:08:00.076;34.1;1289880;0;21.20
2026-05-18T06:13:00.081;2026-05-17T23:13:00.081;34.1;1296388;0;21.21
2026-05-18T06:18:00.110;2026-05-17T23:18:00.110;34.1;1307736;0;21.21
2026-05-18T06:23:00.081;2026-05-17T23:23:00.081;34.1;1304813;0;21.21
2026-05-18T06:28:00.082;2026-05-17T23:28:00.082;33.8;1310408;0;21.21
2026-05-18T06:33:00.106;2026-05-17T23:33:00.106;33.8;1315553;0;21.22
2026-05-18T06:38:00.075;2026-05-17T23:38:00.075;33.8;1318718;0;21.22
2026-05-18T06:43:00.076;2026-05-17T23:43:00.076;33.8;1313894;0;21.22
2026-05-18T06:48:00.114;2026-05-17T23:48:00.114;33.8;1308046;0;21.21
2026-05-18T06:53:00.080;2026-05-17T23:53:00.080;33.8;1304273;0;21.21
2026-05-18T06:58:00.079;2026-05-17T23:58:00.079;33.8;1304076;0;21.21
2026-05-18T07:03:00.108;2026-05-18T00:03:00.108;33.8;1299010;0;21.21
2026-05-18T07:08:00.083;2026-05-18T00:08:00.083;33.5;1299642;1;21.20
2026-05-18T07:13:00.078;2026-05-18T00:13:00.078;33.5;1306646;0;21.22
2026-05-18T07:18:00.110;2026-05-18T00:18:00.110;33.5;1305368;1;21.21
2026-05-18T07:23:00.081;2026-05-18T00:23:00.081;33.5;1317384;0;21.22
2026-05-18T07:28:00.109;2026-05-18T00:28:00.109;33.1;1299194;1;21.21
2026-05-18T07:33:00.078;2026-05-18T00:33:00.078;33.1;1328542;1;21.24
2026-05-18T07:38:00.080;2026-05-18T00:38:00.080;33.1;1326932;0;21.23
2026-05-18T07:43:00.106;2026-05-18T00:43:00.106;33.1;1327155;1;21.24
2026-05-18T07:48:00.077;2026-05-18T00:48:00.077;33.1;1338038;0;21.24
2026-05-18T07:53:00.078;2026-05-18T00:53:00.078;33.1;1327007;0;21.23
2026-05-18T07:58:00.104;2026-05-18T00:58:00.104;32.8;1330339;0;21.24
2026-05-18T08:03:00.083;2026-05-18T01:03:00.083;32.8;1324926;1;21.23
2026-05-18T08:08:00.075;2026-05-18T01:08:00.075;32.8;1327054;0;21.23
2026-05-18T08:13:00.105;2026-05-18T01:13:00.105;32.8;1329022;0;21.24
2026-05-18T08:18:00.076;2026-05-18T01:18:00.076;32.8;1332582;0;21.24
2026-05-18T08:23:00.075;2026-05-18T01:23:00.075;32.8;1332347;0;21.24
2026-05-18T08:28:00.109;2026-05-18T01:28:00.109;32.5;1328284;0;21.24
2026-05-18T08:33:00.085;2026-05-18T01:33:00.085;32.5;1321001;1;21.23
2026-05-18T08:38:00.081;2026-05-18T01:38:00.081;32.5;1318075;0;21.22
2026-05-18T08:43:00.111;2026-05-18T01:43:00.111;32.5;1317826;0;21.22
2026-05-18T08:48:00.082;2026-05-18T01:48:00.082;32.5;1317334;0;21.22
2026-05-18T08:53:00.083;2026-05-18T01:53:00.083;32.5;1312403;0;21.22
2026-05-18T08:58:00.110;2026-05-18T01:58:00.110;32.2;1302643;0;21.21
