UTC,SQM,lum,chisquared,moonalt,LST,sunalt
2025-01-01T07:00:00Z,21.51,0.04124,2e-05,-68.09,6.45323,-79.826
2025-01-01T07:05:00Z,21.51,0.04124,1e-05,-69.06,6.53679,-80.285
2025-01-01T07:10:00Z,21.5,0.04163,2e-05,-70.03,6.62036,-80.634
2025-01-01T07:15:00Z,21.5,0.04163,2e-05,-70.99,6.70392,-80.863
2025-01-01T07:20:00Z,21.5,0.04163,2e-05,-71.95,6.78748,-80.96
2025-01-01T07:25:00Z,21.51,0.04124,2e-05,-72.89,6.87104,-80.923
2025-01-01T07:30:00Z,21.51,0.04124,2e-05,-73.83,6.9546,-80.753
2025-01-01T07:35:00Z,21.52,0.04087,1e-05,-74.75,7.03816,-80.457
2025-01-01T07:40:00Z,21.52,0.04087,1e-05,-75.66,7.12172,-80.046
2025-01-01T07:45:00Z,21.53,0.04049,1e-05,-76.55,7.20529,-79.534
2025-01-01T07:50:00Z,21.54,0.04012,1e-05,-77.42,7.28885,-78.934
2025-01-01T07:55:00Z,21.55,0.03975,1e-05,-78.26,7.37241,-78.261
2025-01-01T08:00:00Z,21.56,0.03939,1e-05,-79.06,7.45597,-77.526
2025-01-01T08:05:00Z,21.57,0.03903,6e-05,-79.82,7.53953,-76.74
2025-01-01T08:10:00Z,21.59,0.03831,5e-05,-80.53,7.62309,-75.911
2025-01-01T08:15:00Z,21.61,0.03762,5e-05,-81.18,7.70666,-75.047
2025-01-01T08:20:00Z,21.64,0.03659,5e-05,-81.74,7.79022,-74.153
2025-01-01T08:25:00Z,21.65,0.03625,0.00016,-82.21,7.87378,-73.234
2025-01-01T08:30:00Z,21.67,0.03559,2e-05,-82.56,7.95734,-72.294
2025-01-01T08:35:00Z,21.67,0.03559,0.00038,-82.77,8.0409,-71.336
2025-01-01T08:40:00Z,21.67,0.03559,0.00013,-82.84,8.12446,-70.364
2025-01-01T08:45:00Z,21.69,0.03494,0.00018,-82.76,8.20802,-69.379
2025-01-01T08:50:00Z,21.72,0.03399,1e-05,-82.53,8.29159,-68.383
2025-01-01T08:55:00Z,21.71,0.03431,0.00252,-82.17,8.37515,-67.377
2025-01-01T09:00:00Z,21.7,0.03462,0.00249,-81.7,8.45871,-66.364
2025-01-01T09:05:00Z,21.69,0.03494,0.00208,-81.12,8.54227,-65.343
2025-01-01T09:10:00Z,21.68,0.03527,0.00082,-80.47,8.62583,-64.317
2025-01-01T09:15:00Z,21.68,0.03527,0.00033,-79.75,8.70939,-63.285
2025-01-01T09:20:00Z,21.68,0.03527,0.00039,-78.99,8.79295,-62.249
2025-01-01T09:25:00Z,21.67,0.03559,0.00036,-78.18,8.87652,-61.209
2025-01-01T09:30:00Z,21.66,0.03592,0.00046,-77.33,8.96008,-60.165
2025-01-01T09:35:00Z,21.67,0.03559,0.00044,-76.46,9.04364,-59.118
2025-01-01T09:40:00Z,21.67,0.03559,0.00042,-75.57,9.1272,-58.069
2025-01-01T09:45:00Z,21.67,0.03559,0.0006,-74.66,9.21076,-57.018
2025-01-01T09:50:00Z,21.68,0.03527,0.00076,-73.73,9.29432,-55.965
2025-01-01T09:55:00Z,21.68,0.03527,0.00053,-72.79,9.37789,-54.91
2025-01-01T10:00:00Z,21.68,0.03527,0.00101,-71.84,9.46145,-53.854
2025-01-01T10:05:00Z,21.7,0.03462,0.00174,-70.88,9.54501,-52.797
2025-01-01T10:10:00Z,21.72,0.03399,0.0021,-69.91,9.62857,-51.739
