# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-NOIRLab_hq
# Data supplier: Wilson Liu / NOIRLab
# Location name: NOIRLab HQ/Tucson/Arizona/USA
# Position: 32.233586, -110.946975, 806
# Local timezone: UTC-7
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 6494
# SQM firmware version: 80
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000080,00006494
# SQM readout test rx: r, 18.14m,0000000005Hz,0000090233c,0000000.196s, 027.3C
# SQM readout test cx: c,00000019.90m,0000300.000s, 021.2C,00000008.71m, 025.1C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-01-30T04:27:00.000;2024-01-29T21:27:00.000;27.30;90223.000;5.102;18.140
2024-01-30T04:34:00.000;2024-01-29T21:34:00.000;27.10;90852.334;5.072;18.140
2024-01-30T04:37:00.000;2024-01-29T21:37:00.000;27.00;90460.818;5.093;18.140
2024-01-30T04:42:00.000;2024-01-29T21:42:00.000;27.00;90200.633;5.105;18.139
2024-01-30T04:47:00.000;2024-01-29T21:47:00.000;26.81;89797.303;5.129;18.123
2024-01-30T04:52:00.000;2024-01-29T21:52:00.000;26.70;89137.833;5.165;18.109
2024-01-30T04:57:00.000;2024-01-29T21:57:00.000;26.70;88667.300;5.193;18.105
2024-01-30T05:02:00.000;2024-01-29T22:02:00.000;26.42;92665.567;4.971;18.155
2024-01-30T05:07:00.000;2024-01-29T22:07:00.000;26.40;92315.667;4.992;18.151
2024-01-30T05:12:00.000;2024-01-29T22:12:00.000;26.14;91694.600;5.026;18.145
2024-01-30T05:17:00.000;2024-01-29T22:17:00.000;26.06;92270.834;4.993;18.152
2024-01-30T05:22:00.000;2024-01-29T22:22:00.000;25.72;91820.909;5.017;18.146
2024-01-30T05:25:00.000;2024-01-29T22:25:00.000;25.70;91760.833;5.025;18.146
2024-01-30T05:34:00.000;2024-01-29T22:34:00.000;25.40;91303.667;5.045;18.142
2024-01-30T05:37:00.000;2024-01-29T22:37:00.000;25.40;90984.000;5.059;18.131
2024-01-30T05:42:00.000;2024-01-29T22:42:00.000;25.28;90729.303;5.078;18.130
2024-01-30T05:47:00.000;2024-01-29T22:47:00.000;25.10;90577.000;5.087;18.130
2024-01-30T05:52:00.000;2024-01-29T22:52:00.000;25.10;90562.636;5.088;18.130
2024-01-30T05:57:00.000;2024-01-29T22:57:00.000;24.92;90589.633;5.087;18.130
2024-01-30T06:02:00.000;2024-01-29T23:02:00.000;24.80;90898.100;5.068;18.131
2024-01-30T06:07:00.000;2024-01-29T23:07:00.000;24.80;90675.061;5.083;18.130
2024-01-30T06:12:00.000;2024-01-29T23:12:00.000;24.55;90980.667;5.066;18.137
2024-01-30T06:17:00.000;2024-01-29T23:17:00.000;24.61;91136.733;5.053;18.138
