# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars1414
# Data supplier: None / None
# Location name: Vatican Advanced Technology Telescope / Safford / Arizona / Arizona / United States 
# Position: 32.7013, -109.892, None
# Local timezone: America/Phoenix
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: UV/IR-740
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: D0:EF:76:11:23:98
# TESS firmware version: Oct 17 2024 v4.32
# TESS cover offset value: 0.0
# TESS zero point: 20.34
# Comment:  
# Comment:
# Comment: Current Zero Point valid since 2026-08-20 23:56:12.000000, Previous Zero Point (20.5) only valid until 2026-08-20 23:56:12.000000
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2026-08-19T19:33:39.000;2026-08-19T12:33:39.000;29.39;27.34;479.45;13.8;20.5;3
2026-08-19T19:34:43.000;2026-08-19T12:34:43.000;29.51;27.39;493.03;13.77;20.5;4
2026-08-19T19:35:43.000;2026-08-19T12:35:43.000;29.62;27.45;481.35;13.79;20.5;5
2026-08-20T23:44:42.000;2026-08-20T16:44:42.000;28.42;27.87;643.62;13.48;20.5;3
2026-08-20T23:45:43.000;2026-08-20T16:45:43.000;28.71;27.94;689.04;13.4;20.5;4
2026-08-20T23:46:42.000;2026-08-20T16:46:42.000;28.95;28.03;746.77;13.32;20.5;5
2026-08-20T23:47:43.000;2026-08-20T16:47:43.000;29.14;28.09;819.93;13.22;20.5;6
2026-08-20T23:48:43.000;2026-08-20T16:48:43.000;29.32;28.22;844.2;13.18;20.5;7
2026-08-20T23:57:22.000;2026-08-20T16:57:22.000;30.39;28.76;680.85;13.26;20.34;3
2026-08-20T23:58:24.000;2026-08-20T16:58:24.000;30.48;28.8;650.91;13.31;20.34;4
2026-08-20T23:59:24.000;2026-08-20T16:59:24.000;30.53;28.84;586.88;13.42;20.34;5
2026-08-21T00:00:24.000;2026-08-20T17:00:24.000;30.58;28.87;511.0;13.57;20.34;6
2026-08-21T00:01:24.000;2026-08-20T17:01:24.000;30.66;28.91;524.97;13.54;20.34;7
2026-08-21T00:02:24.000;2026-08-20T17:02:24.000;30.7;28.94;552.74;13.48;20.34;8
2026-08-21T00:03:25.000;2026-08-20T17:03:25.000;30.72;28.95;586.93;13.42;20.34;9
2026-08-21T00:04:25.000;2026-08-20T17:04:25.000;30.75;28.94;668.76;13.28;20.34;10
2026-08-21T00:05:25.000;2026-08-20T17:05:25.000;30.76;28.96;740.39;13.17;20.34;11
2026-08-21T00:06:26.000;2026-08-20T17:06:26.000;30.76;28.95;783.52;13.1;20.34;12
2026-08-21T00:07:25.000;2026-08-20T17:07:25.000;30.78;28.99;773.97;13.12;20.34;13
2026-08-21T00:08:25.000;2026-08-20T17:08:25.000;30.78;29.0;775.82;13.12;20.34;14
2026-08-21T19:28:08.000;2026-08-21T12:28:08.000;60.93;25.5;1799.02;12.2;20.34;1
