# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 39
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R1
# Instrument ID: AK06E3Y4
# Data supplier: Catalina Sky Survey
# Location name: USA-Arizona-Tucson-MountLemmon
# Position (lat, lon, elev(m)): 32.442653, -110.788589, 2788
# Local timezone: America/Phoenix
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 4387
# SQM hardware identity: AK06E3Y4
# SQM firmware version: 4-6-76
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000076,00004387
# SQM readout test rx (Reading): r, 00.00m,0000580854Hz,0000000000c,0000000.000s, 010.3C
# SQM readout test cx (Calibration): c,00000019.82m,0000245.082s, 022.5C,00000008.71m, 019.6C
# DL time difference (seconds): 109
# DL retrieved at (UTC): 2024-01-14T22:40:41.297
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.329
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-01-01T00:45:05.000;2023-12-31T17:45:05.000;-1.3;5.08;10.25;1
2024-01-01T00:50:05.000;2023-12-31T17:50:05.000;-1.7;5.08;11.36;1
2024-01-01T00:55:05.000;2023-12-31T17:55:05.000;-1.7;5.08;12.56;1
2024-01-01T01:00:05.000;2023-12-31T18:00:05.000;-1.7;5.08;13.78;1
2024-01-01T01:05:05.000;2023-12-31T18:05:05.000;-1.7;5.06;15.26;1
2024-01-01T01:10:05.000;2023-12-31T18:10:05.000;-1.7;5.06;16.14;1
2024-01-01T01:15:05.000;2023-12-31T18:15:05.000;-1.3;5.06;17.53;1
2024-01-01T01:20:05.000;2023-12-31T18:20:05.000;-1.3;5.06;18.46;1
2024-01-01T01:25:05.000;2023-12-31T18:25:05.000;-1.3;5.05;19.28;1
2024-01-01T01:30:05.000;2023-12-31T18:30:05.000;-1.3;5.05;19.94;1
2024-01-01T01:35:05.000;2023-12-31T18:35:05.000;-1.3;5.05;20.34;1
2024-01-01T01:40:05.000;2023-12-31T18:40:05.000;-1.3;5.05;20.65;1
2024-01-01T01:45:05.000;2023-12-31T18:45:05.000;-1.3;5.05;20.76;1
2024-01-01T01:50:06.000;2023-12-31T18:50:06.000;-1.3;5.05;20.82;1
2024-01-01T01:55:06.000;2023-12-31T18:55:06.000;-1.3;5.05;20.85;1
2024-01-01T02:00:06.000;2023-12-31T19:00:06.000;-1.3;5.05;20.86;1
