# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN021-S
# Data supplier: DarkSky SoAZ
# Location name: VATT
# Position (lat, lon, elev(m)): 32.7013, -109.892, 3178
# Local timezone: EST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7456
# SQM hardware identity: B003LOYY
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007456
# SQM readout test rx (Reading): r, 12.34m,0000001118Hz,0000000000c,0000000.000s, 022.2C
# SQM readout test cx (Calibration): c,00000019.95m,0000165.638s, 013.2C,00000008.71m, 014.1C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): 37
# DL retrieved at (UTC): 2025-06-01T23:14:09.505
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-04-27T07:42:14.000;2025-04-27T02:42:14.000;20.3;4.59;17.61;0
2025-04-27T07:45:05.000;2025-04-27T02:45:05.000;19.6;4.57;17.30;1
2025-04-27T07:50:08.000;2025-04-27T02:50:08.000;19.6;4.57;20.99;1
2025-04-27T07:55:07.000;2025-04-27T02:55:07.000;19.3;4.57;20.95;1
2025-04-27T08:00:06.000;2025-04-27T03:00:06.000;19.0;4.59;20.91;1
2025-04-27T08:05:06.000;2025-04-27T03:05:06.000;19.0;4.59;20.74;1
2025-04-27T08:10:07.000;2025-04-27T03:10:07.000;19.0;4.57;21.00;1
2025-04-27T08:15:06.000;2025-04-27T03:15:06.000;18.6;4.59;20.80;1
2025-04-27T08:20:05.000;2025-04-27T03:20:05.000;18.6;4.59;20.80;1
2025-04-27T08:25:06.000;2025-04-27T03:25:06.000;18.6;4.59;20.91;1
2025-04-27T08:30:06.000;2025-04-27T03:30:06.000;18.6;4.57;20.84;1
2025-04-27T08:35:06.000;2025-04-27T03:35:06.000;18.6;4.57;20.82;1
2025-04-27T08:40:06.000;2025-04-27T03:40:06.000;18.6;4.57;20.74;1
2025-04-27T08:45:06.000;2025-04-27T03:45:06.000;18.3;4.57;20.85;1
2025-04-27T08:50:05.000;2025-04-27T03:50:05.000;18.3;4.57;20.63;1
2025-04-27T08:55:06.000;2025-04-27T03:55:06.000;18.3;4.57;20.81;1
2025-04-27T09:00:07.000;2025-04-27T04:00:07.000;18.3;4.57;20.94;1
2025-04-27T09:05:07.000;2025-04-27T04:05:07.000;18.3;4.57;20.94;1
2025-04-27T09:10:07.000;2025-04-27T04:10:07.000;18.3;4.57;20.91;1
2025-04-27T09:15:07.000;2025-04-27T04:15:07.000;18.3;4.57;20.96;1
2025-04-27T09:20:06.000;2025-04-27T04:20:06.000;18.3;4.57;20.88;1
2025-04-27T09:25:06.000;2025-04-27T04:25:06.000;18.3;4.57;20.72;1
2025-04-27T09:30:05.000;2025-04-27T04:30:05.000;18.3;4.57;20.76;1
2025-04-27T09:35:05.000;2025-04-27T04:35:05.000;18.3;4.57;20.66;1
2025-04-27T09:40:05.000;2025-04-27T04:40:05.000;18.3;4.57;20.61;1
2025-04-27T09:45:05.000;2025-04-27T04:45:05.000;18.3;4.59;20.73;1
2025-04-27T09:50:06.000;2025-04-27T04:50:06.000;18.0;4.57;20.87;1
2025-04-27T09:55:05.000;2025-04-27T04:55:05.000;18.3;4.57;20.83;1
2025-04-27T10:00:05.000;2025-04-27T05:00:05.000;18.3;4.59;20.77;1
2025-04-27T10:05:05.000;2025-04-27T05:05:05.000;18.0;4.57;20.72;1
2025-04-27T10:10:06.000;2025-04-27T05:10:06.000;18.0;4.57;20.82;1
2025-04-27T10:15:06.000;2025-04-27T05:15:06.000;18.0;4.57;20.87;1
2025-04-27T10:20:05.000;2025-04-27T05:20:05.000;18.0;4.57;20.70;1
2025-04-27T10:25:06.000;2025-04-27T05:25:06.000;18.0;4.57;20.87;1
2025-04-27T10:30:05.000;2025-04-27T05:30:05.000;18.0;4.57;20.73;1
2025-04-27T10:35:05.000;2025-04-27T05:35:05.000;18.0;4.59;20.76;1
2025-04-27T10:40:06.000;2025-04-27T05:40:06.000;18.0;4.57;20.82;1
2025-04-27T10:45:05.000;2025-04-27T05:45:05.000;17.7;4.57;20.80;1
2025-04-27T10:50:05.000;2025-04-27T05:50:05.000;17.7;4.57;20.76;1
2025-04-27T10:55:05.000;2025-04-27T05:55:05.000;17.7;4.57;20.72;1
2025-04-27T11:00:06.000;2025-04-27T06:00:06.000;17.7;4.57;20.83;1
2025-04-27T11:05:05.000;2025-04-27T06:05:05.000;17.7;4.57;20.78;1
2025-04-27T11:10:06.000;2025-04-27T06:10:06.000;18.0;4.57;20.79;1
2025-04-27T11:15:05.000;2025-04-27T06:15:05.000;17.7;4.57;17.21;1
2025-04-27T11:21:00.000;2025-04-27T06:21:00.000;18.3;4.57;17.21;1
2025-04-27T11:26:00.000;2025-04-27T06:26:00.000;18.3;4.57;17.21;1
2025-04-27T11:31:00.000;2025-04-27T06:31:00.000;18.3;4.57;17.21;1
2025-04-27T11:36:00.000;2025-04-27T06:36:00.000;18.3;4.57;17.21;1
2025-04-27T11:41:00.000;2025-04-27T06:41:00.000;18.3;4.57;17.21;1
2025-04-27T11:46:00.000;2025-04-27T06:46:00.000;18.3;4.57;17.21;1
2025-04-27T11:56:00.000;2025-04-27T06:56:00.000;18.3;4.57;23.69;1
2025-04-27T12:00:34.000;2025-04-27T07:00:34.000;18.0;4.57;22.72;1
2025-04-27T12:05:11.000;2025-04-27T07:05:11.000;18.0;4.57;21.72;1
2025-04-27T12:10:05.000;2025-04-27T07:10:05.000;17.4;4.57;20.60;1
2025-04-27T12:15:05.000;2025-04-27T07:15:05.000;17.7;4.57;19.40;1
2025-04-27T12:20:05.000;2025-04-27T07:20:05.000;17.4;4.57;18.21;1
2025-04-27T12:25:05.000;2025-04-27T07:25:05.000;17.4;4.57;16.99;1
