# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: DSN021-S
# Data supplier: DarkSky SoAZ
# Location name: VATT
# Position (lat, lon, elev(m)): 32.7013, -109.892, 3178
# Local timezone: MST
# Time Synchronization: GPS
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0
# Field of view (degrees): 20
# Number of fields per line: 5
# SQM serial number: 7456
# SQM hardware identity: 003LOYY
# SQM firmware version: 4-6-84
# SQM cover offset value: -0.11
# SQM readout test ix (Information): i,00000004,00000006,00000084,00007456
# SQM readout test rx (Reading): r, 09.16m,0000020936Hz,0000000000c,0000000.000s, 021.5C
# SQM readout test cx (Calibration): c,00000019.95m,0000165.638s, 013.2C,00000008.71m, 014.1C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000007.00m,00000007.00m
# DL time difference (seconds): 0
# DL retrieved at (UTC): 2025-06-12T22:50:19.576
# DL trigger mode : Every 5 minutes on the 1/12th hour
# DL trigger seconds : 0
# DL trigger minutes : 255
# DL trigger threshold : 7
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.365
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-06-11T17:37:27.000;2025-06-11T10:37:27.000;22.5;4.64;8.03;0
2025-06-11T17:40:05.000;2025-06-11T10:40:05.000;21.9;4.64;8.06;1
2025-06-11T17:45:05.000;2025-06-11T10:45:05.000;22.2;4.64;8.09;1
2025-06-11T17:50:05.000;2025-06-11T10:50:05.000;22.5;4.64;8.12;1
2025-06-11T17:55:05.000;2025-06-11T10:55:05.000;21.9;4.64;8.14;1
2025-06-11T18:00:05.000;2025-06-11T11:00:05.000;21.9;4.64;8.16;1
2025-06-11T18:05:05.000;2025-06-11T11:05:05.000;21.9;4.64;8.18;1
2025-06-11T18:10:05.000;2025-06-11T11:10:05.000;21.9;4.64;8.20;1
2025-06-11T18:15:05.000;2025-06-11T11:15:05.000;21.9;4.64;8.21;1
2025-06-11T18:20:05.000;2025-06-11T11:20:05.000;22.2;4.64;8.22;1
2025-06-11T18:25:05.000;2025-06-11T11:25:05.000;22.2;4.64;8.24;1
2025-06-11T18:30:05.000;2025-06-11T11:30:05.000;21.9;4.64;8.25;1
2025-06-11T18:35:05.000;2025-06-11T11:35:05.000;21.9;4.64;8.26;1
2025-06-11T18:40:05.000;2025-06-11T11:40:05.000;21.9;4.64;8.27;1
2025-06-11T18:45:05.000;2025-06-11T11:45:05.000;21.9;4.64;8.29;1
2025-06-11T18:50:05.000;2025-06-11T11:50:05.000;21.9;4.64;8.30;1
2025-06-11T18:55:05.000;2025-06-11T11:55:05.000;21.9;4.63;8.31;1
2025-06-11T19:00:05.000;2025-06-11T12:00:05.000;21.5;4.64;8.33;1
2025-06-11T19:05:05.000;2025-06-11T12:05:05.000;21.9;4.63;8.33;1
