Local Time,SQM,Temp
2025-06-05T18:46:32.000,19.86,27.94
2025-06-05T18:48:25.000,19.88,27.83
2025-06-05T18:51:48.000,19.96,27.72
2025-06-05T18:56:53.000,20.14,27.56
2025-06-05T19:01:57.000,20.27,27.39
2025-06-05T19:07:01.000,20.70,27.11
2025-06-05T19:12:06.000,21.15,26.83
2025-06-05T19:17:10.000,21.89,26.56
2025-06-05T19:22:16.000,23.19,26.28
2025-06-05T19:27:20.000,23.91,26.00
2025-06-05T19:32:25.000,8.32,25.72
2025-06-05T19:37:31.000,9.21,25.44
2025-06-05T19:42:36.000,10.30,25.17
2025-06-05T19:47:40.000,11.52,24.94
2025-06-05T19:52:45.000,12.76,24.89
2025-06-05T19:57:50.000,13.59,24.72
2025-06-05T20:02:54.000,14.82,24.56
2025-06-05T20:08:00.000,15.92,24.39
2025-06-05T20:13:04.000,16.81,24.17
2025-06-05T20:18:08.000,17.48,24.06
2025-06-05T20:23:13.000,17.97,24.06
2025-06-05T20:28:17.000,18.28,24.00
2025-06-05T20:33:21.000,18.45,23.89
2025-06-05T20:38:26.000,18.55,23.83
2025-06-05T20:43:30.000,18.59,23.72
2025-06-05T20:48:35.000,18.61,23.56
2025-06-05T20:53:40.000,18.63,23.33
2025-06-05T20:58:45.000,18.64,23.28
2025-06-05T21:03:49.000,18.65,23.39
2025-06-05T21:08:55.000,18.67,23.44
2025-06-05T21:13:59.000,18.69,23.28
2025-06-05T21:19:04.000,18.71,23.00
2025-06-05T21:24:09.000,18.74,23.06
2025-06-05T21:29:13.000,18.76,23.11
2025-06-05T21:34:17.000,18.79,22.67
2025-06-05T21:39:22.000,18.83,22.39
2025-06-05T21:44:26.000,18.85,22.44
2025-06-05T21:49:30.000,18.88,22.50
2025-06-05T21:54:34.000,18.91,22.50
2025-06-05T21:59:39.000,18.95,22.56
2025-06-05T22:04:44.000,18.99,22.61
2025-06-05T22:09:49.000,19.03,22.56
2025-06-05T22:14:54.000,19.06,22.61
2025-06-05T22:19:58.000,19.10,22.72
2025-06-05T22:25:03.000,19.15,22.89
2025-06-05T22:30:08.000,19.18,22.89
2025-06-05T22:35:14.000,19.22,22.11
2025-06-05T22:40:18.000,19.26,21.17
2025-06-05T22:45:22.000,19.29,21.00
2025-06-05T22:50:27.000,19.33,20.17
2025-06-05T22:55:31.000,19.37,19.72
2025-06-05T23:00:36.000,19.41,20.33
2025-06-05T23:05:40.000,19.44,20.50
2025-06-05T23:10:44.000,19.48,20.22
2025-06-05T23:15:49.000,19.51,19.94
2025-06-05T23:20:55.000,19.55,20.22
2025-06-05T23:25:59.000,19.58,20.83
2025-06-05T23:31:04.000,19.61,21.06
2025-06-05T23:36:08.000,19.65,21.33
2025-06-05T23:41:14.000,19.67,21.50
2025-06-05T23:46:18.000,19.70,21.17
2025-06-05T23:51:24.000,19.73,20.11
2025-06-05T23:56:31.000,19.76,19.28
2025-06-06T00:01:35.000,19.78,19.50
2025-06-06T00:06:40.000,19.80,20.06
2025-06-06T00:11:45.000,19.83,20.50
2025-06-06T00:16:51.000,19.87,20.56
2025-06-06T00:21:56.000,19.89,20.83
2025-06-06T00:27:00.000,19.92,21.17
2025-06-06T00:32:05.000,19.95,21.11
2025-06-06T00:37:11.000,19.98,21.44
2025-06-06T00:42:16.000,20.01,21.56
2025-06-06T00:47:21.000,20.03,21.56
2025-06-06T00:52:25.000,20.05,21.67
2025-06-06T00:57:30.000,20.09,21.61
2025-06-06T01:02:34.000,20.12,21.22
2025-06-06T01:07:39.000,20.15,21.06
2025-06-06T01:12:43.000,20.18,20.50
2025-06-06T01:17:47.000,20.23,20.06
2025-06-06T01:22:51.000,20.28,19.94
2025-06-06T01:27:56.000,20.39,20.00
2025-06-06T01:33:00.000,20.46,20.44
2025-06-06T01:38:04.000,20.50,20.17
2025-06-06T01:43:09.000,20.55,20.00
2025-06-06T01:48:14.000,20.61,20.22
2025-06-06T01:53:18.000,20.67,20.50
2025-06-06T01:58:22.000,20.75,20.61
2025-06-06T02:03:27.000,20.83,20.50
2025-06-06T02:08:32.000,20.92,20.33
2025-06-06T02:13:36.000,21.00,20.22
2025-06-06T02:18:40.000,21.06,20.22
2025-06-06T02:23:44.000,21.12,20.39
2025-06-06T02:28:48.000,21.14,20.39
2025-06-06T02:33:53.000,21.16,20.17
2025-06-06T02:38:57.000,21.16,20.00
2025-06-06T02:44:02.000,21.16,19.94
2025-06-06T02:49:06.000,21.15,19.89
2025-06-06T02:54:10.000,21.16,19.89
2025-06-06T02:59:14.000,21.16,19.83
2025-06-06T03:04:19.000,21.13,19.89
2025-06-06T03:09:24.000,21.13,20.28
2025-06-06T03:14:28.000,21.13,20.44
2025-06-06T03:19:32.000,21.13,20.39
