#Local Time, SQM, Temp
2025-06-06T18:00:10.000, 19.37, 29.61 
2025-06-06T18:05:18.000, 19.41, 29.67 
2025-06-06T18:10:26.000, 19.46, 29.56 
2025-06-06T18:15:35.000, 19.50, 29.22 
2025-06-06T18:20:43.000, 19.53, 29.17 
2025-06-06T18:25:52.000, 19.53, 29.17 
2025-06-06T18:31:01.000, 19.65, 29.06 
2025-06-06T18:36:09.000, 19.75, 28.94 
2025-06-06T18:41:18.000, 19.78, 28.83 
2025-06-06T18:46:27.000, 19.79, 28.67 
2025-06-06T18:51:36.000, 19.87, 28.56 
2025-06-06T18:56:47.000, 20.03, 28.44 
2025-06-06T19:01:56.000, 20.18, 28.28 
2025-06-06T19:07:05.000, 20.50, 28.00 
2025-06-06T19:12:14.000, 20.85, 27.78 
2025-06-06T19:17:23.000, 21.53, 27.56 
2025-06-06T19:22:32.000, 22.62, 27.28 
2025-06-06T19:27:40.000, 23.74, 27.00 
2025-06-06T19:32:49.000, 8.11 , 26.72 
2025-06-06T19:37:59.000, 8.92 , 26.39 
2025-06-06T19:43:08.000, 9.94 , 26.06 
2025-06-06T19:48:17.000, 11.11, 25.94 
2025-06-06T19:53:26.000, 12.35, 25.78 
2025-06-06T19:58:37.000, 13.61, 25.67 
2025-06-06T20:03:47.000, 14.85, 25.61 
2025-06-06T20:08:55.000, 15.95, 25.56 
2025-06-06T20:14:05.000, 17.09, 25.39 
2025-06-06T20:19:14.000, 17.74, 25.22 
2025-06-06T20:24:23.000, 18.21, 25.06 
2025-06-06T20:29:32.000, 18.43, 25.06 
2025-06-06T20:34:41.000, 18.61, 24.94 
2025-06-06T20:39:50.000, 18.71, 24.83 
2025-06-06T20:44:59.000, 18.75, 24.56 
2025-06-06T20:50:08.000, 18.75, 24.28 
2025-06-06T20:55:17.000, 18.75, 24.11 
2025-06-06T21:00:26.000, 18.74, 23.78 
2025-06-06T21:05:37.000, 18.73, 23.56 
2025-06-06T21:10:46.000, 18.73, 23.50 
2025-06-06T21:15:54.000, 18.72, 23.44 
2025-06-06T21:21:03.000, 18.72, 23.56 
2025-06-06T21:26:12.000, 18.72, 23.61 
2025-06-06T21:31:21.000, 18.72, 23.44 
2025-06-06T21:36:29.000, 18.72, 23.00 
2025-06-06T21:41:38.000, 18.73, 22.89 
2025-06-06T21:46:47.000, 18.74, 22.83 
2025-06-06T21:51:56.000, 18.75, 22.72 
2025-06-06T21:57:05.000, 18.76, 22.50 
2025-06-06T22:02:14.000, 18.78, 22.00 
2025-06-06T22:07:24.000, 18.80, 21.89 
2025-06-06T22:12:34.000, 18.82, 22.22 
2025-06-06T22:17:43.000, 18.84, 22.50 
2025-06-06T22:22:52.000, 18.87, 22.61 
2025-06-06T22:28:00.000, 18.89, 22.89 
2025-06-06T22:33:10.000, 18.93, 23.11 
2025-06-06T22:38:19.000, 18.96, 23.06 
2025-06-06T22:43:27.000, 18.99, 23.06 
2025-06-06T22:48:36.000, 19.01, 23.39 
2025-06-06T22:53:45.000, 19.05, 23.22 
2025-06-06T22:58:54.000, 19.08, 22.78 
2025-06-06T23:04:02.000, 19.10, 22.61 
2025-06-06T23:09:13.000, 19.13, 22.56 
2025-06-06T23:14:21.000, 19.15, 21.17 
2025-06-06T23:19:30.000, 19.18, 19.61 
2025-06-06T23:24:39.000, 19.21, 19.67 
2025-06-06T23:29:47.000, 19.24, 20.33 
2025-06-06T23:34:56.000, 19.28, 20.78 
2025-06-06T23:40:05.000, 19.31, 21.17 
2025-06-06T23:45:13.000, 19.35, 20.78 
2025-06-06T23:50:22.000, 19.38, 20.44 
2025-06-06T23:55:31.000, 19.43, 20.72 
2025-06-07T00:00:40.000, 19.44, 21.11 
2025-06-07T00:05:49.000, 19.47, 21.39 
2025-06-07T00:11:01.000, 19.49, 21.11 
2025-06-07T00:16:10.000, 19.52, 20.44 
2025-06-07T00:21:19.000, 19.55, 20.56 
2025-06-07T00:26:28.000, 19.57, 21.00 
2025-06-07T00:31:37.000, 19.60, 21.28 
2025-06-07T00:36:46.000, 19.62, 21.33 
2025-06-07T00:41:55.000, 19.65, 21.50 
2025-06-07T00:47:03.000, 19.67, 21.44 
2025-06-07T00:52:12.000, 19.70, 21.22 
2025-06-07T00:57:21.000, 19.73, 21.28 
2025-06-07T01:02:30.000, 19.76, 21.44 
2025-06-07T01:07:38.000, 19.79, 21.39 
2025-06-07T01:12:48.000, 19.83, 21.33 
2025-06-07T01:17:57.000, 19.84, 21.33 
2025-06-07T01:23:06.000, 19.88, 21.11 
2025-06-07T01:28:14.000, 19.91, 20.89 
2025-06-07T01:33:23.000, 19.95, 20.78 
2025-06-07T01:38:31.000, 19.98, 20.67 
2025-06-07T01:43:40.000, 20.01, 20.61 
2025-06-07T01:48:49.000, 20.06, 20.78 
2025-06-07T01:53:58.000, 20.13, 20.89 
2025-06-07T01:59:06.000, 20.26, 20.61 
2025-06-07T02:04:15.000, 20.31, 20.50 
2025-06-07T02:09:23.000, 20.37, 20.33 
2025-06-07T02:14:33.000, 20.43, 20.06 
2025-06-07T02:19:41.000, 20.52, 19.83 
2025-06-07T02:24:50.000, 20.60, 19.83 
2025-06-07T02:29:59.000, 20.70, 19.83 
2025-06-07T02:35:07.000, 20.81, 19.72 
2025-06-07T02:40:16.000, 20.94, 19.56 
2025-06-07T02:45:25.000, 21.05, 19.50 
2025-06-07T02:50:34.000, 21.12, 19.61 
2025-06-07T02:55:42.000, 21.15, 19.72 
2025-06-07T03:00:51.000, 21.16, 19.67 
2025-06-07T03:05:59.000, 21.16, 19.67 
2025-06-07T03:11:08.000, 21.16, 19.67 
2025-06-07T03:16:18.000, 21.16, 19.72 
2025-06-07T03:21:27.000, 21.16, 19.83 
2025-06-07T03:26:35.000, 21.16, 19.83 
2025-06-07T03:31:44.000, 21.17, 19.72 
2025-06-07T03:36:53.000, 21.18, 19.72 
2025-06-07T03:42:01.000, 21.18, 19.72 
2025-06-07T03:47:10.000, 21.18, 19.72 
2025-06-07T03:52:18.000, 21.15, 19.89 
2025-06-07T03:57:27.000, 21.08, 19.78 
2025-06-07T04:02:35.000, 20.93, 19.50 
2025-06-07T04:07:44.000, 20.63, 19.33 
2025-06-07T04:12:53.000, 20.17, 19.67 
2025-06-07T04:18:02.000, 19.55, 19.89 
2025-06-07T04:23:11.000, 18.81, 19.72 
2025-06-07T04:28:20.000, 17.99, 19.50 
2025-06-07T04:33:28.000, 17.11, 19.67 
2025-06-07T04:38:37.000, 16.17, 20.00 
2025-06-07T04:43:45.000, 15.04, 20.11 
2025-06-07T04:48:54.000, 13.78, 20.11 
2025-06-07T04:54:02.000, 12.50, 20.11 
2025-06-07T04:59:11.000, 10.84, 19.89 
2025-06-07T05:04:20.000, 9.70 , 19.56 
2025-06-07T05:09:28.000, 9.04 , 19.44 
2025-06-07T05:14:37.000, 8.19 , 19.33 
2025-06-07T05:19:47.000, 7.53 , 19.39 
2025-06-07T05:24:55.000, 22.44, 19.44 
2025-06-07T05:30:04.000, 22.99, 19.67 
2025-06-07T05:35:13.000, 22.21, 19.89 
2025-06-07T05:40:21.000, 21.97, 19.78 
2025-06-07T05:45:30.000, 21.70, 19.56 
2025-06-07T05:50:38.000, 21.45, 19.61 
2025-06-07T05:55:47.000, 21.18, 19.83 
2025-06-07T06:00:55.000, 20.89, 19.78 
2025-06-07T06:06:04.000, 20.63, 19.61 
2025-06-07T06:11:13.000, 20.45, 19.72 
2025-06-07T06:16:21.000, 20.38, 19.67 
2025-06-07T06:21:31.000, 20.31, 19.78 
2025-06-07T06:26:39.000, 20.23, 20.17 
2025-06-07T06:31:48.000, 20.17, 20.56 
2025-06-07T06:36:57.000, 20.12, 21.00 
2025-06-07T06:42:05.000, 20.07, 21.56 
2025-06-07T06:47:14.000, 20.02, 22.06 
2025-06-07T06:52:22.000, 19.98, 22.56 
2025-06-07T06:57:31.000, 19.94, 23.06 
