#UT, Tloc, SQM, Temp, RH
2025-06-12T00:59:06.000, 2025-06-11T17:59:06.000, 19.48, 31.83 , 14
2025-06-12T01:04:14.000, 2025-06-11T18:04:14.000, 19.53, 32.00 , 14
2025-06-12T01:09:22.000, 2025-06-11T18:09:22.000, 19.57, 32.22 , 14
2025-06-12T01:12:47.000, 2025-06-11T18:12:47.000, 19.61, 32.06 , 14
2025-06-12T01:17:55.000, 2025-06-11T18:17:55.000, 19.66, 31.83 , 14
2025-06-12T01:23:03.000, 2025-06-11T18:23:03.000, 19.69, 31.56 , 14
2025-06-12T01:28:11.000, 2025-06-11T18:28:11.000, 19.77, 31.22 , 15
2025-06-12T01:33:19.000, 2025-06-11T18:33:19.000, 19.89, 31.17 , 15
2025-06-12T01:38:27.000, 2025-06-11T18:38:27.000, 19.96, 31.17 , 15
2025-06-12T01:43:35.000, 2025-06-11T18:43:35.000, 19.99, 31.11 , 15
2025-06-12T01:48:43.000, 2025-06-11T18:48:43.000, 20.09, 31.00 , 15
2025-06-12T01:53:51.000, 2025-06-11T18:53:51.000, 20.28, 30.78 , 15
2025-06-12T02:00:42.000, 2025-06-11T19:00:42.000, 20.57, 30.39 , 15
2025-06-12T02:05:50.000, 2025-06-11T19:05:50.000, 20.85, 30.11 , 16
2025-06-12T02:10:58.000, 2025-06-11T19:10:58.000, 21.28, 29.89 , 16
2025-06-12T02:14:23.000, 2025-06-11T19:14:23.000, 21.59, 29.44 , 16
2025-06-12T02:19:31.000, 2025-06-11T19:19:31.000, 22.23, 29.00 , 16
2025-06-12T02:24:39.000, 2025-06-11T19:24:39.000, 23.44, 28.61 , 17
2025-06-12T02:29:47.000, 2025-06-11T19:29:47.000, 24.07, 28.33 , 17
2025-06-12T02:34:55.000, 2025-06-11T19:34:55.000, 8.49 , 28.06 , 17
2025-06-12T02:40:03.000, 2025-06-11T19:40:03.000, 9.36 , 27.67 , 18
2025-06-12T02:45:11.000, 2025-06-11T19:45:11.000, 10.41, 27.61 , 18
2025-06-12T02:50:19.000, 2025-06-11T19:50:19.000, 11.59, 27.56 , 18
2025-06-12T02:55:27.000, 2025-06-11T19:55:27.000, 12.82, 27.44 , 18
2025-06-12T03:00:35.000, 2025-06-11T20:00:35.000, 14.06, 27.33 , 18
2025-06-12T03:05:43.000, 2025-06-11T20:05:43.000, 15.28, 27.11 , 19
2025-06-12T03:10:51.000, 2025-06-11T20:10:51.000, 16.31, 26.72 , 19
2025-06-12T03:15:59.000, 2025-06-11T20:15:59.000, 17.25, 26.56 , 19
2025-06-12T03:21:07.000, 2025-06-11T20:21:07.000, 18.11, 26.50 , 19
2025-06-12T03:26:15.000, 2025-06-11T20:26:15.000, 18.86, 26.28 , 20
2025-06-12T03:31:23.000, 2025-06-11T20:31:23.000, 19.48, 26.11 , 20
2025-06-12T03:34:48.000, 2025-06-11T20:34:48.000, 19.76, 26.17 , 20
2025-06-12T03:41:39.000, 2025-06-11T20:41:39.000, 20.02, 26.17 , 20
2025-06-12T03:46:47.000, 2025-06-11T20:46:47.000, 20.04, 26.06 , 20
