#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2023-07-09T02:55:05Z,11.09,SQM,MtLemmon
,,,2023-07-09T03:00:05Z,12.3,SQM,MtLemmon
,,,2023-07-09T03:05:05Z,13.55,SQM,MtLemmon
,,,2023-07-09T03:10:05Z,14.76,SQM,MtLemmon
,,,2023-07-09T03:15:05Z,15.84,SQM,MtLemmon
,,,2023-07-09T03:20:05Z,16.75,SQM,MtLemmon
,,,2023-07-09T03:25:05Z,17.59,SQM,MtLemmon
,,,2023-07-09T03:30:05Z,18.38,SQM,MtLemmon
,,,2023-07-09T03:35:05Z,19.12,SQM,MtLemmon
,,,2023-07-09T03:40:05Z,19.77,SQM,MtLemmon
,,,2023-07-09T03:45:05Z,20.3,SQM,MtLemmon
,,,2023-07-09T03:50:07Z,20.66,SQM,MtLemmon
,,,2023-07-09T03:55:06Z,20.88,SQM,MtLemmon
,,,2023-07-09T04:00:07Z,21.01,SQM,MtLemmon
,,,2023-07-09T04:05:08Z,21.07,SQM,MtLemmon
,,,2023-07-09T04:10:08Z,21.09,SQM,MtLemmon
,,,2023-07-09T04:15:08Z,21.11,SQM,MtLemmon
,,,2023-07-09T04:20:08Z,21.12,SQM,MtLemmon
,,,2023-07-09T04:25:08Z,21.13,SQM,MtLemmon
,,,2023-07-09T04:30:08Z,21.14,SQM,MtLemmon
,,,2023-07-09T04:35:08Z,21.15,SQM,MtLemmon
,,,2023-07-09T04:40:09Z,21.15,SQM,MtLemmon
,,,2023-07-09T04:45:09Z,21.14,SQM,MtLemmon
,,,2023-07-09T04:50:08Z,21.13,SQM,MtLemmon
,,,2023-07-09T04:55:08Z,21.12,SQM,MtLemmon
,,,2023-07-09T05:00:08Z,21.11,SQM,MtLemmon
,,,2023-07-09T05:05:08Z,21.11,SQM,MtLemmon
,,,2023-07-09T05:10:08Z,21.11,SQM,MtLemmon
,,,2023-07-09T05:15:08Z,21.11,SQM,MtLemmon
,,,2023-07-09T05:20:08Z,21.09,SQM,MtLemmon
,,,2023-07-09T05:25:08Z,21.08,SQM,MtLemmon
,,,2023-07-09T05:30:08Z,21.07,SQM,MtLemmon
,,,2023-07-09T05:35:08Z,21.07,SQM,MtLemmon
,,,2023-07-09T05:40:08Z,21.06,SQM,MtLemmon
,,,2023-07-09T05:45:08Z,21.05,SQM,MtLemmon
,,,2023-07-09T05:50:08Z,21.05,SQM,MtLemmon
,,,2023-07-09T05:55:07Z,21.04,SQM,MtLemmon
,,,2023-07-09T06:00:07Z,21.02,SQM,MtLemmon
,,,2023-07-09T06:05:07Z,21.02,SQM,MtLemmon
,,,2023-07-09T06:10:07Z,21.02,SQM,MtLemmon
,,,2023-07-09T06:15:07Z,21.01,SQM,MtLemmon
,,,2023-07-09T06:20:07Z,21.0,SQM,MtLemmon
,,,2023-07-09T06:25:07Z,20.99,SQM,MtLemmon
,,,2023-07-09T06:30:07Z,20.97,SQM,MtLemmon
,,,2023-07-09T06:35:07Z,20.95,SQM,MtLemmon
,,,2023-07-09T06:40:06Z,20.92,SQM,MtLemmon
,,,2023-07-09T06:45:06Z,20.87,SQM,MtLemmon
,,,2023-07-09T06:50:06Z,20.82,SQM,MtLemmon
,,,2023-07-09T06:55:05Z,20.77,SQM,MtLemmon
,,,2023-07-09T07:00:05Z,20.71,SQM,MtLemmon
,,,2023-07-09T07:05:07Z,20.66,SQM,MtLemmon
,,,2023-07-09T07:10:06Z,20.61,SQM,MtLemmon
,,,2023-07-09T07:15:06Z,20.58,SQM,MtLemmon
,,,2023-07-09T07:20:06Z,20.55,SQM,MtLemmon
,,,2023-07-09T07:25:05Z,20.52,SQM,MtLemmon
,,,2023-07-09T07:30:05Z,20.5,SQM,MtLemmon
,,,2023-07-09T07:35:05Z,20.49,SQM,MtLemmon
,,,2023-07-09T07:40:05Z,20.48,SQM,MtLemmon
,,,2023-07-09T07:45:05Z,20.47,SQM,MtLemmon
,,,2023-07-09T07:50:05Z,20.45,SQM,MtLemmon
,,,2023-07-09T07:55:05Z,20.43,SQM,MtLemmon
,,,2023-07-09T08:00:05Z,20.39,SQM,MtLemmon
,,,2023-07-09T08:05:05Z,20.4,SQM,MtLemmon
,,,2023-07-09T08:10:05Z,20.4,SQM,MtLemmon
,,,2023-07-09T08:15:05Z,20.4,SQM,MtLemmon
,,,2023-07-09T08:20:05Z,20.38,SQM,MtLemmon
,,,2023-07-09T08:25:05Z,20.35,SQM,MtLemmon
,,,2023-07-09T08:30:05Z,20.22,SQM,MtLemmon
,,,2023-07-09T08:35:05Z,20.2,SQM,MtLemmon
,,,2023-07-09T08:40:05Z,20.17,SQM,MtLemmon
,,,2023-07-09T08:45:05Z,20.12,SQM,MtLemmon
,,,2023-07-09T08:50:05Z,20.1,SQM,MtLemmon
,,,2023-07-09T08:55:05Z,20.09,SQM,MtLemmon
,,,2023-07-09T09:00:05Z,20.07,SQM,MtLemmon
,,,2023-07-09T09:05:05Z,20.05,SQM,MtLemmon
,,,2023-07-09T09:10:05Z,20.03,SQM,MtLemmon
,,,2023-07-09T09:15:05Z,20.0,SQM,MtLemmon
,,,2023-07-09T09:20:05Z,19.98,SQM,MtLemmon
,,,2023-07-09T09:25:05Z,19.96,SQM,MtLemmon
,,,2023-07-09T09:30:05Z,19.92,SQM,MtLemmon
,,,2023-07-09T09:35:05Z,19.9,SQM,MtLemmon
,,,2023-07-09T09:40:05Z,19.87,SQM,MtLemmon
,,,2023-07-09T09:45:05Z,19.82,SQM,MtLemmon
,,,2023-07-09T09:50:05Z,19.78,SQM,MtLemmon
,,,2023-07-09T09:55:05Z,19.76,SQM,MtLemmon
,,,2023-07-09T10:00:05Z,19.73,SQM,MtLemmon
,,,2023-07-09T10:05:05Z,19.69,SQM,MtLemmon
,,,2023-07-09T10:10:05Z,19.65,SQM,MtLemmon
,,,2023-07-09T10:15:05Z,19.6,SQM,MtLemmon
,,,2023-07-09T10:20:05Z,19.55,SQM,MtLemmon
,,,2023-07-09T10:25:05Z,19.48,SQM,MtLemmon
,,,2023-07-09T10:30:05Z,19.37,SQM,MtLemmon
,,,2023-07-09T10:35:05Z,19.18,SQM,MtLemmon
,,,2023-07-09T10:40:05Z,18.99,SQM,MtLemmon
,,,2023-07-09T10:45:05Z,18.77,SQM,MtLemmon
,,,2023-07-09T10:50:05Z,18.57,SQM,MtLemmon
,,,2023-07-09T10:55:05Z,18.43,SQM,MtLemmon
,,,2023-07-09T11:00:05Z,18.35,SQM,MtLemmon
,,,2023-07-09T11:05:05Z,18.38,SQM,MtLemmon
,,,2023-07-09T11:10:05Z,18.43,SQM,MtLemmon
,,,2023-07-09T11:15:05Z,18.43,SQM,MtLemmon
,,,2023-07-09T11:20:05Z,18.35,SQM,MtLemmon
,,,2023-07-09T11:25:05Z,18.18,SQM,MtLemmon
,,,2023-07-09T11:30:05Z,17.83,SQM,MtLemmon
,,,2023-07-09T11:35:05Z,17.3,SQM,MtLemmon
,,,2023-07-09T11:40:05Z,16.58,SQM,MtLemmon
,,,2023-07-09T11:45:05Z,15.67,SQM,MtLemmon
,,,2023-07-09T11:50:05Z,14.57,SQM,MtLemmon
,,,2023-07-09T11:55:05Z,13.36,SQM,MtLemmon
,,,2023-07-09T12:00:05Z,12.14,SQM,MtLemmon
,,,2023-07-09T12:05:05Z,10.94,SQM,MtLemmon
,,,2023-07-10T02:55:05Z,11.1,SQM,MtLemmon
,,,2023-07-10T03:00:05Z,12.36,SQM,MtLemmon
,,,2023-07-10T03:05:05Z,13.49,SQM,MtLemmon
,,,2023-07-10T03:10:05Z,14.72,SQM,MtLemmon
,,,2023-07-10T03:15:05Z,15.83,SQM,MtLemmon
,,,2023-07-10T03:20:05Z,16.81,SQM,MtLemmon
,,,2023-07-10T03:25:05Z,17.56,SQM,MtLemmon
,,,2023-07-10T03:30:05Z,18.08,SQM,MtLemmon
,,,2023-07-10T03:35:05Z,18.81,SQM,MtLemmon
,,,2023-07-10T03:40:05Z,19.41,SQM,MtLemmon
,,,2023-07-10T03:45:05Z,19.66,SQM,MtLemmon
,,,2023-07-10T03:50:05Z,19.75,SQM,MtLemmon
,,,2023-07-10T03:55:05Z,19.91,SQM,MtLemmon
,,,2023-07-10T04:00:05Z,20.34,SQM,MtLemmon
,,,2023-07-10T04:05:05Z,20.35,SQM,MtLemmon
,,,2023-07-10T04:10:05Z,20.37,SQM,MtLemmon
,,,2023-07-10T04:15:05Z,19.92,SQM,MtLemmon
,,,2023-07-10T04:20:05Z,20.36,SQM,MtLemmon
,,,2023-07-10T04:25:05Z,20.61,SQM,MtLemmon
,,,2023-07-10T04:30:05Z,20.42,SQM,MtLemmon
,,,2023-07-10T04:35:05Z,20.3,SQM,MtLemmon
,,,2023-07-10T04:40:05Z,20.16,SQM,MtLemmon
,,,2023-07-10T04:45:06Z,20.52,SQM,MtLemmon
,,,2023-07-10T04:50:05Z,20.72,SQM,MtLemmon
,,,2023-07-10T04:55:06Z,20.87,SQM,MtLemmon
,,,2023-07-10T05:00:06Z,20.86,SQM,MtLemmon
,,,2023-07-10T05:05:06Z,20.87,SQM,MtLemmon
,,,2023-07-10T05:10:06Z,20.77,SQM,MtLemmon
,,,2023-07-10T05:15:07Z,20.92,SQM,MtLemmon
,,,2023-07-10T05:20:06Z,20.88,SQM,MtLemmon
,,,2023-07-10T05:25:06Z,20.9,SQM,MtLemmon
,,,2023-07-10T05:30:06Z,20.87,SQM,MtLemmon
,,,2023-07-10T05:35:06Z,20.89,SQM,MtLemmon
,,,2023-07-10T05:40:05Z,20.74,SQM,MtLemmon
,,,2023-07-10T05:45:05Z,20.47,SQM,MtLemmon
,,,2023-07-10T05:50:06Z,20.52,SQM,MtLemmon
,,,2023-07-10T05:55:05Z,20.44,SQM,MtLemmon
,,,2023-07-10T06:00:06Z,20.49,SQM,MtLemmon
,,,2023-07-10T06:05:06Z,20.63,SQM,MtLemmon
,,,2023-07-10T06:10:05Z,20.67,SQM,MtLemmon
,,,2023-07-10T06:15:06Z,20.6,SQM,MtLemmon
,,,2023-07-10T06:20:06Z,20.61,SQM,MtLemmon
,,,2023-07-10T06:25:07Z,20.62,SQM,MtLemmon
,,,2023-07-10T06:30:05Z,20.66,SQM,MtLemmon
,,,2023-07-10T06:35:05Z,20.67,SQM,MtLemmon
,,,2023-07-10T06:40:06Z,20.84,SQM,MtLemmon
,,,2023-07-10T06:45:06Z,20.82,SQM,MtLemmon
,,,2023-07-10T06:50:06Z,20.8,SQM,MtLemmon
,,,2023-07-10T06:55:05Z,20.43,SQM,MtLemmon
,,,2023-07-10T07:00:05Z,20.45,SQM,MtLemmon
,,,2023-07-10T07:05:05Z,20.65,SQM,MtLemmon
,,,2023-07-10T07:10:05Z,20.75,SQM,MtLemmon
,,,2023-07-10T07:15:06Z,20.82,SQM,MtLemmon
,,,2023-07-10T07:20:06Z,20.81,SQM,MtLemmon
,,,2023-07-10T07:25:05Z,20.72,SQM,MtLemmon
,,,2023-07-10T07:30:06Z,20.55,SQM,MtLemmon
,,,2023-07-10T07:35:05Z,20.67,SQM,MtLemmon
,,,2023-07-10T07:40:05Z,20.77,SQM,MtLemmon
,,,2023-07-10T07:45:05Z,20.77,SQM,MtLemmon
,,,2023-07-10T07:50:05Z,20.73,SQM,MtLemmon
,,,2023-07-10T07:55:05Z,20.71,SQM,MtLemmon
,,,2023-07-10T08:00:07Z,20.65,SQM,MtLemmon
