#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2025-01-02T00:47:00Z,11.0,SQM,DSN006S_KPNO
,,,2025-01-02T00:52:00Z,12.25,SQM,DSN006S_KPNO
,,,2025-01-02T00:57:00Z,13.47,SQM,DSN006S_KPNO
,,,2025-01-02T01:02:00Z,14.72,SQM,DSN006S_KPNO
,,,2025-01-02T01:07:00Z,16.01,SQM,DSN006S_KPNO
,,,2025-01-02T01:12:00Z,17.08,SQM,DSN006S_KPNO
,,,2025-01-02T01:17:00Z,18.05,SQM,DSN006S_KPNO
,,,2025-01-02T01:22:00Z,18.91,SQM,DSN006S_KPNO
,,,2025-01-02T01:27:00Z,19.63,SQM,DSN006S_KPNO
,,,2025-01-02T01:32:00Z,20.15,SQM,DSN006S_KPNO
,,,2025-01-02T01:37:00Z,20.45,SQM,DSN006S_KPNO
,,,2025-01-02T01:42:00Z,20.58,SQM,DSN006S_KPNO
,,,2025-01-02T01:47:00Z,20.63,SQM,DSN006S_KPNO
,,,2025-01-02T01:52:00Z,20.64,SQM,DSN006S_KPNO
,,,2025-01-02T01:57:00Z,20.55,SQM,DSN006S_KPNO
,,,2025-01-02T02:02:00Z,20.65,SQM,DSN006S_KPNO
,,,2025-01-02T02:07:00Z,20.74,SQM,DSN006S_KPNO
,,,2025-01-02T02:12:00Z,20.77,SQM,DSN006S_KPNO
,,,2025-01-02T02:17:00Z,20.7,SQM,DSN006S_KPNO
,,,2025-01-02T02:22:00Z,20.64,SQM,DSN006S_KPNO
,,,2025-01-02T02:27:00Z,20.53,SQM,DSN006S_KPNO
,,,2025-01-02T02:32:00Z,20.79,SQM,DSN006S_KPNO
,,,2025-01-02T02:37:00Z,20.8,SQM,DSN006S_KPNO
,,,2025-01-02T02:42:00Z,20.79,SQM,DSN006S_KPNO
,,,2025-01-02T02:47:00Z,20.74,SQM,DSN006S_KPNO
,,,2025-01-02T02:52:00Z,20.71,SQM,DSN006S_KPNO
,,,2025-01-02T02:57:00Z,20.79,SQM,DSN006S_KPNO
,,,2025-01-02T03:02:00Z,20.86,SQM,DSN006S_KPNO
,,,2025-01-02T03:07:00Z,20.86,SQM,DSN006S_KPNO
,,,2025-01-02T03:12:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:17:00Z,20.86,SQM,DSN006S_KPNO
,,,2025-01-02T03:22:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:27:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:32:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:37:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:42:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:47:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:52:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T03:57:00Z,20.85,SQM,DSN006S_KPNO
,,,2025-01-02T04:02:00Z,20.84,SQM,DSN006S_KPNO
,,,2025-01-02T04:07:00Z,20.84,SQM,DSN006S_KPNO
,,,2025-01-02T04:12:00Z,20.84,SQM,DSN006S_KPNO
,,,2025-01-02T04:17:00Z,20.83,SQM,DSN006S_KPNO
,,,2025-01-02T04:22:00Z,20.82,SQM,DSN006S_KPNO
,,,2025-01-02T04:27:00Z,20.82,SQM,DSN006S_KPNO
,,,2025-01-02T04:32:00Z,20.82,SQM,DSN006S_KPNO
,,,2025-01-02T04:37:00Z,20.81,SQM,DSN006S_KPNO
