#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2025-05-12T02:25:05Z,10.13,SQM,DSN014S_Tubac
,,,2025-05-12T02:30:05Z,11.22,SQM,DSN014S_Tubac
,,,2025-05-12T02:35:05Z,12.44,SQM,DSN014S_Tubac
,,,2025-05-12T02:40:05Z,13.79,SQM,DSN014S_Tubac
,,,2025-05-12T02:45:05Z,15.14,SQM,DSN014S_Tubac
,,,2025-05-12T02:50:05Z,16.32,SQM,DSN014S_Tubac
,,,2025-05-12T02:55:05Z,17.24,SQM,DSN014S_Tubac
,,,2025-05-12T03:00:05Z,17.86,SQM,DSN014S_Tubac
,,,2025-05-12T03:05:05Z,18.38,SQM,DSN014S_Tubac
,,,2025-05-12T03:10:05Z,18.75,SQM,DSN014S_Tubac
,,,2025-05-12T03:15:05Z,18.98,SQM,DSN014S_Tubac
,,,2025-05-12T03:20:05Z,18.97,SQM,DSN014S_Tubac
,,,2025-05-12T03:25:05Z,19.01,SQM,DSN014S_Tubac
,,,2025-05-12T03:30:05Z,18.89,SQM,DSN014S_Tubac
,,,2025-05-12T03:35:05Z,18.79,SQM,DSN014S_Tubac
,,,2025-05-12T03:40:05Z,18.68,SQM,DSN014S_Tubac
,,,2025-05-12T03:45:05Z,18.61,SQM,DSN014S_Tubac
,,,2025-05-12T03:50:05Z,18.48,SQM,DSN014S_Tubac
,,,2025-05-12T03:55:05Z,18.31,SQM,DSN014S_Tubac
,,,2025-05-12T04:00:05Z,17.88,SQM,DSN014S_Tubac
,,,2025-05-12T04:05:05Z,17.97,SQM,DSN014S_Tubac
,,,2025-05-12T04:10:05Z,18.22,SQM,DSN014S_Tubac
,,,2025-05-12T04:15:05Z,18.04,SQM,DSN014S_Tubac
,,,2025-05-12T04:20:05Z,17.94,SQM,DSN014S_Tubac
,,,2025-05-12T04:25:05Z,17.75,SQM,DSN014S_Tubac
,,,2025-05-12T04:30:05Z,17.97,SQM,DSN014S_Tubac
,,,2025-05-12T04:35:05Z,18.15,SQM,DSN014S_Tubac
,,,2025-05-12T04:40:05Z,18.27,SQM,DSN014S_Tubac
,,,2025-05-12T04:45:05Z,18.33,SQM,DSN014S_Tubac
,,,2025-05-12T04:50:05Z,17.93,SQM,DSN014S_Tubac
,,,2025-05-12T04:55:05Z,17.65,SQM,DSN014S_Tubac
,,,2025-05-12T05:00:05Z,17.52,SQM,DSN014S_Tubac
,,,2025-05-12T05:05:05Z,17.28,SQM,DSN014S_Tubac
,,,2025-05-12T05:10:05Z,17.28,SQM,DSN014S_Tubac
,,,2025-05-12T05:15:05Z,17.3,SQM,DSN014S_Tubac
,,,2025-05-12T05:20:05Z,17.27,SQM,DSN014S_Tubac
,,,2025-05-12T05:25:05Z,17.16,SQM,DSN014S_Tubac
,,,2025-05-12T05:30:05Z,17.15,SQM,DSN014S_Tubac
,,,2025-05-12T05:35:05Z,17.11,SQM,DSN014S_Tubac
,,,2025-05-12T05:40:05Z,17.06,SQM,DSN014S_Tubac
,,,2025-05-12T05:45:05Z,17.11,SQM,DSN014S_Tubac
,,,2025-05-12T05:50:05Z,17.36,SQM,DSN014S_Tubac
,,,2025-05-12T05:55:05Z,17.45,SQM,DSN014S_Tubac
,,,2025-05-12T06:00:05Z,17.32,SQM,DSN014S_Tubac
,,,2025-05-12T06:05:05Z,17.59,SQM,DSN014S_Tubac
,,,2025-05-12T06:10:05Z,17.5,SQM,DSN014S_Tubac
,,,2025-05-12T06:15:05Z,17.52,SQM,DSN014S_Tubac
,,,2025-05-12T06:20:05Z,17.78,SQM,DSN014S_Tubac
,,,2025-05-12T06:25:05Z,17.89,SQM,DSN014S_Tubac
,,,2025-05-12T06:30:05Z,17.51,SQM,DSN014S_Tubac
,,,2025-05-12T06:35:05Z,17.69,SQM,DSN014S_Tubac
,,,2025-05-12T06:40:05Z,17.49,SQM,DSN014S_Tubac
,,,2025-05-12T06:45:05Z,17.42,SQM,DSN014S_Tubac
,,,2025-05-12T06:50:05Z,17.44,SQM,DSN014S_Tubac
,,,2025-05-12T06:55:05Z,17.65,SQM,DSN014S_Tubac
,,,2025-05-12T07:00:05Z,17.51,SQM,DSN014S_Tubac
,,,2025-05-12T07:05:05Z,17.31,SQM,DSN014S_Tubac
,,,2025-05-12T07:10:05Z,17.32,SQM,DSN014S_Tubac
,,,2025-05-12T07:15:05Z,17.22,SQM,DSN014S_Tubac
,,,2025-05-12T07:20:05Z,17.5,SQM,DSN014S_Tubac
,,,2025-05-12T07:25:05Z,17.23,SQM,DSN014S_Tubac
,,,2025-05-12T07:30:05Z,17.2,SQM,DSN014S_Tubac
,,,2025-05-12T07:35:05Z,17.04,SQM,DSN014S_Tubac
,,,2025-05-12T07:40:05Z,16.99,SQM,DSN014S_Tubac
,,,2025-05-12T07:45:05Z,16.95,SQM,DSN014S_Tubac
,,,2025-05-12T07:50:05Z,17.07,SQM,DSN014S_Tubac
,,,2025-05-12T07:55:05Z,17.5,SQM,DSN014S_Tubac
,,,2025-05-12T08:00:05Z,17.52,SQM,DSN014S_Tubac
,,,2025-05-12T08:05:05Z,17.38,SQM,DSN014S_Tubac
,,,2025-05-12T08:10:05Z,17.2,SQM,DSN014S_Tubac
,,,2025-05-12T08:15:05Z,17.04,SQM,DSN014S_Tubac
,,,2025-05-12T08:20:05Z,17.26,SQM,DSN014S_Tubac
,,,2025-05-12T08:25:05Z,17.36,SQM,DSN014S_Tubac
,,,2025-05-12T08:30:05Z,17.16,SQM,DSN014S_Tubac
,,,2025-05-12T08:35:05Z,17.47,SQM,DSN014S_Tubac
,,,2025-05-12T08:40:05Z,17.46,SQM,DSN014S_Tubac
,,,2025-05-12T08:45:05Z,17.8,SQM,DSN014S_Tubac
,,,2025-05-12T08:50:05Z,17.49,SQM,DSN014S_Tubac
