#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2025-06-10T02:40:05Z,14.22,SQM,DSN021S_VATT
,,,2025-06-10T02:45:05Z,15.02,SQM,DSN021S_VATT
,,,2025-06-10T02:50:05Z,15.61,SQM,DSN021S_VATT
,,,2025-06-10T02:55:05Z,15.9,SQM,DSN021S_VATT
,,,2025-06-10T03:00:05Z,15.98,SQM,DSN021S_VATT
,,,2025-06-10T03:05:05Z,15.99,SQM,DSN021S_VATT
,,,2025-06-10T03:10:05Z,16.03,SQM,DSN021S_VATT
,,,2025-06-10T03:15:05Z,16.04,SQM,DSN021S_VATT
,,,2025-06-10T03:20:05Z,16.04,SQM,DSN021S_VATT
,,,2025-06-10T03:25:05Z,16.03,SQM,DSN021S_VATT
,,,2025-06-10T03:30:05Z,16.05,SQM,DSN021S_VATT
,,,2025-06-10T03:35:05Z,16.07,SQM,DSN021S_VATT
,,,2025-06-10T03:40:05Z,16.07,SQM,DSN021S_VATT
,,,2025-06-10T03:45:05Z,16.05,SQM,DSN021S_VATT
,,,2025-06-10T03:50:05Z,16.06,SQM,DSN021S_VATT
,,,2025-06-10T03:55:05Z,16.07,SQM,DSN021S_VATT
,,,2025-06-10T04:00:05Z,16.08,SQM,DSN021S_VATT
,,,2025-06-10T04:05:05Z,20.02,SQM,DSN021S_VATT
,,,2025-06-10T04:10:05Z,20.05,SQM,DSN021S_VATT
,,,2025-06-10T04:15:05Z,20.06,SQM,DSN021S_VATT
,,,2025-06-10T04:20:05Z,20.06,SQM,DSN021S_VATT
,,,2025-06-10T04:25:05Z,20.1,SQM,DSN021S_VATT
,,,2025-06-10T04:30:05Z,20.04,SQM,DSN021S_VATT
,,,2025-06-10T04:35:05Z,20.06,SQM,DSN021S_VATT
,,,2025-06-10T04:40:05Z,19.82,SQM,DSN021S_VATT
,,,2025-06-10T04:45:05Z,15.95,SQM,DSN021S_VATT
