#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2025-03-18T02:20:44Z,12.59,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T02:26:00Z,23.53,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T02:31:00Z,23.62,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T05:56:00Z,19.91,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T06:01:00Z,19.91,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T06:06:00Z,19.91,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T06:21:00Z,19.91,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T06:41:00Z,19.91,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T09:21:00Z,23.79,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T09:26:00Z,23.71,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T09:31:00Z,23.71,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T09:36:00Z,23.74,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T09:41:00Z,23.77,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T09:46:00Z,23.79,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T11:05:05Z,17.9,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T11:10:05Z,17.9,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T11:15:05Z,18.05,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T11:20:30Z,23.68,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T11:26:00Z,23.66,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T12:46:00Z,23.42,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T12:50:31Z,22.62,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T12:55:09Z,21.67,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T13:00:05Z,20.48,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T13:05:05Z,19.13,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T13:10:05Z,17.71,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-18T13:15:05Z,16.39,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T01:45:05Z,15.95,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T01:50:05Z,17.1,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T01:55:05Z,18.39,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T02:00:05Z,19.73,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T02:05:07Z,21.02,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T02:10:18Z,22.24,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T02:15:58Z,23.37,SQM,DSN022-S_TumacacoriNHP
,,,2025-03-19T05:45:36Z,17.78,SQM,DSN022-S_TumacacoriNHP
