#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2025-06-12 02:45:05,17.25,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 02:50:05,18.14,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 02:55:05,18.71,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:00:05,19.09,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:05:05,19.18,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:10:05,19.25,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:15:05,14.78,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:20:05,14.84,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:25:05,14.85,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:30:05,14.85,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:35:05,19.24,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:40:05,19.17,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:45:05,19.26,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:50:05,19.26,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 03:55:05,19.21,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:00:05,19.22,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:05:05,19.26,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:10:05,19.22,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:15:05,14.78,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:20:05,19.28,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:25:05,19.29,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:30:05,19.23,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:35:05,19.28,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:40:05,19.29,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:45:05,19.25,SQM,DSN022S_TumacacoriNHP
,,,2025-06-12 04:50:05,14.76,SQM,DSN022S_TumacacoriNHP
