#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2025-03-21T01:50:05Z,10.46,SQM,DSN030-S_Nogales
,,,2025-03-21T01:55:05Z,11.77,SQM,DSN030-S_Nogales
,,,2025-03-21T02:00:05Z,13.16,SQM,DSN030-S_Nogales
,,,2025-03-21T02:05:05Z,14.6,SQM,DSN030-S_Nogales
,,,2025-03-21T02:10:05Z,15.94,SQM,DSN030-S_Nogales
,,,2025-03-21T02:15:05Z,17.0,SQM,DSN030-S_Nogales
,,,2025-03-21T02:20:05Z,17.76,SQM,DSN030-S_Nogales
,,,2025-03-21T02:25:05Z,18.26,SQM,DSN030-S_Nogales
,,,2025-03-21T02:30:05Z,18.54,SQM,DSN030-S_Nogales
,,,2025-03-21T02:35:05Z,18.67,SQM,DSN030-S_Nogales
,,,2025-03-21T02:40:05Z,18.73,SQM,DSN030-S_Nogales
,,,2025-03-21T02:45:05Z,18.75,SQM,DSN030-S_Nogales
,,,2025-03-21T02:50:05Z,18.76,SQM,DSN030-S_Nogales
,,,2025-03-21T02:55:05Z,18.76,SQM,DSN030-S_Nogales
,,,2025-03-21T03:00:05Z,18.76,SQM,DSN030-S_Nogales
,,,2025-03-21T03:05:05Z,18.76,SQM,DSN030-S_Nogales
,,,2025-03-21T03:10:05Z,18.76,SQM,DSN030-S_Nogales
,,,2025-03-21T03:15:05Z,18.76,SQM,DSN030-S_Nogales
,,,2025-03-21T03:20:05Z,18.76,SQM,DSN030-S_Nogales
,,,2025-03-21T03:25:05Z,18.77,SQM,DSN030-S_Nogales
,,,2025-03-21T03:30:05Z,18.77,SQM,DSN030-S_Nogales
,,,2025-03-21T03:35:05Z,18.78,SQM,DSN030-S_Nogales
,,,2025-03-21T03:40:05Z,18.78,SQM,DSN030-S_Nogales
,,,2025-03-21T03:45:05Z,18.78,SQM,DSN030-S_Nogales
,,,2025-03-21T03:50:05Z,18.79,SQM,DSN030-S_Nogales
,,,2025-03-21T03:55:05Z,18.79,SQM,DSN030-S_Nogales
,,,2025-03-21T04:00:05Z,18.8,SQM,DSN030-S_Nogales
,,,2025-03-21T04:05:05Z,18.79,SQM,DSN030-S_Nogales
,,,2025-03-21T04:10:05Z,18.81,SQM,DSN030-S_Nogales
,,,2025-03-21T04:15:05Z,18.81,SQM,DSN030-S_Nogales
,,,2025-03-21T04:20:05Z,18.81,SQM,DSN030-S_Nogales
,,,2025-03-21T04:25:05Z,18.81,SQM,DSN030-S_Nogales
,,,2025-03-21T04:30:05Z,18.81,SQM,DSN030-S_Nogales
,,,2025-03-21T04:35:05Z,18.81,SQM,DSN030-S_Nogales
,,,2025-03-21T04:40:05Z,18.82,SQM,DSN030-S_Nogales
,,,2025-03-21T04:45:05Z,18.82,SQM,DSN030-S_Nogales
,,,2025-03-21T04:50:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T04:55:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T05:00:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T05:05:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T05:10:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T05:15:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T05:20:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T05:25:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T05:30:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T05:35:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T05:40:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T05:45:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T05:50:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T05:55:05Z,18.87,SQM,DSN030-S_Nogales
,,,2025-03-21T06:00:05Z,18.87,SQM,DSN030-S_Nogales
,,,2025-03-21T06:05:05Z,18.87,SQM,DSN030-S_Nogales
,,,2025-03-21T06:10:05Z,18.88,SQM,DSN030-S_Nogales
,,,2025-03-21T06:15:05Z,18.91,SQM,DSN030-S_Nogales
,,,2025-03-21T06:20:05Z,18.92,SQM,DSN030-S_Nogales
,,,2025-03-21T06:25:05Z,18.92,SQM,DSN030-S_Nogales
,,,2025-03-21T06:30:05Z,18.93,SQM,DSN030-S_Nogales
,,,2025-03-21T06:35:05Z,18.93,SQM,DSN030-S_Nogales
,,,2025-03-21T06:40:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T06:45:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T06:50:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T06:55:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:00:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:05:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:10:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:15:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:20:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:25:05Z,18.96,SQM,DSN030-S_Nogales
,,,2025-03-21T07:30:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:35:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:40:05Z,18.96,SQM,DSN030-S_Nogales
,,,2025-03-21T07:45:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T07:50:05Z,18.95,SQM,DSN030-S_Nogales
,,,2025-03-21T07:55:05Z,18.94,SQM,DSN030-S_Nogales
,,,2025-03-21T08:00:05Z,18.93,SQM,DSN030-S_Nogales
,,,2025-03-21T08:05:05Z,18.93,SQM,DSN030-S_Nogales
,,,2025-03-21T08:10:05Z,18.92,SQM,DSN030-S_Nogales
,,,2025-03-21T08:15:05Z,18.91,SQM,DSN030-S_Nogales
,,,2025-03-21T08:20:05Z,18.91,SQM,DSN030-S_Nogales
,,,2025-03-21T08:25:05Z,18.91,SQM,DSN030-S_Nogales
,,,2025-03-21T08:30:05Z,18.89,SQM,DSN030-S_Nogales
,,,2025-03-21T08:35:05Z,18.88,SQM,DSN030-S_Nogales
,,,2025-03-21T08:40:05Z,18.88,SQM,DSN030-S_Nogales
,,,2025-03-21T08:45:05Z,18.88,SQM,DSN030-S_Nogales
,,,2025-03-21T08:50:05Z,18.87,SQM,DSN030-S_Nogales
,,,2025-03-21T08:55:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T09:00:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T09:05:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T09:10:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T09:15:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T09:20:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T09:25:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T09:30:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T09:35:05Z,18.86,SQM,DSN030-S_Nogales
,,,2025-03-21T09:40:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T09:45:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T09:50:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T09:55:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T10:00:05Z,18.85,SQM,DSN030-S_Nogales
,,,2025-03-21T10:05:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T10:10:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T10:15:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T10:20:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T10:25:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T10:30:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T10:35:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T10:40:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T10:45:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T10:50:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T10:55:05Z,18.83,SQM,DSN030-S_Nogales
,,,2025-03-21T11:00:05Z,18.84,SQM,DSN030-S_Nogales
,,,2025-03-21T11:05:05Z,18.84,SQM,DSN030-S_Nogales
