#group,false,false,false,false,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string
#default,,,,,,
,,table,_time,_value,_field,_measurement
,,,2025-01-02T00:33:05Z,9.87,SQM,DSN035S_Cosmic
,,,2025-01-02T00:38:05Z,11.05,SQM,DSN035S_Cosmic
,,,2025-01-02T00:43:05Z,12.23,SQM,DSN035S_Cosmic
,,,2025-01-02T00:48:05Z,13.61,SQM,DSN035S_Cosmic
,,,2025-01-02T00:53:05Z,14.91,SQM,DSN035S_Cosmic
,,,2025-01-02T00:58:05Z,16.11,SQM,DSN035S_Cosmic
,,,2025-01-02T01:03:05Z,17.14,SQM,DSN035S_Cosmic
,,,2025-01-02T01:08:05Z,18.11,SQM,DSN035S_Cosmic
,,,2025-01-02T01:13:05Z,19.0,SQM,DSN035S_Cosmic
,,,2025-01-02T01:18:05Z,19.81,SQM,DSN035S_Cosmic
,,,2025-01-02T01:23:06Z,20.47,SQM,DSN035S_Cosmic
,,,2025-01-02T01:28:06Z,20.88,SQM,DSN035S_Cosmic
,,,2025-01-02T01:33:06Z,21.22,SQM,DSN035S_Cosmic
,,,2025-01-02T01:38:08Z,21.36,SQM,DSN035S_Cosmic
,,,2025-01-02T01:43:08Z,21.42,SQM,DSN035S_Cosmic
,,,2025-01-02T01:48:09Z,21.41,SQM,DSN035S_Cosmic
,,,2025-01-02T01:53:09Z,21.48,SQM,DSN035S_Cosmic
,,,2025-01-02T01:58:09Z,21.49,SQM,DSN035S_Cosmic
,,,2025-01-02T02:03:09Z,21.5,SQM,DSN035S_Cosmic
,,,2025-01-02T02:08:09Z,21.52,SQM,DSN035S_Cosmic
,,,2025-01-02T02:13:09Z,21.52,SQM,DSN035S_Cosmic
,,,2025-01-02T02:18:09Z,21.53,SQM,DSN035S_Cosmic
,,,2025-01-02T02:23:09Z,21.54,SQM,DSN035S_Cosmic
,,,2025-01-02T02:28:09Z,21.54,SQM,DSN035S_Cosmic
,,,2025-01-02T02:33:09Z,21.55,SQM,DSN035S_Cosmic
,,,2025-01-02T02:38:08Z,21.55,SQM,DSN035S_Cosmic
,,,2025-01-02T02:43:08Z,21.55,SQM,DSN035S_Cosmic
,,,2025-01-02T02:48:08Z,21.55,SQM,DSN035S_Cosmic
,,,2025-01-02T02:53:08Z,21.55,SQM,DSN035S_Cosmic
,,,2025-01-02T02:58:08Z,21.55,SQM,DSN035S_Cosmic
,,,2025-01-02T03:03:08Z,21.56,SQM,DSN035S_Cosmic
,,,2025-01-02T03:08:08Z,21.56,SQM,DSN035S_Cosmic
,,,2025-01-02T03:13:08Z,21.56,SQM,DSN035S_Cosmic
,,,2025-01-02T03:18:08Z,21.56,SQM,DSN035S_Cosmic
