time (UT),radiance (mag/sq asec),radiance nW/cm2/sr,chisquared,Moon altitude (deg)
2025-03-31T02:01:05Z,11.01,0.06203,653.68064,17.4
2025-03-31T02:06:05Z,12.3,0.00694,199.23499,16.4
2025-03-31T02:11:05Z,13.76,0.00707,51.9237,15.4
2025-03-31T02:16:05Z,15.21,0.00858,13.65732,14.4
2025-03-31T02:21:05Z,16.48,0.00917,4.24,13.4
2025-03-31T02:26:05Z,17.54,0.0285,1.59722,12.41
2025-03-31T02:31:05Z,18.46,0.06796,0.68449,11.42
2025-03-31T02:36:05Z,19.29,0.07601,0.31869,10.43
2025-03-31T02:41:05Z,19.97,0.04333,0.17036,9.45
2025-03-31T02:46:06Z,20.42,0.01512,0.11256,8.46
2025-03-31T02:51:05Z,20.68,0.0031,0.08859,7.48
2025-03-31T02:56:06Z,20.8,0.00049,0.07932,6.5
2025-03-31T03:01:07Z,20.85,0.00012,0.07575,5.52
2025-03-31T03:06:07Z,20.88,0.00017,0.07368,4.55
2025-03-31T03:11:07Z,20.89,0.00016,0.07301,3.58
2025-03-31T03:16:07Z,20.9,0.0004,0.07234,2.62
2025-03-31T03:21:07Z,20.91,0.0004,0.07167,1.66
2025-03-31T03:26:07Z,20.91,0.00038,0.07167,0.7
2025-03-31T03:31:07Z,20.92,0.00047,0.07102,-0.25
2025-03-31T03:36:07Z,20.92,0.00049,0.07102,-1.2
2025-03-31T03:41:07Z,20.92,0.00046,0.07102,-2.14
2025-03-31T03:46:07Z,20.94,0.00023,0.06972,-3.08
2025-03-31T03:51:07Z,20.94,0.00025,0.06972,-4.02
2025-03-31T03:56:07Z,20.92,0.00005,0.07102,-4.95
2025-03-31T04:01:07Z,20.93,0.00005,0.07037,-5.87
2025-03-31T04:06:07Z,20.93,0.00018,0.07037,-6.79
2025-03-31T04:11:07Z,20.94,0.00014,0.06972,-7.71
2025-03-31T04:16:07Z,20.94,0.00042,0.06972,-8.62
2025-03-31T04:21:07Z,20.94,0.00085,0.06972,-9.52
2025-03-31T04:26:07Z,20.95,0.0008,0.06908,-10.42
2025-03-31T04:31:07Z,20.95,0.00095,0.06908,-11.31
2025-03-31T04:36:07Z,20.95,0.00226,0.06908,-12.2
2025-03-31T04:41:07Z,20.95,0.00298,0.06908,-13.08
2025-03-31T04:46:08Z,20.97,0.00281,0.06782,-13.95
2025-03-31T04:51:08Z,20.97,0.00394,0.06782,-14.82
2025-03-31T04:56:08Z,20.95,0.00391,0.06908,-15.67
2025-03-31T05:01:07Z,20.92,0.00623,0.07102,-16.52
2025-03-31T05:06:07Z,20.92,0.00631,0.07102,-17.36
2025-03-31T05:11:07Z,20.92,0.01096,0.07102,-18.2
2025-03-31T05:16:07Z,20.95,0.02667,0.06908,-19.02
2025-03-31T05:21:07Z,20.88,0.02865,0.07368,-19.84
2025-03-31T05:26:07Z,20.87,0.03722,0.07436,-20.65
2025-03-31T05:31:07Z,20.92,0.04872,0.07102,-21.45
2025-03-31T05:36:07Z,20.89,0.05779,0.07301,-22.23
2025-03-31T05:41:06Z,20.8,0.061,0.07932,-23.01
2025-03-31T05:46:06Z,20.77,0.06247,0.08154,-23.78
2025-03-31T05:51:06Z,20.84,0.06208,0.07645,-24.54
2025-03-31T05:56:07Z,20.93,0.05766,0.07037,-25.29
2025-03-31T06:01:07Z,20.89,0.05258,0.07301,-26.02
2025-03-31T06:06:07Z,20.94,0.04847,0.06972,-26.74
2025-03-31T06:11:08Z,20.97,0.04798,0.06782,-27.46
2025-03-31T06:16:08Z,20.99,0.0478,0.06658,-28.15
2025-03-31T06:21:08Z,21,0.04853,0.06597,-28.84
2025-03-31T06:26:08Z,21.02,0.0495,0.06477,-29.51
2025-03-31T06:31:08Z,21.02,0.04553,0.06477,-30.17
2025-03-31T06:36:08Z,21,0.02858,0.06597,-30.81
2025-03-31T06:41:08Z,20.98,0.01913,0.0672,-31.43
2025-03-31T06:46:07Z,20.92,0.01864,0.07102,-32.04
2025-03-31T06:51:08Z,20.98,0.02282,0.0672,-32.64
2025-03-31T06:56:08Z,21,0.02207,0.06597,-33.22
2025-03-31T07:01:07Z,20.95,0.03492,0.06908,-33.78
2025-03-31T07:06:08Z,20.98,0.03378,0.0672,-34.33
2025-03-31T07:11:08Z,20.99,0.03744,0.06658,-34.85
2025-03-31T07:16:08Z,20.97,0.03883,0.06782,-35.36
2025-03-31T07:21:08Z,21.02,0.04734,0.06477,-35.85
2025-03-31T07:26:08Z,21.01,0.05734,0.06537,-36.32
2025-03-31T07:31:07Z,20.88,0.06079,0.07368,-36.76
2025-03-31T07:36:07Z,20.91,0.0595,0.07167,-37.19
2025-03-31T07:41:06Z,20.81,0.06129,0.07859,-37.6
2025-03-31T07:46:07Z,20.91,0.06164,0.07167,-37.98
2025-03-31T07:51:08Z,20.97,0.063,0.06782,-38.35
2025-03-31T07:56:08Z,20.95,0.06082,0.06908,-38.69
2025-03-31T08:01:08Z,21.02,0.05577,0.06477,-39
2025-03-31T08:06:06Z,21.05,0.05252,0.063,-39.29
2025-03-31T08:11:06Z,21.03,0.04107,0.06417,-39.56
2025-03-31T08:16:08Z,20.98,0.03087,0.0672,-39.81
2025-03-31T08:21:06Z,21.03,0.03371,0.06417,-40.03
2025-03-31T08:26:06Z,21.06,0.03642,0.06243,-40.23
2025-03-31T08:31:06Z,21.06,0.01705,0.06243,-40.4
2025-03-31T08:36:06Z,21.06,0.012,0.06243,-40.54
2025-03-31T08:41:06Z,21.06,0.01114,0.06243,-40.66
2025-03-31T08:46:06Z,21.06,0.00588,0.06243,-40.76
2025-03-31T08:51:08Z,21.04,0.00569,0.06359,-40.82
2025-03-31T08:56:09Z,21.04,0.00546,0.06359,-40.86
2025-03-31T09:01:09Z,21.04,0.00545,0.06359,-40.88
2025-03-31T09:06:09Z,21.04,0.00142,0.06359,-40.87
