time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-07-29T02:30:00Z,20.29,0.00277,0.12687,26.64
2025-07-29T02:35:00Z,20.84,0.00985,0.07645,25.64
2025-07-29T02:40:00Z,21.31,0.00061,0.04959,24.64
2025-07-29T02:45:00Z,21.48,0.00181,0.0424,23.64
2025-07-29T02:50:00Z,21.57,0.01442,0.03903,22.63
2025-07-29T02:55:00Z,21.67,0.00753,0.03559,21.62
2025-07-29T03:00:00Z,21.67,0.00613,0.03559,20.61
2025-07-29T03:05:00Z,21.55,0.00465,0.03975,19.59
2025-07-29T03:10:00Z,21.68,0.00253,0.03527,18.57
2025-07-29T03:15:00Z,21.86,0.00917,0.02988,17.55
2025-07-29T03:20:00Z,22.05,0.00373,0.02508,16.53
2025-07-29T03:25:00Z,22.08,0.00162,0.0244,15.5
2025-07-29T03:30:00Z,21.98,0.00205,0.02675,14.47
2025-07-29T03:35:00Z,22.01,0.00148,0.02602,13.44
2025-07-29T03:40:00Z,22.03,0.02861,0.02555,12.41
2025-07-29T03:45:00Z,22.07,0.02477,0.02462,11.38
2025-07-29T03:50:00Z,22.24,0.02389,0.02106,10.34
2025-07-29T03:55:00Z,22.37,0.00961,0.01868,9.3
2025-07-29T04:00:00Z,22.1,0.00352,0.02395,8.27
2025-07-29T04:05:00Z,22.1,0.00025,0.02395,7.23
2025-07-29T04:10:00Z,21.98,0.00066,0.02675,6.19
2025-07-29T04:15:00Z,21.9,0.00005,0.0288,5.15
2025-07-29T04:20:00Z,21.88,0.0001,0.02933,4.11
2025-07-29T04:25:00Z,21.86,0.01056,0.02988,3.07
2025-07-29T04:30:00Z,21.82,0.01259,0.031,2.03
2025-07-29T04:35:00Z,21.79,0.00312,0.03187,0.99
2025-07-29T04:40:00Z,21.77,0.00177,0.03246,-0.06
2025-07-29T04:45:00Z,21.74,0.00204,0.03337,-1.1
2025-07-29T04:50:00Z,21.74,0.00222,0.03337,-2.14
2025-07-29T04:55:00Z,21.72,0.00196,0.03399,-3.18
2025-07-29T05:00:00Z,21.72,0.00174,0.03399,-4.22
2025-07-29T05:05:00Z,21.7,0.00145,0.03462,-5.26
2025-07-29T05:10:00Z,21.7,0.00077,0.03462,-6.3
