time,SQM,lum,chisquared,moonalt
,result,table,time,SQM,chisquared,lum,moonalt
,_result,0,2024-10-27T00:50:00Z,9.66,0.03405,2266.55166,-33.1
,_result,0,2024-10-27T01:00:00Z,12.25,0.00402,208.62465,-34.57
,_result,0,2024-10-27T01:10:00Z,15.03,0.03138,16.12002,-35.98
,_result,0,2024-10-27T01:20:00Z,17.37,0.01029,1.86795,-37.32
,_result,0,2024-10-27T01:30:00Z,19.39,0.06105,0.29065,-38.6
,_result,0,2024-10-27T01:40:00Z,20.83,0.0177,0.07716,-39.81
,_result,0,2024-10-27T01:50:00Z,21.39,0.00088,0.04606,-40.93
,_result,0,2024-10-27T02:00:00Z,21.52,0.00009,0.04087,-41.97
,_result,0,2024-10-27T02:10:00Z,21.55,0.00002,0.03975,-42.93
,_result,0,2024-10-27T02:20:00Z,21.56,0.00001,0.03939,-43.79
,_result,0,2024-10-27T02:30:00Z,21.56,0.00001,0.03939,-44.54
,_result,0,2024-10-27T02:40:00Z,21.57,0.00001,0.03903,-45.2
,_result,0,2024-10-27T02:50:00Z,21.58,0.00001,0.03867,-45.74
,_result,0,2024-10-27T03:00:00Z,21.59,0.00001,0.03831,-46.17
,_result,0,2024-10-27T03:10:00Z,21.6,0.00001,0.03796,-46.48
,_result,0,2024-10-27T03:20:00Z,21.61,0.00005,0.03762,-46.67
,_result,0,2024-10-27T03:30:00Z,21.63,0.00002,0.03693,-46.74
,_result,0,2024-10-27T03:40:00Z,21.65,0.00009,0.03625,-46.69
,_result,0,2024-10-27T03:50:00Z,21.67,0.00001,0.03559,-46.52
,_result,0,2024-10-27T04:00:00Z,21.67,0.00004,0.03559,-46.23
,_result,0,2024-10-27T04:10:00Z,21.67,0.00002,0.03559,-45.82
,_result,0,2024-10-27T04:20:00Z,21.68,0.00002,0.03527,-45.29
,_result,0,2024-10-27T04:30:00Z,21.69,0.00002,0.03494,-44.66
,_result,0,2024-10-27T04:40:00Z,21.69,0.0002,0.03494,-43.91
,_result,0,2024-10-27T04:50:00Z,21.7,0.00024,0.03462,-43.07
,_result,0,2024-10-27T05:00:00Z,21.7,0.00022,0.03462,-42.14
,_result,0,2024-10-27T05:10:00Z,21.7,0.00023,0.03462,-41.11
,_result,0,2024-10-27T05:20:00Z,21.72,0.00024,0.03399,-40
,_result,0,2024-10-27T05:30:00Z,21.73,0.00048,0.03368,-38.8
,_result,0,2024-10-27T05:40:00Z,21.73,0.00145,0.03368,-37.54
,_result,0,2024-10-27T05:50:00Z,21.74,0.00232,0.03337,-36.21
,_result,0,2024-10-27T06:00:00Z,21.74,0.00256,0.03337,-34.81
,_result,0,2024-10-27T06:10:00Z,21.73,0.00161,0.03368,-33.36
,_result,0,2024-10-27T06:20:00Z,21.71,0.00092,0.03431,-31.85
,_result,0,2024-10-27T06:30:00Z,21.7,0.00064,0.03462,-30.29
,_result,0,2024-10-27T06:40:00Z,21.69,0.00061,0.03494,-28.68
,_result,0,2024-10-27T06:50:00Z,21.68,0.00088,0.03527,-27.04
,_result,0,2024-10-27T07:00:00Z,21.68,0.0008,0.03527,-25.35
,_result,0,2024-10-27T07:10:00Z,21.68,0.00033,0.03527,-23.63
,_result,0,2024-10-27T07:20:00Z,21.68,0.00024,0.03527,-21.87
,_result,0,2024-10-27T07:30:00Z,21.68,0.0006,0.03527,-20.08
,_result,0,2024-10-27T07:40:00Z,21.68,0.00092,0.03527,-18.27
,_result,0,2024-10-27T07:50:00Z,21.67,0.00116,0.03559,-16.43
,_result,0,2024-10-27T08:00:00Z,21.66,0.00082,0.03592,-14.56
,_result,0,2024-10-27T08:10:00Z,21.64,0.00048,0.03659,-12.68
,_result,0,2024-10-27T08:20:00Z,21.63,0.00027,0.03693,-10.77
,_result,0,2024-10-27T08:30:00Z,21.61,0.00022,0.03762,-8.84
