time (UT),rad (mag/sq asec),rad nW/cm2/sr,chisquared,Moon alt (deg)
2024-12-01T00:30:00Z,9.77,0.05258,2048.16821,-10.15
2024-12-01T00:40:00Z,12.04,0.00421,253.14282,-12.02
2024-12-01T00:50:00Z,14.63,0.01329,23.30052,-13.9
2024-12-01T01:00:00Z,16.99,0.00512,2.65073,-15.8
2024-12-01T01:10:00Z,18.96,0.03193,0.43188,-17.71
2024-12-01T01:20:00Z,20.5,0.02885,0.10456,-19.64
2024-12-01T01:30:00Z,21.3,0.00345,0.05005,-21.57
2024-12-01T01:40:00Z,21.54,0.0001,0.04012,-23.51
2024-12-01T01:50:00Z,21.6,0.00001,0.03796,-25.47
2024-12-01T02:00:00Z,21.63,0.00001,0.03693,-27.43
2024-12-01T02:10:00Z,21.66,0.00001,0.03592,-29.4
2024-12-01T02:20:00Z,21.69,0.00001,0.03494,-31.38
2024-12-01T02:30:00Z,21.72,0.00001,0.03399,-33.36
2024-12-01T02:40:00Z,21.74,0.00001,0.03337,-35.35
2024-12-01T02:50:00Z,21.76,0.00001,0.03276,-37.35
2024-12-01T03:00:00Z,21.78,0.00001,0.03216,-39.35
2024-12-01T03:10:00Z,21.79,0.00002,0.03187,-41.36
2024-12-01T03:20:00Z,21.8,0.00002,0.03158,-43.37
2024-12-01T03:30:00Z,21.81,0.00005,0.03129,-45.38
2024-12-01T03:40:00Z,21.81,0.0001,0.03129,-47.4
2024-12-01T03:50:00Z,21.82,0.00005,0.031,-49.42
2024-12-01T04:00:00Z,21.82,0.00005,0.031,-51.44
2024-12-01T04:10:00Z,21.81,0.00005,0.03129,-53.47
2024-12-01T04:20:00Z,21.82,0.00021,0.031,-55.49
2024-12-01T04:30:00Z,21.82,0.00022,0.031,-57.52
2024-12-01T04:40:00Z,21.83,0.00052,0.03072,-59.54
2024-12-01T04:50:00Z,21.82,0.00088,0.031,-61.56
2024-12-01T05:00:00Z,21.82,0.00152,0.031,-63.58
2024-12-01T05:10:00Z,21.82,0.00104,0.031,-65.59
2024-12-01T05:20:00Z,21.8,0.00071,0.03158,-67.6
2024-12-01T05:30:00Z,21.79,0.00052,0.03187,-69.59
2024-12-01T05:40:00Z,21.77,0.00052,0.03246,-71.57
2024-12-01T05:50:00Z,21.77,0.0008,0.03246,-73.54
2024-12-01T06:00:00Z,21.77,0.00118,0.03246,-75.47
2024-12-01T06:10:00Z,21.77,0.00253,0.03246,-77.36
2024-12-01T06:20:00Z,21.75,0.00503,0.03306,-79.19
2024-12-01T06:30:00Z,21.72,0.00589,0.03399,-80.92
2024-12-01T06:40:00Z,21.7,0.00409,0.03462,-82.47
2024-12-01T06:50:00Z,21.66,0.00214,0.03592,-83.72
2024-12-01T07:00:00Z,21.61,0.00087,0.03762,-84.44
2024-12-01T07:10:00Z,21.58,0.00116,0.03867,-84.45
2024-12-01T07:20:00Z,21.55,0.00221,0.03975,-83.73
2024-12-01T07:30:00Z,21.51,0.004,0.04124,-82.49
2024-12-01T07:40:00Z,21.5,0.00452,0.04163,-80.94
2024-12-01T07:50:00Z,21.48,0.0053,0.0424,-79.22
2024-12-01T08:00:00Z,21.47,0.00588,0.04279,-77.4
