time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-05-01T02:10:00Z,9.08,0.06729,3866.92387,41.32
2025-05-01T02:20:00Z,11.1,0.01525,601.68006,39.31
2025-05-01T02:30:00Z,13.58,0.01362,61.28661,37.31
2025-05-01T02:40:00Z,16.08,0.01201,6.12866,35.32
2025-05-01T02:50:00Z,18.22,0.01473,0.85382,33.33
2025-05-01T03:00:00Z,20.02,0.03485,0.16269,31.36
2025-05-01T03:10:00Z,21.12,0.00833,0.05907,29.39
2025-05-01T03:20:00Z,21.57,0.00056,0.03903,27.44
2025-05-01T03:30:00Z,21.69,0.00069,0.03494,25.5
2025-05-01T03:40:00Z,21.75,0.00001,0.03306,23.57
2025-05-01T03:50:00Z,21.75,0.0001,0.03306,21.65
2025-05-01T04:00:00Z,21.76,0.00006,0.03276,19.74
2025-05-01T04:10:00Z,21.79,0.00001,0.03187,17.85
2025-05-01T04:20:00Z,21.84,0.00001,0.03043,15.98
2025-05-01T04:30:00Z,21.88,0.00002,0.02933,14.12
2025-05-01T04:40:00Z,21.92,0.00002,0.02827,12.27
2025-05-01T04:50:00Z,21.96,0.00005,0.02725,10.44
2025-05-01T05:00:00Z,21.99,0.00005,0.02651,8.63
2025-05-01T05:10:00Z,22.03,0.00002,0.02555,6.85
2025-05-01T05:20:00Z,22.06,0.00001,0.02485,5.08
2025-05-01T05:30:00Z,22.08,0.00005,0.0244,3.33
2025-05-01T05:40:00Z,22.11,0.0005,0.02373,1.6
2025-05-01T05:50:00Z,22.14,0.00213,0.02309,-0.1
2025-05-01T06:00:00Z,22.17,0.00651,0.02246,-1.77
2025-05-01T06:10:00Z,22.18,0.00618,0.02225,-3.42
2025-05-01T06:20:00Z,22.12,0.00576,0.02352,-5.04
2025-05-01T06:30:00Z,22.16,0.00476,0.02267,-6.63
2025-05-01T06:40:00Z,22.17,0.00323,0.02246,-8.19
2025-05-01T06:50:00Z,22.16,0.00305,0.02267,-9.72
2025-05-01T07:00:00Z,22.15,0.00359,0.02288,-11.21
2025-05-01T07:10:00Z,22.13,0.00336,0.0233,-12.66
2025-05-01T07:20:00Z,22.13,0.00354,0.0233,-14.07
2025-05-01T07:30:00Z,22.16,0.00364,0.02267,-15.44
2025-05-01T07:40:00Z,22.17,0.00255,0.02246,-16.77
2025-05-01T07:50:00Z,22.19,0.00156,0.02205,-18.05
2025-05-01T08:00:00Z,22.2,0.00128,0.02185,-19.28
2025-05-01T08:10:00Z,22.21,0.00259,0.02165,-20.46
2025-05-01T08:20:00Z,22.23,0.00229,0.02125,-21.59
2025-05-01T08:30:00Z,22.21,0.0028,0.02165,-22.66
2025-05-01T08:40:00Z,22.22,0.00021,0.02145,-23.67
2025-05-01T08:50:00Z,22.2,0.00025,0.02185,-24.62
2025-05-01T09:00:00Z,22.2,0.00025,0.02185,-25.5
2025-05-01T09:10:00Z,22.18,0.00018,0.02225,-26.32
2025-05-01T09:20:00Z,22.12,0.00013,0.02352,-27.07
2025-05-01T09:30:00Z,22.12,0.00037,0.02352,-27.74
2025-05-01T09:40:00Z,22.11,0.00085,0.02373,-28.34
2025-05-01T09:50:00Z,22.09,0.0005,0.02417,-28.86
2025-05-01T10:00:00Z,22.06,0.00056,0.02485,-29.3
2025-05-01T10:10:00Z,22.01,0.00001,0.02602,-29.67
2025-05-01T10:20:00Z,22.01,0.00001,0.02602,-29.95
2025-05-01T10:30:00Z,22,0.00045,0.02626,-30.14
2025-05-01T10:40:00Z,21.98,0.00025,0.02675,-30.26
2025-05-01T10:50:00Z,21.94,0.00041,0.02776,-30.29
2025-05-01T11:00:00Z,21.89,0.00001,0.02906,-30.23
2025-05-01T11:10:00Z,21.84,0.00001,0.03043,-30.09
2025-05-01T11:20:00Z,21.75,0.00004,0.03306,-29.86
2025-05-01T11:30:00Z,21.37,0.00013,0.04692,-29.55
2025-05-01T11:40:00Z,20.32,0.00904,0.12341,-29.17
2025-05-01T11:50:00Z,18.87,0.03993,0.46921,-28.7
2025-05-01T12:00:00Z,16.86,0.00725,2.9879,-28.15
2025-05-01T12:10:00Z,14.33,0.00385,30.71607,-27.52
2025-05-01T12:20:00Z,11.73,0.00201,336.79499,-26.82
2025-05-02T02:10:00Z,8.82,0.11481,4913.21333,53.96
2025-05-02T02:20:00Z,10.84,0.03949,764.47911,51.9
2025-05-02T02:30:00Z,13.39,0.00042,73.00719,49.85
2025-05-02T02:40:00Z,16.01,0.0005,6.53681,47.8
2025-05-02T02:50:00Z,18.09,0.01136,0.96242,45.76
2025-05-02T03:00:00Z,19.66,0.02418,0.22666,43.72
2025-05-02T03:10:00Z,20.64,0.00604,0.09191,41.69
2025-05-02T03:20:00Z,21.05,0.00065,0.063,39.66
2025-05-02T03:30:00Z,21.19,0.00017,0.05538,37.64
2025-05-02T03:40:00Z,21.25,0.00001,0.0524,35.63
2025-05-02T03:50:00Z,21.28,0.00001,0.05098,33.63
2025-05-02T04:00:00Z,21.31,0.00001,0.04959,31.64
2025-05-02T04:10:00Z,21.35,0.00001,0.04779,29.65
2025-05-02T04:20:00Z,21.39,0.00005,0.04606,27.68
2025-05-02T04:30:00Z,21.43,0.00009,0.0444,25.72
2025-05-02T04:40:00Z,21.46,0.00013,0.04319,23.76
2025-05-02T04:50:00Z,21.48,0.00009,0.0424,21.82
2025-05-02T05:00:00Z,21.51,0.00005,0.04124,19.89
2025-05-02T05:10:00Z,21.56,0.00001,0.03939,17.98
2025-05-02T05:20:00Z,21.59,0.00001,0.03831,16.08
2025-05-02T05:30:00Z,21.62,0.00001,0.03727,14.19
2025-05-02T05:40:00Z,21.65,0.00006,0.03625,12.32
2025-05-02T05:50:00Z,21.67,0.00005,0.03559,10.47
