time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2024-08-01T02:38:00Z,11.49,1.18795,420.11252,-23.45
2024-08-01T02:43:00Z,12.05,0.56953,250.822,-23.94
2024-08-01T02:48:00Z,13.2,0.20006,86.96923,-24.42
2024-08-01T02:53:00Z,14.56,0.29745,24.85224,-24.88
2024-08-01T02:58:00Z,16.04,0.31451,6.35866,-25.33
2024-08-01T03:03:00Z,17.45,0.23349,1.73526,-25.76
2024-08-01T03:08:00Z,18.58,0.09126,0.61287,-26.17
2024-08-01T03:13:00Z,19.31,0.12542,0.31287,-26.57
2024-08-01T03:18:00Z,19.53,0.13226,0.25549,-26.94
2024-08-01T03:23:00Z,19.66,0.12338,0.22666,-27.3
2024-08-01T03:28:00Z,19.9,0.10917,0.1817,-27.64
2024-08-01T03:33:00Z,20.12,0.1688,0.14838,-27.97
2024-08-01T03:38:00Z,19.88,0.29521,0.18508,-28.27
2024-08-01T03:43:00Z,19.91,0.34673,0.18004,-28.55
2024-08-01T03:48:00Z,19.84,0.33114,0.19203,-28.82
2024-08-01T03:53:00Z,20.14,0.34233,0.14567,-29.06
2024-08-01T03:58:00Z,20.11,0.40733,0.14975,-29.28
2024-08-01T04:03:00Z,20,0.55467,0.16572,-29.49
2024-08-01T04:08:00Z,19.88,0.59977,0.18508,-29.67
2024-08-01T04:13:00Z,19.54,0.57825,0.25314,-29.83
2024-08-01T04:18:00Z,20.17,0.59993,0.1417,-29.98
2024-08-01T04:23:00Z,20.25,0.59536,0.13163,-30.1
2024-08-01T04:28:00Z,20.16,0.5947,0.14301,-30.2
2024-08-01T04:33:00Z,19.92,0.60003,0.17839,-30.28
2024-08-01T04:38:00Z,20.64,0.38912,0.09191,-30.33
2024-08-01T04:43:00Z,20.03,0.19042,0.1612,-30.37
2024-08-01T04:48:00Z,19.53,0.10027,0.25549,-30.38
2024-08-01T04:53:00Z,19.85,0.08329,0.19027,-30.38
2024-08-01T04:58:00Z,20.04,0.10407,0.15972,-30.35
2024-08-01T05:03:00Z,19.95,0.12413,0.17353,-30.3
2024-08-01T05:08:00Z,20.03,0.13579,0.1612,-30.23
2024-08-01T05:13:00Z,19.88,0.43015,0.18508,-30.13
2024-08-01T05:18:00Z,20.17,0.42988,0.1417,-30.02
2024-08-01T05:23:00Z,20.17,0.62629,0.1417,-29.89
2024-08-01T05:28:00Z,19.95,0.32287,0.17353,-29.73
2024-08-01T05:33:00Z,20.17,1.52732,0.1417,-29.56
2024-08-01T05:38:00Z,20.47,1.81784,0.10749,-29.36
2024-08-01T05:43:00Z,20.76,1.22091,0.08229,-29.14
2024-08-01T05:48:00Z,20.72,1.058,0.08538,-28.9
2024-08-01T05:53:00Z,20.12,4.3567,0.14838,-28.65
2024-08-01T05:58:00Z,20.33,4.40415,0.12228,-28.37
2024-08-01T06:03:00Z,19.16,4.59738,0.35922,-28.07
2024-08-01T06:08:00Z,18.82,4.77272,0.49132,-27.76
2024-08-01T06:13:00Z,19.68,4.83175,0.22252,-27.42
2024-08-01T06:18:00Z,20.05,4.82946,0.15826,-27.07
2024-08-01T06:23:00Z,20.47,4.82902,0.10749,-26.7
2024-08-01T06:28:00Z,20.55,4.70628,0.09985,-26.31
2024-08-01T06:33:00Z,20.57,4.11066,0.09803,-25.91
2024-08-01T06:38:00Z,20.38,3.56552,0.11678,-25.48
2024-08-01T06:43:00Z,20.71,3.76955,0.08617,-25.04
2024-08-01T06:48:00Z,20.76,3.83318,0.08229,-24.58
2024-08-01T06:53:00Z,20.73,3.48576,0.0846,-24.11
2024-08-01T06:58:00Z,20.55,1.47403,0.09985,-23.62
2024-08-01T07:03:00Z,20.4,0.75281,0.11465,-23.12
2024-08-01T07:08:00Z,20.27,0.37965,0.12923,-22.6
2024-08-01T07:13:00Z,20.33,0.37139,0.12228,-22.06
2024-08-01T07:18:00Z,20.16,0.40651,0.14301,-21.51
2024-08-01T07:23:00Z,20.09,0.4115,0.15253,-20.95
2024-08-01T07:28:00Z,20.04,0.36122,0.15972,-20.37
2024-08-01T07:33:00Z,19.97,0.38198,0.17036,-19.78
2024-08-01T07:38:00Z,20.02,0.36047,0.16269,-19.17
2024-08-01T07:43:00Z,20.08,0.23804,0.15395,-18.55
2024-08-01T07:48:00Z,20.08,0.1601,0.15395,-17.92
2024-08-01T07:53:00Z,20.18,0.1626,0.1404,-17.28
2024-08-01T07:58:00Z,20.18,0.16287,0.1404,-16.63
2024-08-01T08:03:00Z,20.04,0.14445,0.15972,-15.96
2024-08-01T08:08:00Z,20.01,0.17981,0.1642,-15.29
2024-08-01T08:13:00Z,20.08,0.20838,0.15395,-14.6
2024-08-01T08:18:00Z,20.16,0.19345,0.14301,-13.9
2024-08-01T08:23:00Z,20.07,0.2246,0.15537,-13.19
2024-08-01T08:28:00Z,20,0.25035,0.16572,-12.47
2024-08-01T08:33:00Z,19.8,0.29736,0.19923,-11.74
2024-08-01T08:38:00Z,19.88,0.3063,0.18508,-11
2024-08-01T08:43:00Z,19.84,0.85269,0.19203,-10.25
