time (UT),rad (mag/sq asec),rad nW/cm2/sr,chisquared,Moon alt (deg)
2024-10-17T01:04:00Z,10.34,0.24096,1211.61773,6.79
2024-10-17T01:09:00Z,11.87,0.35021,296.05038,7.83
2024-10-17T01:14:00Z,13.13,0.26789,92.76104,8.86
2024-10-17T01:19:00Z,14.24,0.72651,33.37072,9.9
2024-10-17T01:24:00Z,15.36,1.01411,11.89503,10.94
2024-10-17T01:29:00Z,16.51,0.56158,4.12445,11.98
2024-10-17T01:34:00Z,17.43,0.31662,1.76753,13.02
2024-10-17T01:39:00Z,17.48,0.51817,1.68797,14.06
2024-10-17T01:44:00Z,17.9,0.5624,1.14648,15.1
2024-10-17T01:49:00Z,17.51,0.22647,1.64197,16.14
2024-10-17T01:54:00Z,17.65,0.56759,1.44333,17.18
2024-10-17T01:59:00Z,18.13,0.44407,0.92761,18.22
2024-10-17T02:04:00Z,18.48,0.21332,0.67199,19.26
2024-10-17T02:09:00Z,18.58,0.25426,0.61287,20.3
2024-10-17T02:14:00Z,18.46,0.29969,0.68449,21.34
2024-10-17T02:19:00Z,18.09,0.13222,0.96242,22.38
2024-10-17T02:24:00Z,17.83,0.06341,1.22283,23.42
2024-10-17T02:29:00Z,17.94,0.08546,1.10501,24.46
2024-10-17T02:34:00Z,18.25,0.01984,0.83055,25.5
2024-10-17T02:39:00Z,18.31,0.00446,0.7859,26.53
2024-10-17T02:44:00Z,18.25,0.00633,0.83055,27.57
2024-10-17T02:49:00Z,18.1,0.00329,0.9536,28.6
2024-10-17T02:54:00Z,18.01,0.00137,1.03601,29.64
2024-10-17T02:59:00Z,17.94,0.00033,1.10501,30.67
2024-10-17T03:04:00Z,17.91,0.00034,1.13597,31.69
2024-10-17T03:09:00Z,17.89,0.04222,1.15709,32.72
2024-10-17T03:14:00Z,17.87,0.09874,1.1786,33.74
2024-10-17T03:19:00Z,17.81,0.1001,1.24556,34.77
2024-10-17T03:24:00Z,17.77,0.09911,1.29231,35.78
2024-10-17T03:29:00Z,17.72,0.09549,1.35321,36.8
2024-10-17T03:34:00Z,17.67,0.0885,1.41699,37.81
2024-10-17T03:39:00Z,17.6,0.14969,1.51135,38.82
2024-10-17T03:44:00Z,17.54,0.15698,1.59722,39.82
2024-10-17T03:49:00Z,17.82,0.12522,1.23414,40.82
2024-10-17T03:54:00Z,17.36,0.11928,1.88524,41.82
2024-10-17T03:59:00Z,17.36,0.13866,1.88524,42.81
2024-10-17T04:04:00Z,17.21,0.16598,2.16454,43.79
2024-10-17T04:09:00Z,16.97,0.1655,2.70001,44.77
2024-10-17T04:14:00Z,16.67,0.17344,3.55931,45.75
2024-10-17T04:19:00Z,16.78,0.5148,3.21637,46.71
2024-10-17T04:24:00Z,16.22,0.42467,5.38723,47.67
