time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-03-28T01:50:05Z,18.38,0.00168,0.73683,-23.06
2025-03-28T01:55:05Z,19.53,0.00016,0.25549,-24.05
2025-03-28T02:00:05Z,20.85,0.08439,0.07575,-25.03
2025-03-28T02:05:23Z,22.24,0.07618,0.02106,-26.07
2025-03-28T02:11:00Z,23.64,0.00001,0.0058,-27.17
2025-03-28T02:16:00Z,23.64,0.00001,0.0058,-28.15
2025-03-28T02:21:00Z,23.64,0.00001,0.0058,-29.12
2025-03-28T02:26:00Z,23.64,0.00001,0.0058,-30.09
2025-03-28T02:31:00Z,23.64,0.00001,0.0058,-31.05
2025-03-28T02:36:00Z,23.64,0.00001,0.0058,-32.01
2025-03-28T02:41:00Z,23.64,0.00001,0.0058,-32.97
2025-03-28T02:46:00Z,23.64,0.00001,0.0058,-33.92
2025-03-28T02:51:00Z,23.64,0.00001,0.0058,-34.87
2025-03-28T02:56:00Z,23.64,0.00001,0.0058,-35.81
2025-03-28T03:01:00Z,23.64,0.00001,0.0058,-36.75
2025-03-28T03:06:00Z,23.64,0.00001,0.0058,-37.68
2025-03-28T03:11:00Z,23.64,0.00001,0.0058,-38.61
2025-03-28T03:16:00Z,23.64,0.00001,0.0058,-39.52
2025-03-28T03:21:00Z,23.64,0.00001,0.0058,-40.43
2025-03-28T03:26:00Z,23.64,0.00001,0.0058,-41.34
2025-03-28T03:31:00Z,23.64,0.00001,0.0058,-42.23
2025-03-28T03:36:00Z,23.64,0.00001,0.0058,-43.12
2025-03-28T03:41:00Z,23.64,0.00001,0.0058,-44
2025-03-28T03:46:00Z,23.64,0.00001,0.0058,-44.87
2025-03-28T03:51:00Z,23.64,0.00001,0.0058,-45.73
2025-03-28T03:56:00Z,23.64,0.00001,0.0058,-46.58
2025-03-28T04:01:00Z,23.64,0.00001,0.0058,-47.41
2025-03-28T04:06:00Z,23.64,0.00001,0.0058,-48.24
2025-03-28T04:11:00Z,23.64,0.00001,0.0058,-49.05
2025-03-28T04:16:00Z,23.64,0.00001,0.0058,-49.85
2025-03-28T04:21:00Z,23.64,0.00001,0.0058,-50.63
2025-03-28T04:26:00Z,23.64,0.00001,0.0058,-51.4
2025-03-28T04:31:00Z,23.64,0.00001,0.0058,-52.15
