time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-03-25T01:50:05Z,9.64,0.10121,2308.69,-62.42
2025-03-25T01:55:05Z,10.89,0.02764,730.07188,-63.41
2025-03-25T02:00:05Z,12.28,0.00711,202.93905,-64.39
2025-03-25T02:05:05Z,13.72,0.01001,53.87231,-65.37
2025-03-25T02:10:05Z,15.15,0.01521,14.4333,-66.34
2025-03-25T02:15:05Z,16.42,0.01127,4.4809,-67.3
2025-03-25T02:20:05Z,17.5,0.02158,1.65716,-68.26
2025-03-25T02:25:05Z,18.48,0.06276,0.67199,-69.21
2025-03-25T02:30:05Z,19.37,0.08056,0.29605,-70.15
2025-03-25T02:35:05Z,20.09,0.05733,0.15253,-71.08
2025-03-25T02:40:05Z,20.6,0.02302,0.09536,-72
2025-03-25T02:45:05Z,20.91,0.00451,0.07167,-72.9
2025-03-25T02:50:06Z,21.06,0.00071,0.06243,-73.79
2025-03-25T02:55:06Z,21.12,0.0002,0.05907,-74.65
2025-03-25T03:00:06Z,21.15,0.00018,0.05746,-75.49
2025-03-25T03:05:06Z,21.17,0.00022,0.05641,-76.3
2025-03-25T03:10:06Z,21.19,0.00022,0.05538,-77.07
2025-03-25T03:15:06Z,21.21,0.00022,0.05437,-77.81
2025-03-25T03:20:07Z,21.22,0.00031,0.05387,-78.49
2025-03-25T03:25:07Z,21.23,0.00031,0.05338,-79.12
2025-03-25T03:30:07Z,21.26,0.00017,0.05192,-79.67
2025-03-25T03:35:07Z,21.26,0.00015,0.05192,-80.15
2025-03-25T03:40:07Z,21.28,0.00017,0.05098,-80.53
2025-03-25T03:45:07Z,21.28,0.00015,0.05098,-80.8
2025-03-25T03:50:07Z,21.29,0.00014,0.05051,-80.96
2025-03-25T03:55:07Z,21.3,0.00015,0.05005,-81
2025-03-25T04:00:07Z,21.32,0.00023,0.04913,-80.92
2025-03-25T04:05:07Z,21.32,0.00069,0.04913,-80.71
2025-03-25T04:10:07Z,21.33,0.00046,0.04868,-80.4
