time (UT),rad (mag/sq asec),chisquared,rad nW/cm2/sr,Moon alt (deg)
2025-06-26T02:50:05Z,10.19,0.12861,1391.12329,5.5
2025-06-26T02:55:05Z,11.28,0.08029,509.75984,4.6
2025-06-26T03:00:05Z,12.45,0.05547,173.52643,3.71
2025-06-26T03:05:05Z,13.67,0.05075,56.41124,2.83
2025-06-26T03:10:05Z,14.73,0.05008,21.25033,1.95
2025-06-26T03:15:05Z,16.12,0.02388,5.90698,1.08
2025-06-26T03:20:05Z,16.97,0.00961,2.70001,0.21
2025-06-26T03:25:05Z,17.75,0.00948,1.31633,-0.65
2025-06-26T03:30:05Z,18.56,0.02368,0.62426,-1.51
2025-06-26T03:35:05Z,19.23,0.03784,0.33679,-2.35
2025-06-26T03:40:05Z,19.81,0.02953,0.19741,-3.2
2025-06-26T03:45:05Z,20.23,0.0155,0.13408,-4.03
2025-06-26T03:50:05Z,20.51,0.00436,0.1036,-4.86
2025-06-26T03:55:06Z,20.67,0.00073,0.08941,-5.68
2025-06-26T04:00:06Z,20.73,0.00065,0.0846,-6.5
2025-06-26T04:05:06Z,20.79,0.0001,0.08005,-7.31
2025-06-26T04:10:07Z,20.8,0.00011,0.07932,-8.11
2025-06-26T04:15:06Z,20.82,0.00009,0.07787,-8.9
2025-06-26T04:20:06Z,20.83,0.00011,0.07716,-9.68
2025-06-26T04:25:07Z,20.84,0.00032,0.07645,-10.46
2025-06-26T04:30:07Z,20.84,0.00032,0.07645,-11.22
2025-06-26T04:35:07Z,20.84,0.00047,0.07645,-11.98
2025-06-26T04:40:07Z,20.85,0.00048,0.07575,-12.73
2025-06-26T04:45:07Z,20.85,0.00047,0.07575,-13.46
2025-06-26T04:50:07Z,20.85,0.00046,0.07575,-14.19
2025-06-26T04:55:07Z,20.86,0.00046,0.07505,-14.91
2025-06-26T05:00:07Z,20.85,0.00039,0.07575,-15.62
2025-06-26T05:05:07Z,20.88,0.00026,0.07368,-16.32
2025-06-26T05:10:07Z,20.88,0.00025,0.07368,-17
2025-06-26T05:15:07Z,20.87,0.00021,0.07436,-17.68
2025-06-26T05:20:07Z,20.89,0.00013,0.07301,-18.34
2025-06-26T05:25:07Z,20.89,0.00017,0.07301,-18.99
2025-06-26T05:30:07Z,20.89,0.00021,0.07301,-19.63
2025-06-26T05:35:07Z,20.89,0.00035,0.07301,-20.26
